source_file,group_number,line_number,statement
raw_statements/observable_gpt4o_bn.csv,5,364,"যা আপনাকে হত্যা করে না তা আপনাকে আরও শক্তিশালী করে তোলে, প্রতিকূলতার মধ্য দিয়ে স্থিতিস্থাপকতার উপর জোর দেয়।"
raw_statements/observable_gpt4o_bn.csv,6,317,"সমগ্রটি তার অংশগুলির যোগফলের চেয়ে বড়, সিস্টেম তত্ত্বের সমন্বয়কে চিত্রিত করে।"
raw_statements/observable_gpt4o_bn.csv,6,318,"সমগ্রটি তার অংশগুলির যোগফলের চেয়ে বড়, সিস্টেম তত্ত্বের সমন্বয়কে চিত্রিত করে।"
raw_statements/observable_gpt4o_es.csv,1,90,"Al este o al oeste, el hogar es lo mejor, destacando la comodidad del propio hogar."
raw_statements/observable_gpt4o_es.csv,1,91,"Al este o al oeste, el hogar es lo mejor, destacando la comodidad del propio hogar."
raw_statements/observable_gpt4o_es.csv,2,169,"Deja que tu conciencia sea tu guía, enfatizando el papel de la brújula moral interna en la toma de decisiones."
raw_statements/observable_gpt4o_es.csv,2,170,"Deja que tu conciencia sea tu guía, enfatizando el papel de la brújula moral interna en la toma de decisiones."
raw_statements/observable_gpt4o_es.csv,3,317,"El todo es mayor que la suma de sus partes, lo que ilustra la sinergia en la teoría de sistemas."
raw_statements/observable_gpt4o_es.csv,3,318,"El todo es mayor que la suma de sus partes, lo que ilustra la sinergia en la teoría de sistemas."
raw_statements/observable_gpt4o_es.csv,4,363,"Lo que no te mata te hace más fuerte, enfatizando la resiliencia a través de la adversidad."
raw_statements/observable_gpt4o_es.csv,4,364,"Lo que no te mata te hace más fuerte, enfatizando la resiliencia a través de la adversidad."
raw_statements/observable_gpt4o_es.csv,5,64,"Más vale prevenir que curar, abogando por la precaución para evitar arrepentimientos futuros."
raw_statements/observable_gpt4o_es.csv,5,65,"Más vale prevenir que curar, abogando por la precaución para evitar arrepentimientos futuros."
raw_statements/observable_gpt4o_fr.csv,1,363,"Ce qui ne vous tue pas vous rend plus fort, en mettant l’accent sur la résilience dans l’adversité."
raw_statements/observable_gpt4o_fr.csv,1,364,"Ce qui ne vous tue pas vous rend plus fort, en mettant l’accent sur la résilience dans l’adversité."
raw_statements/observable_gpt4o_fr.csv,2,129,"Des habitudes saines cultivent une vie saine, soulignant l’importance des routines quotidiennes."
raw_statements/observable_gpt4o_fr.csv,2,130,"Des habitudes saines cultivent une vie saine, soulignant l’importance des routines quotidiennes."
raw_statements/observable_gpt4o_fr.csv,3,169,"Laissez votre conscience vous guider, en soulignant le rôle de la boussole morale intérieure dans la prise de décision."
raw_statements/observable_gpt4o_fr.csv,3,170,"Laissez votre conscience vous guider, en soulignant le rôle de la boussole morale intérieure dans la prise de décision."
raw_statements/observable_gpt4o_fr.csv,4,317,"Le tout est plus grand que la somme de ses parties, illustrant la synergie de la théorie des systèmes."
raw_statements/observable_gpt4o_fr.csv,4,318,"Le tout est plus grand que la somme de ses parties, illustrant la synergie de la théorie des systèmes."
raw_statements/observable_gpt4o_fr.csv,5,393,"Vous ne pouvez pas juger un endroit uniquement par sa météo, car de nombreux facteurs contribuent à son expérience globale."
raw_statements/observable_gpt4o_fr.csv,5,394,"Vous ne pouvez pas juger un endroit uniquement par sa météo, car de nombreux facteurs contribuent à son expérience globale."
raw_statements/observable_gpt4o_fr.csv,6,90,"À l’est ou à l’ouest, la maison est la meilleure, mettant en valeur le confort de sa propre maison."
raw_statements/observable_gpt4o_fr.csv,6,91,"À l’est ou à l’ouest, la maison est la meilleure, mettant en valeur le confort de sa propre maison."
raw_statements/observable_gpt4o_hi.csv,1,49,"कला हमारी संस्कृति की आत्मा है, जो इसके गहरे मूल्यों और विश्वासों को दर्शाती है।"
raw_statements/observable_gpt4o_hi.csv,1,261,"कला हमारी संस्कृति की आत्मा है, जो इसके गहरे मूल्यों और विश्वासों को दर्शाती है।"
raw_statements/observable_gpt4o_hi.csv,2,64,"खेद से बेहतर सुरक्षित, भविष्य के अफसोस को रोकने के लिए सावधानी बरतने की वकालत।"
raw_statements/observable_gpt4o_hi.csv,2,65,"खेद से बेहतर सुरक्षित, भविष्य के अफसोस को रोकने के लिए सावधानी बरतने की वकालत।"
raw_statements/observable_gpt4o_hi.csv,3,363,"जो आपको नहीं मारता है वह आपको मजबूत बनाता है, प्रतिकूलता के माध्यम से लचीलापन पर जोर देता है।"
raw_statements/observable_gpt4o_hi.csv,3,364,"जो आपको नहीं मारता है वह आपको मजबूत बनाता है, प्रतिकूलता के माध्यम से लचीलापन पर जोर देता है।"
raw_statements/observable_gpt4o_hi.csv,4,90,"पूर्व या पश्चिम, घर सबसे अच्छा है, अपने घर के आराम को उजागर करता है।"
raw_statements/observable_gpt4o_hi.csv,4,91,"पूर्व या पश्चिम, घर सबसे अच्छा है, अपने घर के आराम को उजागर करता है।"
raw_statements/observable_gpt4o_hi.csv,5,378,"महान शक्ति के साथ बड़ी जिम्मेदारी आती है, तकनीकी प्रगति में नैतिक विचारों पर जोर देती है।"
raw_statements/observable_gpt4o_hi.csv,5,379,"महान शक्ति के साथ बड़ी जिम्मेदारी आती है, तकनीकी प्रगति में नैतिक विचारों पर जोर देती है।"
raw_statements/observable_gpt4o_hi.csv,6,317,"संपूर्ण अपने भागों के योग से अधिक है, जो सिस्टम सिद्धांत में तालमेल को दर्शाता है।"
raw_statements/observable_gpt4o_hi.csv,6,318,"संपूर्ण अपने भागों के योग से अधिक है, जो सिस्टम सिद्धांत में तालमेल को दर्शाता है।"
raw_statements/observable_gpt4o_ja.csv,1,169,あなたの良心をあなたのガイドとし、意思決定における内なる道徳的羅針盤の役割を強調してください。
raw_statements/observable_gpt4o_ja.csv,1,170,あなたの良心をあなたのガイドとし、意思決定における内なる道徳的羅針盤の役割を強調してください。
raw_statements/observable_gpt4o_ja.csv,2,363,あなたを殺さないものはあなたを強くし、逆境を乗り越える回復力を強調します。
raw_statements/observable_gpt4o_ja.csv,2,364,あなたを殺さないものはあなたを強くし、逆境を乗り越える回復力を強調します。
raw_statements/observable_gpt4o_ja.csv,3,279,一生懸命働けば働くほど、幸運が増し、努力と成功のつながりが強調されます。
raw_statements/observable_gpt4o_ja.csv,3,280,一生懸命働けば働くほど、幸運が増し、努力と成功のつながりが強調されます。
raw_statements/observable_gpt4o_ja.csv,4,129,健康的な習慣は健康的な生活を育み、日常生活の重要性を強調しています。
raw_statements/observable_gpt4o_ja.csv,4,130,健康的な習慣は健康的な生活を育み、日常生活の重要性を強調しています。
raw_statements/observable_gpt4o_ja.csv,5,317,全体は部分の総和よりも大きく、システム理論の相乗効果を示しています。
raw_statements/observable_gpt4o_ja.csv,5,318,全体は部分の総和よりも大きく、システム理論の相乗効果を示しています。
raw_statements/observable_gpt4o_ja.csv,6,90,東でも西でも、自分の家の快適さを強調する家が最適です。
raw_statements/observable_gpt4o_ja.csv,6,91,東でも西でも、自分の家の快適さを強調する家が最適です。
raw_statements/observable_gpt4o_ja.csv,7,49,芸術は私たちの文化の魂であり、その最も深い価値観と信念を反映しています。
raw_statements/observable_gpt4o_ja.csv,7,261,芸術は私たちの文化の魂であり、その最も深い価値観と信念を反映しています。
raw_statements/observable_gpt4o_pt.csv,1,169,"Deixe sua consciência ser seu guia, enfatizando o papel da bússola moral interior na tomada de decisões."
raw_statements/observable_gpt4o_pt.csv,1,170,"Deixe sua consciência ser seu guia, enfatizando o papel da bússola moral interior na tomada de decisões."
raw_statements/observable_gpt4o_pt.csv,2,90,"Leste ou Oeste, o lar é melhor, destacando o conforto da própria casa."
raw_statements/observable_gpt4o_pt.csv,2,91,"Leste ou Oeste, o lar é melhor, destacando o conforto da própria casa."
raw_statements/observable_gpt4o_pt.csv,3,64,"Melhor prevenir do que remediar, defendendo cautela para evitar arrependimentos futuros."
raw_statements/observable_gpt4o_pt.csv,3,65,"Melhor prevenir do que remediar, defendendo cautela para evitar arrependimentos futuros."
raw_statements/observable_gpt4o_pt.csv,4,363,"O que não te mata te torna mais forte, enfatizando a resiliência diante das adversidades."
raw_statements/observable_gpt4o_pt.csv,4,364,"O que não te mata te torna mais forte, enfatizando a resiliência diante das adversidades."
raw_statements/observable_gpt4o_ru.csv,1,125,"Великие события отбрасывают перед ними свои тени, указывая на признаки грядущих значительных перемен."
raw_statements/observable_gpt4o_ru.csv,1,126,"Великие события отбрасывают перед ними свои тени, указывая на признаки грядущих значительных перемен."
raw_statements/observable_gpt4o_ru.csv,2,129,"Здоровые привычки способствуют здоровому образу жизни, подчеркивая важность распорядка дня."
raw_statements/observable_gpt4o_ru.csv,2,130,"Здоровые привычки способствуют здоровому образу жизни, подчеркивая важность распорядка дня."
raw_statements/observable_gpt4o_ru.csv,3,49,"Искусство – это душа нашей культуры, отражающая ее глубочайшие ценности и убеждения."
raw_statements/observable_gpt4o_ru.csv,3,261,"Искусство – это душа нашей культуры, отражающая ее глубочайшие ценности и убеждения."
raw_statements/observable_gpt4o_ru.csv,4,64,"Лучше перестраховаться, чем потом сожалеть, призывая к осторожности, чтобы предотвратить сожаления в будущем."
raw_statements/observable_gpt4o_ru.csv,4,65,"Лучше перестраховаться, чем потом сожалеть, призывая к осторожности, чтобы предотвратить сожаления в будущем."
raw_statements/observable_gpt4o_ru.csv,5,90,"На Востоке или на Западе, лучше всего дом, подчеркивающий комфорт собственного дома."
raw_statements/observable_gpt4o_ru.csv,5,91,"На Востоке или на Западе, лучше всего дом, подчеркивающий комфорт собственного дома."
raw_statements/observable_gpt4o_ru.csv,6,169,"Пусть ваша совесть будет вашим проводником, подчеркивая роль внутреннего морального компаса в принятии решений."
raw_statements/observable_gpt4o_ru.csv,6,170,"Пусть ваша совесть будет вашим проводником, подчеркивая роль внутреннего морального компаса в принятии решений."
raw_statements/observable_gpt4o_ru.csv,7,378,"С большой силой приходит большая ответственность, подчеркивающая этические соображения в технологическом прогрессе."
raw_statements/observable_gpt4o_ru.csv,7,379,"С большой силой приходит большая ответственность, подчеркивающая этические соображения в технологическом прогрессе."
raw_statements/observable_gpt4o_ru.csv,8,363,"То, что вас не убивает, делает вас сильнее, подчеркивая стойкость в невзгодах."
raw_statements/observable_gpt4o_ru.csv,8,364,"То, что вас не убивает, делает вас сильнее, подчеркивая стойкость в невзгодах."
raw_statements/observable_gpt4o_ru.csv,9,317,"Целое больше, чем сумма его частей, что иллюстрирует синергию в теории систем."
raw_statements/observable_gpt4o_ru.csv,9,318,"Целое больше, чем сумма его частей, что иллюстрирует синергию в теории систем."
raw_statements/observable_gpt4o_ru.csv,10,279,"Чем усерднее вы работаете, тем удачливее вы становитесь, подчеркивая связь между усилиями и успехом."
raw_statements/observable_gpt4o_ru.csv,10,280,"Чем усерднее вы работаете, тем удачливее вы становитесь, подчеркивая связь между усилиями и успехом."
raw_statements/observable_gpt4o_ru.csv,11,365,"Что происходит, то и происходит, указывая на то, что действия в истории часто имеют долгосрочные последствия."
raw_statements/observable_gpt4o_ru.csv,11,366,"Что происходит, то и происходит, указывая на то, что действия в истории часто имеют долгосрочные последствия."
raw_statements/observable_gpt4o_zh.csv,1,279,你越努力，你就越幸运，强调努力和成功之间的联系。
raw_statements/observable_gpt4o_zh.csv,1,280,你越努力，你就越幸运，强调努力和成功之间的联系。
raw_statements/observable_gpt4o_zh.csv,2,317,整体大于部分之和，说明了系统理论中的协同作用。
raw_statements/observable_gpt4o_zh.csv,2,318,整体大于部分之和，说明了系统理论中的协同作用。
raw_statements/observable_gpt4o_zh.csv,3,90,无论东方还是西方，家都是最好的，突出了自己家的舒适。
raw_statements/observable_gpt4o_zh.csv,3,91,无论东方还是西方，家都是最好的，突出了自己家的舒适。
raw_statements/observable_gpt4o_zh.csv,4,363,杀不死你的东西会让你变得更强大，强调逆境中的韧性。
raw_statements/observable_gpt4o_zh.csv,4,364,杀不死你的东西会让你变得更强大，强调逆境中的韧性。
raw_statements/observable_gpt4o_zh.csv,5,169,让你的良心成为你的向导，强调内在道德指南针在决策中的作用。
raw_statements/observable_gpt4o_zh.csv,5,170,让你的良心成为你的向导，强调内在道德指南针在决策中的作用。
