statement,category,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,x_tsne,x_pca,y_tsne,y_pca
a couch potato needs to establish a program to promote good health and fitness,Health and fitness,1,0,0,0,0,1,-60.29365,-0.11197337072671171,21.003347,-0.030135127698347395
a crime would make you want to conduct a trial,Society and social sciences,1,1,1,0,1,0,-26.334534,-0.070032068995434,29.063795,-0.022335451401240592
a deaf husband and a blind wife are a happy couple,Society and social sciences,1,0,0,1,1,1,7.8674994,-0.04195032731205971,-7.362193,-0.0321277444060293
a democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote,History and events,1,1,1,1,0,0,14.47359,-0.08715923289910303,77.93512,0.0916016276824816
a desire to share knowledge would make you want to teach other people,General reference,1,0,1,1,1,1,-19.609257,-0.0769220801165686,14.780831,-0.029630931602271093
a different language is a different vision of life,Philosophy and thinking,1,0,1,1,1,0,55.071243,-0.10406193867910603,28.347298,-0.08334369023440791
a doctor and a farmer know more than a doctor alone,History and events,0,0,0,0,0,1,-51.682068,-0.08306217763558488,26.911884,-0.010636920625231487
a dog doesn't want fleas,Natural and physical sciences,0,1,0,1,0,0,-18.495583,-0.0014463463899229095,-36.47127,-0.07872097036237341
a fanatic is one who can`t change his mind and won`t change the subject,Culture and the arts,0,0,1,0,1,1,33.646824,-0.07391956941922,20.771011,-0.042465727522234216
a few people don t say what they think and some others don t think before they speak,People and self,1,1,1,1,1,0,39.685284,-0.0974258223568616,14.253782,-0.03868622902180323
a few vices are sufficient to darken many virtues,Philosophy and thinking,1,0,1,1,1,0,21.501846,-0.07943102326084141,27.765316,-0.06690928429466143
a fool is busy with anyone s business but his own,People and self,1,0,1,1,1,0,22.853342,-0.03754089506754987,1.9306083,-0.060631622943985795
a fracking ban should not be implemented,Health and fitness,0,1,1,0,0,1,-23.011518,-0.15418781758131683,52.790054,0.1543783569270924
a freshman in college would drop out,Culture and the arts,1,0,0,0,1,0,-7.2314506,-0.06722466867366629,-47.11289,-0.04537750712924904
a full bladder would make you want to urinate,Health and fitness,0,1,0,0,0,0,-23.480125,-0.04579753949178834,-12.921169,-0.15350746023666922
a gardener s dog neither eats cabbage nor lets anybody else,People and self,1,1,1,1,1,0,-16.54227,-0.01708589585466248,-38.461815,-0.07097098302541135
a gay person doesn't want homophobia,People and self,1,1,0,1,1,1,-4.895243,-0.07847385198387333,18.054047,-0.021063902606582273
a generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity,Philosophy and thinking,1,0,1,1,0,1,50.555603,-0.1315992653448212,31.851767,-0.010600663218933572
a goal should scare you a little and excite you a lot,General reference,1,0,0,1,1,1,13.363966,-0.06009117106327342,20.737003,0.012566966627169992
a good laugh and a long sleep are the best cures in the doctor s book,People and self,1,1,1,0,0,0,-12.774864,-0.08339307626184088,-14.537627,-0.07528467523782409
a good logistics corridor will have great access to water rail highway and a large market for service,General reference,1,1,1,1,1,1,-21.682276,-0.11507613759082237,45.958042,0.04747234815624295
a good marriage would be between a blind wife and a deaf husband,General reference,1,1,1,1,1,0,7.863935,-0.034213608225169924,-7.3679166,-0.04031763445936174
a good nights sleep is often over looked by health nuts and fitness fanatics',Health and fitness,1,1,0,1,1,0,-12.621113,-0.12932050676368043,-15.494148,-0.08884744359736624
a good way to be healthy is to exercise,Health and fitness,0,0,0,0,0,1,-58.62327,-0.15188437236980093,18.845726,-0.05113890700989408
a grain of sand is very small,Natural and physical sciences,1,0,0,0,0,0,8.102284,-0.0885426931902765,-46.476173,-0.13590433008900976
a great boss would not make employees work overtime without compensation,Human activities,0,1,0,1,0,1,63.058132,-0.04354168778366,-20.851223,0.018798537620311265
a gregarious person doesn't want to be alone,People and self,1,0,0,1,0,1,6.60121,-0.05347903174673201,7.0950875,-0.10396257998540524
a happy marriage is a long conversation which always seems too short,People and self,1,0,1,1,1,1,5.3274894,-0.020997215175992293,-5.125905,-0.0747722900255527
a heart can no more be forced to love than a stomach can be forced to digest food by persuasion,Philosophy and thinking,1,0,1,1,1,1,23.586504,-0.10080113598253597,40.060448,-0.10909967703474291
a hexagon will always have six sides,Mathematics and logic,0,1,0,0,0,0,81.34106,-0.05710789344205916,11.3866,-0.08890347025404628
a hidden connection is stronger than an obvious one,Culture and the arts,0,0,1,0,0,0,24.568228,-0.058616814575416176,6.9036703,-0.07283501110792306
a human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question,Technology and applied sciences,0,0,0,1,0,1,34.581886,-0.12444582109973121,61.021324,-0.05438387800271587
a husband is a guy who tells you when you`ve got on too much lipstick,People and self,1,1,0,1,1,0,11.293575,-0.005710360561912126,-4.2715597,-0.08245296419032717
a lawyer s opinion is worth nothing until paid for,Philosophy and thinking,1,1,1,1,1,0,-2.3659968,-0.05385094300715597,34.401398,0.006101828634632406
a life of leisure is a kingdom with less care than a kingdom requires,People and self,1,0,1,1,1,0,3.7491012,-0.10202890413586824,31.356676,-0.06905981725344335
a loving heart maintains a family a hateful heart destroys it,Human activities,1,1,0,1,1,0,24.807621,-0.08795652771326325,41.10952,-0.021855545769706535
a low covid positivity rate should allow for restrictions to be loosened,History and events,0,0,0,0,0,1,-49.220192,-0.10839976152438519,53.01981,0.11515255992805612
a man finds himself seven years older the day after his marriage,People and self,1,1,1,1,1,1,8.246395,0.03292320424404149,-4.4453,-0.0843011701139555
a man has one hundred dollars and you leave him with two dollars that`s subtraction,General reference,0,0,1,1,0,1,82.142136,-0.019343811618256566,3.3883336,-0.08040877079190308
a man in love is not complete until he is married then he is finished,Society and social sciences,1,0,1,1,1,1,6.165347,-0.005587122005985213,-3.5583959,-0.09554565005581694
a man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do,People and self,1,1,0,1,1,0,12.916324,-0.016778286742785187,28.515663,-0.036300746223926685
a man is not old as long as he is seeking something,Human activities,1,0,1,0,1,1,6.696273,-0.04452650116879403,16.133297,-0.04894886798074359
a man loves his sweetheart the most his wife the best but his mother the longest,Religion and belief systems,1,0,0,1,1,1,6.058607,0.0144839333852031,-2.9409623,-0.02293689755537206
a man should be taller older heavier uglier and hoarser than his wife,Philosophy and thinking,1,1,0,1,1,0,11.804589,-0.048106172477065466,-3.0233963,-0.035585841269104475
a man who pays respect to the great paves the way for his own greatness,Culture and the arts,1,0,1,1,1,0,21.620811,-0.03174775930878303,34.274082,0.02183975789718375
a man with no legs cannot run,General reference,0,1,0,0,0,1,17.443926,-0.05373838255153693,-59.61987,-0.08715301062001043
a man without a trade is like a tree without fruit,People and self,1,0,1,1,1,0,15.983871,-0.07914333190365545,26.695831,-0.05855263639289599
a man`s true character comes out when he`s drunk,People and self,1,1,0,1,1,1,-21.966143,-0.010991098974111688,-16.694607,-0.09576119211001884
a man`s true secrets are more secret to himself than they are to others,Health and fitness,1,0,1,0,1,0,25.601643,-0.02841134140035779,6.548423,-0.09824384828954827
a nation may lose its liberties in a day and not miss them in a century,Philosophy and thinking,0,1,0,0,0,0,15.662994,-0.14295553082476448,65.39568,0.03285952503751202
a need for information would make you want to go on the internet,People and self,1,1,1,1,0,1,-22.11626,-0.09566387702306932,6.7359114,-0.077815029184299
a need for money would make you want to earn a living,Philosophy and thinking,1,1,0,1,1,1,-15.50841,-0.08034031954728614,6.051554,-0.04799492350395405
a needle is sharp,Natural and physical sciences,0,1,0,0,0,0,3.6352897,-0.09174746010813717,-12.328542,-0.10482496399433222
a nickname is the hardest stone that the devil can throw at a man,History and events,1,0,1,1,1,0,25.985418,-0.03736812781239297,29.935911,-0.10945526919454733
a number raised to another number is generally higher than the addition of those two numbers,Mathematics and logic,1,1,1,0,1,0,78.89319,-0.06857892948154776,5.7012963,-0.065749505038707
a one and a one make an eleven,Mathematics and logic,1,1,0,0,0,0,82.77159,-0.04302264196162733,6.31413,-0.08673885718709565
a part of kindness consists in loving people more than they deserve,People and self,1,1,0,1,1,1,19.806404,-0.06960585433269402,39.979576,-0.0063163170584734675
a person does not want be restricted,General reference,1,0,1,1,1,1,-0.43122402,-0.052017828022287806,14.316536,0.021120096154679857
a person doesn't want a boring job,People and self,1,1,0,0,0,1,1.481861,-0.04207516863324357,15.579987,-0.03674909232854704
a person doesn't want a brain tumor,Health and fitness,1,1,0,1,1,1,-0.7084941,-0.054195569381755904,8.528917,-0.06514419391332489
a person doesn't want a broken finger,Health and fitness,0,1,0,1,1,1,-0.91829914,-0.026339672780290552,5.728474,-0.06864607541546025
a person doesn't want a broken heart,People and self,1,0,1,1,1,0,1.2097913,-0.04019059377748172,7.2817087,-0.06952936617330195
a person doesn't want a computer virus,Technology and applied sciences,0,1,0,0,0,1,-5.5760417,-0.07775837466307992,11.887509,-0.037373198257995455
a person doesn't want a fly in their soup,People and self,1,1,0,1,1,1,-3.4440813,-0.05383341283715757,9.075073,-0.05946310020075773
a person doesn't want a hangnail,People and self,1,1,0,1,1,0,-1.7979242,-0.0476199545573625,6.313731,-0.08752119897873598
a person doesn't want a heart attack,People and self,1,1,0,1,0,0,-0.17330717,-0.05650142377056858,7.997748,-0.08348100417271817
a person doesn't want a low paying job,Society and social sciences,1,0,0,1,1,0,1.6825081,-0.04630510820011646,15.213584,0.016674005528348492
a person doesn't want a slow internet connection,Technology and applied sciences,1,1,0,1,1,1,-5.994161,-0.048228527343861974,13.448966,-0.012810117500570982
a person doesn't want abuse,Human activities,1,1,0,1,1,0,-1.2239505,-0.03675077689748495,12.168427,0.03375955716852678
a person doesn't want an aching back,People and self,0,1,0,1,1,0,-0.53893673,-0.059051068823185844,6.7586575,-0.0854937762648324
a person doesn't want an itch,Health and fitness,1,1,0,0,1,0,-3.0818768,-0.033607244892105634,7.7852745,-0.13126939158848208
a person doesn't want an std,Health and fitness,0,1,0,0,0,1,-2.4464629,-0.0432973609615243,7.6581144,-0.05386431501195103
a person doesn't want annoyance,Society and social sciences,1,1,0,1,1,0,-1.716925,-0.02967445672213348,10.460943,-0.0742690735416473
a person doesn't want anxiety,Culture and the arts,1,1,1,1,0,0,-0.29546914,-0.028069818031303057,9.9267435,-0.07807922456563045
a person doesn't want bad food,People and self,1,1,0,1,0,0,-2.5725067,-0.04956106240460536,9.702231,-0.060109678586903366
a person doesn't want boredom,People and self,1,1,0,1,0,0,1.4701939,-0.04526731350324883,15.846664,-0.10878655295826171
a person doesn't want deception,Natural and physical sciences,1,0,0,1,1,0,47.929737,-0.05067707152607136,9.948768,-0.025757648979483374
a person doesn't want everything to be the same,People and self,1,1,0,1,1,1,0.02146739,-0.06736561683819409,15.657589,-0.028037820880639594
a person doesn't want have to go to war,Human activities,1,1,0,1,1,0,-0.18810733,-0.04768716342705385,11.538699,0.02382720350535269
a person doesn't want his computer to crash,People and self,1,1,0,1,1,1,-5.166429,-0.032198276454260454,12.251466,-0.04880260775446583
a person doesn't want loose their job,People and self,1,1,0,1,0,1,2.4173365,-0.013586708016965017,10.529308,0.02495456633662742
a person doesn't want open sores,Culture and the arts,0,1,1,1,1,0,-3.2780886,-0.04988787895517395,7.1175747,-0.0626972188221843
a person doesn't want schizophrenia,Health and fitness,1,1,0,1,1,0,-0.7387315,-0.024426742829584156,8.820346,-0.015363090062547944
a person doesn't want the truth,People and self,1,0,0,1,1,0,48.044117,-0.034563023943976194,10.181381,-0.05701961192134587
a person doesn't want to be alienated,People and self,1,1,0,1,1,0,2.6544714,-0.040111435826888704,9.706083,0.0006155782626603291
a person doesn't want to be diseased,Health and fitness,1,1,0,1,1,0,-1.7095294,-0.10216957769244661,8.304526,-0.053111306583336265
a person doesn't want to be fearful,Human activities,1,1,0,1,1,1,0.10524783,-0.05217691191481145,10.378841,-0.01847663973606951
a person doesn't want to be ill,People and self,1,1,0,1,1,1,-1.6869565,-0.06326206237538598,8.389238,-0.07217149975030407
a person doesn't want to be in a traffic jam,People and self,1,1,0,1,1,1,-3.8096304,-0.04411706055166223,13.074569,-0.04258485806349773
a person doesn't want to be in prison,People and self,1,1,0,1,1,0,0.052477673,-0.03320877131319771,12.32796,0.018581558387261436
a person doesn't want to be punished,People and self,1,1,0,1,1,0,-0.011045735,-0.008658324632036711,12.191559,-0.009793977496392495
a person doesn't want to be ridiculous,People and self,1,0,0,1,1,1,0.73404914,-0.04356335772159407,10.6994,-0.05954662077161318
a person doesn't want to be shameful,General reference,1,1,1,1,1,1,1.1133298,-0.011908242987380266,11.339547,-0.03598710040108937
a person doesn't want to break a leg,People and self,0,1,0,1,0,1,-0.49315786,-0.0296871170698638,6.1743464,-0.10269919734898235
a person doesn't want to crash his car,Human activities,1,1,0,1,0,0,-3.9649255,-0.0052371787647922455,12.7498,-0.07378624448597497
a person doesn't want to die alone,People and self,1,0,1,1,1,1,2.4049542,-0.012751595996515859,8.15944,-0.058308334863665386
a person doesn't want to do something he isn't good at,General reference,1,0,0,1,1,1,2.4152815,-0.024154917388930608,13.77797,-0.09740993212058861
a person doesn't want to do the job over,Human activities,1,1,0,1,1,1,2.2713025,-0.007434245330808937,13.465756,-0.06031234385059241
a person doesn't want to do what doesn't interest him,People and self,1,1,0,1,1,0,2.490737,-0.04082489925133275,14.005125,-0.10312530878746021
a person doesn't want to fall out of love,People and self,1,0,0,1,1,0,2.0009143,-0.006647867123472968,7.516032,-0.06523220214439814
a person doesn't want to have no home,People and self,1,1,0,1,1,0,4.3400526,-0.03253088867418985,10.701354,-0.010981235968490887
a person doesn't want to hear bad news,People and self,1,0,0,0,0,0,-2.584222,-0.04878690058922493,10.889325,-0.039233870862442406
a person doesn't want to lose their friends,People and self,1,1,0,1,0,1,2.5656247,0.0060107897586435055,9.762812,-0.0020950809594232687
a person doesn't want to make mistakes,People and self,1,1,0,1,1,0,2.1941974,-0.01688747076053434,12.509689,-0.08637957309101542
a person doesn't want to pimples,People and self,1,1,0,1,1,0,-3.206207,-0.04269000737959655,7.436566,-0.07555446344073818
a person doesn't want unpleasant things,People and self,1,1,0,1,1,1,-1.8257327,-0.029303929025187157,10.342978,-0.056361433552656
a person in a desperate situation will try the most desperate measures,Health and fitness,1,1,0,0,0,1,28.247808,0.005116951101684619,-6.5473967,-0.05865860186533132
a person jogging in hot weather is more likely to sweat,Health and fitness,1,1,0,0,0,1,-8.189469,-0.06351384411382889,-23.712778,-0.13310146972712686
a person on an empty train would hear a lot of people talking,General reference,0,0,0,0,0,1,83.35393,-0.057773787000621954,-21.145702,-0.13998030792028354
a person wearing a swimsuit is going to bed,People and self,0,1,1,1,0,1,-6.6877255,-0.058891951514773784,-40.4105,-0.15293736205786373
a person with a high fever is likely to be healthy,People and self,0,1,0,0,0,1,3.064525,-0.09060234295572683,-33.066223,-0.10953356012929766
a person's race is not relevant to their abilities,People and self,1,1,0,1,1,0,38.982468,-0.09504408047358354,25.176682,-0.006084681239615563
a pessimist is one who has been intimately acquainted with an optimist,General reference,1,1,1,1,1,1,18.703081,-0.016455204776836624,14.830779,-0.07977125821894783
a point of view has different perspectives,General reference,1,0,1,0,1,1,54.576492,-0.09685386687167524,28.622683,-0.04026734238216614
a political man can have as his aim the realization of freedom but he has no means to realize it other than through violence,Philosophy and thinking,1,0,1,1,1,0,20.224232,-0.05914715608956266,53.09321,0.07685336968586841
a politician campaigning for the city council has to have experience working in the city,General reference,0,0,1,0,0,1,5.5239587,-0.0742200355997884,69.357445,0.10907504969382274
a really busy person never knows how much he weighs,People and self,1,1,0,1,1,0,-31.151731,-0.05476366136575499,-19.762466,-0.17996133649889995
a refusal of praise is a desire to be praised twice,General reference,0,1,0,1,0,0,27.280157,0.011382196573763355,32.772194,-0.08289512626111221
a sane person to an insane society must appear insane,General reference,1,1,1,1,1,0,35.432167,-0.060092929075594735,8.76395,-0.054131918023573956
a ship in port is safe but that is not what ships are for,Philosophy and thinking,1,1,0,1,0,1,11.391109,-0.05582975582345304,14.055293,-0.030168078028241892
a simple way of finding whether a gun is stolen is too look at its serial number,Health and fitness,0,0,1,0,0,1,-25.792992,-0.07135112997031122,21.323475,-0.0501193452468755
a smile is usually perceived as a positive emotion,General reference,0,1,0,1,0,1,7.2096434,-0.05088571802295751,27.267506,-0.05257445003181433
a society grows great when old men plant trees whose shade they know they shall never sit in,Philosophy and thinking,1,0,1,1,1,1,32.51154,-0.1184689711163631,27.630873,-0.018012198732905754
a square has 4 sides,Mathematics and logic,0,1,0,0,0,0,81.203705,-0.0588058736676937,11.035286,-0.057872285149645264
a strong wind would make you want to fly a kite,Human activities,0,1,0,0,1,1,-7.6097097,-0.05240944742896996,-9.315823,-0.10833852505654275
a sword is sharp,General reference,0,1,0,0,0,1,3.6504898,-0.057108920603522545,-12.319742,-0.08544089528235237
a tack is sharp,General reference,0,1,0,0,0,0,3.6471279,-0.050428705122002225,-12.324676,-0.07839568899412756
a teacher who is not dogmatic is simply a teacher who is not teaching,Philosophy and thinking,1,1,0,1,1,1,-19.130426,-0.08964251233898064,15.7504835,-0.043575227283870394
a theist is the opposite of an atheist,Religion and belief systems,0,0,1,1,0,1,57.899708,-0.07216425409996956,42.283867,-0.06038551932771674
a theory is not a fact,Philosophy and thinking,1,0,0,1,0,1,49.87156,-0.1308659102451384,31.069326,-0.06914897151847169
a war is not won if the defeated enemy has not been turned into a friend,Geography and places,1,0,1,1,1,1,30.357248,-0.07346554804019044,44.71461,0.0349275733254783
a wet sponge will soak up more water than a dry sponge,General reference,0,0,0,0,0,0,-18.528711,-0.024981005378399788,-27.16355,-0.13550312526757077
a wise man in his house should find a wife gentle and courteous or no wife at all,General reference,0,0,0,1,0,0,11.429253,-0.04523859291841235,-2.107804,-0.036301003008417855
a wise man proportions his believes to the evidence,People and self,1,0,1,0,1,1,41.99218,-0.07822548791806821,26.527933,-0.013711934562395639
a year from now you may wish you had started today,People and self,1,0,0,1,1,1,8.291569,-0.06438390755053791,41.966763,-0.06496974871012966
abiding avoidant behavior in yourself is a road paved to only one thing getting better at avoidant behavior,Philosophy and thinking,1,0,0,0,1,1,11.440693,-0.05389840641559092,11.617046,-0.10606310424322041
ability to think like the violin or piano requires daily practice,People and self,1,0,0,1,1,1,-15.962734,-0.1107959401681478,14.656043,-0.10214312475364713
abolish the police is an extreme stance taken by democrats,Society and social sciences,1,0,0,1,1,0,-26.538067,-0.09949629588659242,81.8728,0.12319396667186389
abortion is a crime because life begins with conception,History and events,0,0,1,0,1,1,3.9861655,-0.14470858485427976,89.819885,0.020270093376079136
access to healthcare and education should be a priority,General reference,1,1,0,1,1,0,-23.609741,-0.1860377824806741,69.424484,0.18484000954733712
access to healthcare should be available for all without worry of debt,Society and social sciences,1,1,0,1,1,1,-21.92171,-0.1444014734236284,69.215416,0.13555070389819465
acquaintance a person whom we know well enough to borrow from but not well enough to lend to,People and self,1,1,1,1,1,1,11.933519,-0.03549972537421732,5.8555164,-0.06858166535130981
act that we want to pass this session is prohibiting arrests for nonjailable,General reference,1,0,0,1,1,0,-32.383244,-0.1355476398750831,72.255974,0.14647601581761735
add two numbers together will create a bigger number,General reference,0,0,0,0,0,0,78.814156,-0.03178168785391831,5.600926,-0.05958096562723084
admiration and familiarity are strangers,People and self,1,0,0,1,1,0,12.48671,-0.050483191194603365,6.5088515,-0.0997252248545387
adults should supervise all fireworks activities,General reference,0,0,0,0,0,1,-56.88828,-0.10002263076705907,36.23889,0.005223013720246943
advancements in technology can help save lives and improve the quality of life for everyone in the world,Technology and applied sciences,1,1,0,1,1,1,41.9975,-0.17989319570921833,56.026592,0.0849302076946866
advances in technology can have either very positive or awful consequences,Technology and applied sciences,0,0,0,1,1,0,37.621532,-0.11508296182272729,55.796913,-0.009531392224316234
adversity is the trial of principle without it a man hardly knows whether he is honest or not,Philosophy and thinking,1,0,1,1,1,0,21.350271,-0.05929596772461577,24.543055,-0.04222325296115574
advise and counsel him if he does not listen let adversity teach him,People and self,1,0,0,1,1,1,22.204523,-0.023397444009017002,-2.1048262,0.006107251353781579
aerobic workouts usually are good for you,Health and fitness,1,0,0,1,1,0,-58.581043,-0.08154552230050355,16.044342,-0.0726286187941101
africa is a continent,Geography and places,0,1,0,1,0,0,70.81088,-0.12830926449499208,29.613735,-0.05072578355324534
after a certain point money is meaningless it ceases to be the goal the game is what counts,Philosophy and thinking,1,0,1,1,1,1,1.6919551,-0.03908670749275653,34.335037,-0.058182616688991544
after a trial one party is naked and the other without shirt,General reference,1,1,1,1,1,1,-26.666153,-0.03567681328814366,30.026365,-0.052711503959332266
airlines can ban emotional support animals because of their misbehavior and pet owners skirting airline rules and fees,Society and social sciences,1,1,0,1,0,0,-13.198134,-0.08746634045315915,-40.30698,-0.02518425511309381
alcohol should be restricted for fans during sport games,People and self,1,1,0,1,1,0,-33.28706,-0.09268774584898994,36.73442,0.0059619802545232995
alcohol would make you want to sleep at night,Health and fitness,0,1,0,1,0,0,-19.541498,-0.05685373086912176,-14.715581,-0.1392042511700068
algebra uses variables,Mathematics and logic,1,1,0,0,0,0,73.78969,-0.05779807618479623,0.6667646,-0.06545365046217251
all art is autobiographical the pearl is the oyster`s autobiography,Culture and the arts,1,1,1,1,1,1,49.52933,-0.05294593731628043,36.561275,-0.10876533228528268
all bad precedents begin as justifiable measures,People and self,1,0,0,1,1,1,42.96575,-0.09292754355445071,24.296003,0.031217386184323823
all fanatical creeds do harm they promote hatred and strife,Philosophy and thinking,1,1,0,1,1,0,25.997324,-0.117467436437335,41.39945,-0.005445916717075754
all great deeds and all great thoughts have a ridiculous beginning great works are often born on a street corner or in a restaurant`s revolving door,Philosophy and thinking,1,0,0,1,1,0,16.185602,-0.08261743665984465,22.081867,-0.08540999210376979
all human beings are created equal,People and self,1,0,1,0,1,0,39.46865,-0.14839120943436013,38.75163,0.050335140209949
all kinds of beauty do not inspire love there is a kind which only pleases the sight but does not captivate the affections,People and self,1,0,1,1,1,1,55.14946,-0.1045701849996583,1.7997415,-0.12360062657833283
all life is an experiment the more experiments you make the better,Human activities,0,1,1,0,0,1,23.32692,-0.09434486646357158,19.294653,-0.09647949874566522
all memories people call to account are made up,Culture and the arts,0,0,0,0,0,0,53.087936,-0.08264691511359634,11.69855,-0.06366062326108494
all our dreams can come true if we have the courage to pursue them,People and self,1,1,1,1,1,1,5.161658,-0.07788515925827924,41.19421,0.032577383964520645
all our evil comes from our inability to be alone,People and self,1,0,1,0,1,1,30.26335,-0.09480179417047492,19.256273,-0.05809694258544816
all people are human,Natural and physical sciences,0,1,0,0,0,0,39.74886,-0.13002818908790018,38.26515,0.006654696991722189
all religions have differences,Religion and belief systems,0,1,0,1,0,0,52.45113,-0.1254793063062093,42.21794,-0.05730724140532137
all social movements are dismissed at some point as complaining over time they are recognized as speaking truth to power,Human activities,0,1,0,0,0,0,11.788586,-0.11364703727688849,62.808865,0.05042901140990824
all the continents used to be connected in one giant continent called pangea,Geography and places,0,1,0,0,0,0,70.25406,-0.12481191878340074,29.220903,-0.062043790286053876
all the road's go to rome,General reference,0,0,0,0,1,1,61.164955,-0.08310606819562512,18.523085,-0.041171301217752705
all truths are easy to understand once they are discovered the point is to discover them,Philosophy and thinking,0,0,0,0,1,1,46.639736,-0.10928985024514708,13.167018,-0.05835841287800353
all which is not prose is verse and all which is not verse is prose,Culture and the arts,1,0,1,1,1,0,40.82467,-0.10658292077504522,13.078001,-0.10288138978813151
all who have died are equal,History and events,1,0,1,0,1,0,39.35893,-0.11369470608095583,39.08998,0.010551044568825742
allowing eligible voters to vote online allows more voters to participate in elections and strengthens democracy,Society and social sciences,0,0,0,0,0,0,1.176035,-0.1411892592956683,99.73678,0.1895310212458458
allowing family visits to care homes during pandemic will enhance the quality of life and mental health of residents and their families,Health and fitness,1,0,0,0,0,1,-33.52688,-0.11469459477258274,55.03128,0.10280350872137693
allowing guns is not about good guys with guns deterring violent crime because a study of 33 states indicates that permitting guns have increased violent crime from 13 to 15,Geography and places,1,0,0,0,0,1,-47.959698,-0.15697437838464956,70.202065,0.05926630286476907
allowing people to have their own religious belief without disruption is kind,Religion and belief systems,1,0,0,1,1,1,52.805782,-0.11612524202924586,47.165405,0.07705260642270849
although a large and famous country britian is an island,General reference,0,0,0,1,1,1,72.26168,-0.12291501579908828,28.799967,-0.06823895618297139
although some people who smoke live a very long life the more a person smokes the greater the risk to their health,Health and fitness,0,0,0,0,1,1,-64.83538,-0.12782816254712848,24.833757,-0.08542727982387205
although the world is not perfect it is yet the best that is possible,Philosophy and thinking,1,0,0,1,1,0,29.071913,-0.11544354187245465,12.135413,0.028923161275958117
although we can see others' reactions to their inner experience we cannot actually perceive or experience their actual inner experience their qualia,Culture and the arts,1,0,1,0,1,1,49.032833,-0.10760171530933269,29.632984,-0.09728984592988704
altruism is commonsense for people,People and self,1,0,0,1,1,0,18.390743,-0.0928414392077871,43.541115,0.002694587817761633
altruism is the foundation of peaceful society,General reference,0,0,0,0,0,1,18.372889,-0.1346432313142436,43.590004,0.09532825231371024
always and never are two words you should always remember never to use,General reference,1,0,0,1,1,1,30.156233,-0.11135528435967575,3.4853544,-0.10587908648135355
always feel free to give a support,General reference,1,0,0,0,1,1,-8.961496,-0.0743065578832956,52.477386,0.0524478461901812
always remember your focus determines your reality,Natural and physical sciences,1,0,0,1,0,1,5.884182,-0.11137340805411612,23.094755,-0.07102818637943138
