statement,committer,elicitation
Les toiles d'araignées piègent les insectes.,Amir,Amazon Translate
Certains bus sont alimentés à l'électricité.,Amir,Amazon Translate
Les koalas mangent des feuilles d'eucalyptus.,Amir,Amazon Translate
L'équitation est une activité de plein air.,Amir,Amazon Translate
Les bureaux offrent une surface de travail.,Amir,Amazon Translate
Les vols partent des aéroports.,Amir,Amazon Translate
Les grillons émettent des sons de gazouillis la nuit.,Amir,Amazon Translate
Les baleines peuvent communiquer sur de longues distances.,Amir,Amazon Translate
Les triangles sont des formes géométriques de base.,Amir,Amazon Translate
Le shampoing nettoie vos cheveux.,Amir,Amazon Translate
Les pingouins se dandinent lorsqu'ils marchent.,Amir,Amazon Translate
Les spaghettis sont un type de pâtes.,Amir,Amazon Translate
Les caméras peuvent enregistrer des vidéos et des images fixes.,Amir,Amazon Translate
Les souris sont de petits rongeurs.,Amir,Amazon Translate
La plupart des bus urbains suivent un horaire.,Amir,Amazon Translate
Le pancréas produit de l'insuline.,Amir,Amazon Translate
Les tulipes sont des fleurs printanières.,Amir,Amazon Translate
Les plantes de la forêt tropicale poussent rapidement.,Amir,Amazon Translate
Les moustiques sont attirés par l'eau stagnante.,Amir,Amazon Translate
Les pièces d'échecs se déplacent de manière spécifique.,Amir,Amazon Translate
Les récifs coralliens abritent une vie marine diversifiée.,Amir,Amazon Translate
Les ours hibernent en hiver.,Amir,Amazon Translate
Les cartes peuvent être numériques ou papier.,Amir,Amazon Translate
Les ordinateurs portables peuvent fonctionner sur piles.,Amir,Amazon Translate
Le bois flotte sur l'eau.,Amir,Amazon Translate
Les feuilles captent la lumière solaire pour produire de l'énergie.,Amir,Amazon Translate
Les cerfs-volants volent dans le vent.,Amir,Amazon Translate
Les tigres chassent de grosses proies.,Amir,Amazon Translate
La lumière permet aux humains de voir leur environnement.,Amir,Amazon Translate
La plupart des mammifères donnent naissance à des petits vivants.,Amir,Amazon Translate
Le sel rehausse le goût de nombreux aliments.,Amir,Amazon Translate
La Voie lactée est une galaxie contenant la Terre.,Amir,Amazon Translate
Les chats utilisent des moustaches pour détecter leur environnement.,Amir,Amazon Translate
La Terre tourne une fois toutes les 24 heures.,Amir,Amazon Translate
Les pièces peuvent être utilisées pour payer de petits achats.,Amir,Amazon Translate
Le beurre fond à température ambiante.,Amir,Amazon Translate
Le courrier est distribué par les services postaux.,Amir,Amazon Translate
Les chiens peuvent être entraînés à obéir aux ordres.,Amir,Amazon Translate
Les lapins mangent principalement des plantes et des légumes.,Amir,Amazon Translate
Le soleil fournit de l'énergie aux écosystèmes de la Terre.,Amir,Amazon Translate
De nombreux lacs sont formés par les glaciers.,Amir,Amazon Translate
Le sucre peut provoquer la carie dentaire.,Amir,Amazon Translate
Le vent fait passer l'air de la haute à la basse pression.,Amir,Amazon Translate
Le thé est préparé en faisant tremper les feuilles dans de l'eau chaude.,Amir,Amazon Translate
Les loups sont apparentés aux chiens domestiques.,Amir,Amazon Translate
Les coups de soleil sont causés par les rayons ultraviolets.,Amir,Amazon Translate
Les poulpes ont huit bras.,Amir,Amazon Translate
Un marathon fait 42 kilomètres de long.,Amir,Amazon Translate
Certains oiseaux peuvent imiter la voix humaine.,Amir,Amazon Translate
Les feuilles tombent des arbres en automne.,Amir,Amazon Translate
Le charbon est un combustible fossile.,Amir,Amazon Translate
Les renards ont une queue touffue.,Amir,Amazon Translate
Les vélos contribuent à réduire la pollution de l'air.,Amir,Amazon Translate
Les zèbres ont des rayures noires et blanches.,Amir,Amazon Translate
Les séismes mesurent le mouvement le long des failles.,Amir,Amazon Translate
La plupart des navires flottent en déplaçant l'eau.,Amir,Amazon Translate
Le chocolat contient du cacao.,Amir,Amazon Translate
Les nuages prédisent des changements climatiques.,Amir,Amazon Translate
Certaines araignées utilisent le venin pour maîtriser leurs proies.,Amir,Amazon Translate
Les vaches mâchent du lait pour digérer les aliments.,Amir,Amazon Translate
Les roses ont des tiges épineuses.,Amir,Amazon Translate
De nombreux hiboux chassent la nuit.,Amir,Amazon Translate
Les pommes de terre peuvent être préparées de plusieurs manières.,Amir,Amazon Translate
Les feuilles absorbent du dioxyde de carbone.,Amir,Amazon Translate
Les loups voyagent en meute.,Amir,Amazon Translate
Les moustiques peuvent transmettre des maladies comme le paludisme.,Amir,Amazon Translate
Les phoques sont des mammifères marins.,Amir,Amazon Translate
Les avions décollent des pistes.,Amir,Amazon Translate
Les crayons sont fabriqués à partir de cire colorée.,Amir,Amazon Translate
Les étoiles sont visibles la nuit.,Amir,Amazon Translate
Le brocoli est un légume nutritif.,Amir,Amazon Translate
La glace se forme lorsque l'eau gèle.,Amir,Amazon Translate
La girafe a un long cou pour se nourrir.,Amir,Amazon Translate
Les tours d'horloge indiquent l'heure au public.,Amir,Amazon Translate
Les loupes font paraître les objets plus grands.,Amir,Amazon Translate
Les cartes utilisent des symboles pour les points de repère.,Amir,Amazon Translate
Les perroquets sont connus pour leurs plumes brillantes.,Amir,Amazon Translate
Les lièvres ont de longues oreilles.,Amir,Amazon Translate
Les coquillages sont fabriqués par des animaux marins.,Amir,Amazon Translate
Le soleil se trouve à environ 93 millions de kilomètres de la Terre.,Amir,Amazon Translate
Le feu a besoin d'oxygène pour brûler.,Amir,Amazon Translate
Les chenilles se transforment en papillons.,Amir,Amazon Translate
Les oranges sont pelées avant d'être consommées.,Amir,Amazon Translate
Pluton est classée comme une planète naine.,Amir,Amazon Translate
Le clignotement permet de garder les yeux humides.,Amir,Amazon Translate
Les concombres sont principalement constitués d'eau.,Amir,Amazon Translate
De nombreux poissons pondent leurs œufs dans l'eau.,Amir,Amazon Translate
Les boussoles utilisent le magnétisme pour trouver le Nord.,Amir,Amazon Translate
La foudre peut provoquer des feux de forêt.,Amir,Amazon Translate
Les bulles de savon sont sphériques.,Amir,Amazon Translate
De nombreux champignons poussent dans les forêts humides.,Amir,Amazon Translate
Les avions survolent les nuages.,Amir,Amazon Translate
Les bernard-l'ermite trouvent des coquilles vides pour vivre.,Amir,Amazon Translate
Les montres-bracelets indiquent l'heure actuelle.,Amir,Amazon Translate
Le chant des baleines parcourt de longues distances sous l'eau.,Amir,Amazon Translate
Les chats peuvent rétracter leurs griffes.,Amir,Amazon Translate
Le violon se joue avec un archet.,Amir,Amazon Translate
Les orchidées sont des fleurs tropicales.,Amir,Amazon Translate
La pluie rafraîchit l'air pendant les journées chaudes.,Amir,Amazon Translate
Les aigles ont une excellente vue.,Amir,Amazon Translate
Les abeilles sont d'importants pollinisateurs.,Amir,Amazon Translate
Les pins ont des feuilles en forme d'aiguilles.,Amir,Amazon Translate
La plupart des immeubles d'habitation comportent plusieurs étages.,Amir,Amazon Translate
Des grues soulèvent des matériaux lourds sur les chantiers de construction.,Amir,Amazon Translate
Les chameaux emmagasinent la graisse dans leurs bosses.,Amir,Amazon Translate
Les cartes aident les gens à trouver un itinéraire.,Amir,Amazon Translate
Les lapins ont de longues oreilles.,Amir,Amazon Translate
Le sommeil redonne de l'énergie aux humains et aux animaux.,Amir,Amazon Translate
Les pigeons vivent dans les villes du monde entier.,Amir,Amazon Translate
Les couteaux sont utilisés pour couper les aliments.,Amir,Amazon Translate
Les corbeaux sont des oiseaux très intelligents.,Amir,Amazon Translate
Les plantules poussent à partir de graines plantées.,Amir,Amazon Translate
L'aluminium est un métal léger utilisé dans les canettes.,Amir,Amazon Translate
Les montagnes connaissent une baisse de la pression atmosphérique au sommet.,Amir,Amazon Translate
Les rivières peuvent éroder les roches et le sol.,Amir,Amazon Translate
Les fourmis vivent en colonies organisées.,Amir,Amazon Translate
Les enfants perdent généralement leurs dents de lait à l'âge de douze ans.,Amir,Amazon Translate
Les oiseaux ont des os creux qui les aident à voler.,Amir,Amazon Translate
L'or est utilisé dans la fabrication de bijoux.,Amir,Amazon Translate
Les citrons ont un goût aigre à cause de l'acide citrique.,Amir,Amazon Translate
Les globules rouges transportent de l'oxygène.,Amir,Amazon Translate
Certaines chauves-souris utilisent l'écholocation pour naviguer.,Amir,Amazon Translate
Le vert est une couleur secondaire.,Amir,Amazon Translate
L'eau est un composé d'hydrogène et d'oxygène.,Amir,Amazon Translate
Certains hiboux peuvent faire pivoter leur tête de 270 degrés.,Amir,Amazon Translate
Les triangles ont toujours trois angles.,Amir,Amazon Translate
Les serpents perdent leur peau périodiquement.,Amir,Amazon Translate
Le fromage est fabriqué à partir de lait fermenté.,Amir,Amazon Translate
Les cartes utilisent une légende pour expliquer les symboles.,Amir,Amazon Translate
La plupart des gens ont vingt dents primaires.,Amir,Amazon Translate
Le vent déplace les nuages dans le ciel.,Amir,Amazon Translate
Les montres sont alimentées par des piles ou des ressorts.,Amir,Amazon Translate
Certains poissons changent de couleur pour se camoufler.,Amir,Amazon Translate
Le pain se lève avec de la levure ou de la levure chimique.,Amir,Amazon Translate
Une pieuvre jette de l'encre lorsqu'elle est menacée.,Amir,Amazon Translate
Certains animaux hibernent en hiver.,Amir,Amazon Translate
Les guépards peuvent atteindre des vitesses élevées pendant de courtes rafales.,Amir,Amazon Translate
Les levers de soleil se produisent à l'est.,Amir,Amazon Translate
Les hippocampes s'ancrent avec une queue préhensile.,Amir,Amazon Translate
Le chocolat est toxique pour de nombreux animaux.,Amir,Amazon Translate
Les abeilles stockent le miel dans des ruches.,Amir,Amazon Translate
Le cuivre est un bon conducteur électrique.,Amir,Amazon Translate
Les chameaux ont de longs cils pour se protéger du sable.,Amir,Amazon Translate
L'océan Atlantique borde plusieurs continents.,Amir,Amazon Translate
Les tornades ont l'apparence d'un entonnoir.,Amir,Amazon Translate
Les roses ont besoin de soleil et d'eau pour pousser.,Amir,Amazon Translate
Les bureaux de poste s'occupent de la distribution du courrier.,Amir,Amazon Translate
La plupart des téléphones modernes sont des smartphones.,Amir,Amazon Translate
La gravité de la lune provoque des marées sur Terre.,Amir,Amazon Translate
L'Antarctique est principalement recouvert de glace.,Amir,Amazon Translate
Les vers de terre contribuent à améliorer la structure du sol.,Amir,Amazon Translate
La plupart des araignées sont inoffensives pour l'homme.,Amir,Amazon Translate
Les ventilateurs font circuler l'air dans une pièce.,Amir,Amazon Translate
Les kiwis sont des oiseaux incapables de voler originaires de Nouvelle-Zélande.,Amir,Amazon Translate
La plupart des tissus sont tissés à partir de fils.,Amir,Amazon Translate
La foudre est causée par une décharge électrique dans les nuages.,Amir,Amazon Translate
Les pingouins chassent le poisson sous l'eau.,Amir,Amazon Translate
Le guépard est connu pour sa vitesse de sprint.,Amir,Amazon Translate
Les chats ronronnent souvent lorsqu'ils sont satisfaits.,Amir,Amazon Translate
Les koalas dorment pendant de longues périodes.,Amir,Amazon Translate
Les arbres fournissent de l'ombre et un abri.,Amir,Amazon Translate
Les pandas mangent principalement du bambou.,Amir,Amazon Translate
Le congélateur permet de conserver les aliments congelés.,Amir,Amazon Translate
La glace flotte parce qu'elle est moins dense que l'eau.,Amir,Amazon Translate
Les cartes aident les voyageurs à planifier leurs voyages.,Amir,Amazon Translate
La lave se refroidit en roche solide.,Amir,Amazon Translate
Les grues sont des machines utilisées pour le levage.,Amir,Amazon Translate
Les lézards se prélassent au soleil pour se réchauffer.,Amir,Amazon Translate
Les rizières ont besoin d'eau stagnante.,Amir,Amazon Translate
Les détecteurs de fumée détectent les particules émises par les incendies.,Amir,Amazon Translate
Les lucioles émettent de la lumière depuis leur abdomen.,Amir,Amazon Translate
Les éponges vivent dans l'océan.,Amir,Amazon Translate
Les saumons remontent la rivière pour pondre leurs œufs.,Amir,Amazon Translate
La plupart des mammifères ont le sang chaud.,Amir,Amazon Translate
Les rayures aident les zèbres à se camoufler dans l'herbe.,Amir,Amazon Translate
"Les roches peuvent être sédimentaires, ignées ou métamorphiques.",Amir,Amazon Translate
Les pingouins utilisent des nageoires pour nager.,Amir,Amazon Translate
Les nuages bloquent la lumière du soleil par temps couvert.,Amir,Amazon Translate
Les flocons de neige ont six faces.,Amir,Amazon Translate
Les bébés rampent avant de marcher.,Amir,Amazon Translate
Les feuilles perdent de la chlorophylle et se fanent en automne.,Amir,Amazon Translate
Les océans sont salés à cause des minéraux dissous.,Amir,Amazon Translate
Les hiboux chassent en silence la nuit.,Amir,Amazon Translate
Les graines contiennent des plantes embryonnaires.,Amir,Amazon Translate
Les cartes montrent souvent des montagnes avec des triangles.,Amir,Amazon Translate
Les autruches sont les plus gros oiseaux.,Amir,Amazon Translate
Les bébés boivent du lait pour se nourrir.,Amir,Amazon Translate
Les pompiers éteignent les flammes à l'aide de tuyaux d'arrosage.,Amir,Amazon Translate
Les cartes sont orientées vers le nord en haut.,Amir,Amazon Translate
Les marées montent et descendent deux fois par jour.,Amir,Amazon Translate
Les loutres utilisent des pierres pour ouvrir leur carapace.,Amir,Amazon Translate
L'eau de pluie alimente les rivières et les lacs.,Amir,Amazon Translate
La foudre peut provoquer des coupures de courant.,Amir,Amazon Translate
Les phoques utilisent des nageoires pour nager.,Amir,Amazon Translate
Les bactéries peuvent se multiplier rapidement.,Amir,Amazon Translate
Les chênes produisent des glands.,Amir,Amazon Translate
Les grillons émettent des sons en frottant leurs ailes.,Amir,Amazon Translate
Les geckos peuvent adhérer aux murs.,Amir,Amazon Translate
Les ours polaires sont de bons nageurs.,Amir,Amazon Translate
Les planètes orbitent autour des étoiles des systèmes solaires.,Amir,Amazon Translate
Les vautours recherchent de la nourriture.,Amir,Amazon Translate
Le violon est un instrument à cordes.,Amir,Amazon Translate
Les chèvres peuvent grimper sur des terrains escarpés.,Amir,Amazon Translate
Le feu est chaud au toucher.,Amir,Amazon Translate
Les océans constituent l'habitat de nombreux animaux.,Amir,Amazon Translate
Un arc-en-ciel apparaît après la pluie lorsque la lumière du soleil se réfracte.,Amir,Amazon Translate
Les smartphones ont des appareils photo intégrés pour prendre des photos.,Amir,Amazon Translate
La plupart des voitures utilisent de l'essence ou du diesel comme carburant.,Amir,Amazon Translate
Les poissons utilisent des nageoires pour nager dans l'eau.,Amir,Amazon Translate
Le café est souvent servi chaud.,Amir,Amazon Translate
Les araignées tissent des toiles pour attraper leurs proies.,Amir,Amazon Translate
Les abeilles domestiques vivent en colonies.,Amir,Amazon Translate
Les ballons s'élèvent parce que l'hélium est plus léger que l'air.,Amir,Amazon Translate
Les pins produisent des cônes sous forme de graines.,Amir,Amazon Translate
La pluie mouille généralement le sol.,Amir,Amazon Translate
Les grenouilles sautent pour se déplacer.,Amir,Amazon Translate
Les avions peuvent parcourir de longues distances.,Amir,Amazon Translate
Les papillons ont des ailes colorées.,Amir,Amazon Translate
"Les pommes peuvent être rouges, vertes ou jaunes.",Amir,Amazon Translate
Les trains circulent sur des voies métalliques.,Amir,Amazon Translate
Les girafes mangent les feuilles des grands arbres.,Amir,Amazon Translate
Les chaussures se portent aux pieds.,Amir,Amazon Translate
Les rivières s'écoulent vers les océans ou les lacs.,Amir,Amazon Translate
Les volcans libèrent des cendres et de la lave lors des éruptions.,Amir,Amazon Translate
Les kangourous peuvent parcourir de longues distances.,Amir,Amazon Translate
Le brocoli est vert et comestible.,Amir,Amazon Translate
Les oranges sont une source de vitamine C.,Amir,Amazon Translate
Les nuages se forment à partir de la vapeur d'eau évaporée.,Amir,Amazon Translate
Les chats se nettoient avec leur langue.,Amir,Amazon Translate
L'herbe est verte et pousse à partir du sol.,Amir,Amazon Translate
L'hiver se caractérise par des températures plus froides.,Amir,Amazon Translate
Les chiens peuvent aboyer pour communiquer.,Amir,Amazon Translate
Les éléphants ont de grandes oreilles et de grandes troncs.,Amir,Amazon Translate
L'air chaud s'élève au-dessus de l'air froid.,Amir,Amazon Translate
Les cerfs ont des bois qui tombent chaque année.,Amir,Amazon Translate
Les baleines sont les plus grands mammifères marins.,Amir,Amazon Translate
Le charbon est utilisé comme source de combustible.,Amir,Amazon Translate
La Lune influe sur les marées océaniques.,Amir,Amazon Translate
Les grues sont de grands oiseaux au long cou.,Amir,Amazon Translate
Les singes utilisent la queue pour s'équilibrer.,Amir,Amazon Translate
Le vent déplace les branches des arbres.,Amir,Amazon Translate
Les moutons cultivent de la laine chaque année.,Amir,Amazon Translate
Le carburant alimente la plupart des voitures.,Amir,Amazon Translate
Les déserts sont généralement des environnements secs.,Amir,Amazon Translate
Le sel permet de conserver certains aliments.,Amir,Amazon Translate
Les aubergines poussent sur les plantes.,Amir,Amazon Translate
La craie écrit sur des tableaux noirs.,Amir,Amazon Translate
Les loutres vivent dans les rivières et les lacs.,Amir,Amazon Translate
Les moustiques piquent les humains et les animaux.,Amir,Amazon Translate
Les ordinateurs portables sont des ordinateurs portables.,Amir,Amazon Translate
Les cartes indiquent les frontières et les pays.,Amir,Amazon Translate
L'écran solaire protège la peau des coups de soleil.,Amir,Amazon Translate
Le football nécessite un travail d'équipe pour jouer efficacement.,Amir,Amazon Translate
Les carnivores mangent de la viande.,Amir,Amazon Translate
Les insectes ont trois segments corporels.,Amir,Amazon Translate
Le lait est une boisson de base dans de nombreuses cultures.,Amir,Amazon Translate
Les flocons de neige ont des motifs uniques.,Amir,Amazon Translate
Les sauterelles peuvent sauter de longues distances.,Amir,Amazon Translate
La gravité maintient les objets ancrés.,Amir,Amazon Translate
Les cochons sont des animaux de ferme.,Amir,Amazon Translate
Les radios diffusent de la musique et diffusent des informations.,Amir,Amazon Translate
Les poules pondent des œufs pour se nourrir.,Amir,Amazon Translate
Les cartes peuvent être dessinées à différentes échelles.,Amir,Amazon Translate
L'eau de pluie arrose les plantes et les arbres.,Amir,Amazon Translate
L'acier est plus résistant que le fer.,Amir,Amazon Translate
L'eau est essentielle à toute forme de vie connue.,Amir,Amazon Translate
Les grenouilles peuvent coasser fort.,Amir,Amazon Translate
Le maïs est récolté à la fin de l'été.,Amir,Amazon Translate
Les dauphins sont des créatures sociales dans la nature.,Amir,Amazon Translate
Les escargots ont des coquilles en spirale.,Amir,Amazon Translate
Les fourmis transportent des charges plus lourdes que leur corps.,Amir,Amazon Translate
Les tulipes sont cultivées à partir de bulbes dans le sol.,Amir,Amazon Translate
Le soleil fournit de la lumière pendant la journée.,Amir,Amazon Translate
La pluie se forme lorsque les nuages deviennent saturés.,Amir,Amazon Translate
Les chats utilisent leur queue pour s'équilibrer.,Amir,Amazon Translate
