statement,elicitation,committer
Политические кампании часто запрашивают пожертвования для поддержки своих усилий.,amazon translate,Dan
Выборы могут привести к изменению доминирования политических партий в штате.,amazon translate,Dan
Люди испытывают финансовый и личный стресс во время пандемии COVID-19.,amazon translate,Dan
"COVID-19 — это вызов, над решением которого страны работают сообща.",amazon translate,Dan
Пожертвования могут помочь в финансировании политических кампаний.,amazon translate,Dan
Кампании используют пожертвования для привлечения избирателей и создания волонтерских сетей.,amazon translate,Dan
"Некоторые считают, что снижение стоимости лекарств, отпускаемых по рецепту, решение проблемы изменения климата и борьба с оружейным лобби являются решениями, основанными на здравом смысле.",amazon translate,Dan
Во время пандемии COVID-19 бесчисленное количество семей подверглось огромному финансовому и личному стрессу.,amazon translate,Dan
"Достижение целей по сбору средств может лечь в основу планов, которые могут быть реализованы в ближайшие месяцы.",amazon translate,Dan
"Недостижение целей по сбору средств может создать эффект домино, влияющий на будущие события.",amazon translate,Dan
Аналитики по выборам делают прогнозы относительно результатов политических гонок.,amazon translate,Dan
"Кампании направлены на решение реальных проблем, стоящих перед сообществом.",amazon translate,Dan
"Сломанная система здравоохранения и экономический кризис — это текущие проблемы, с которыми сталкиваются сообщества.",amazon translate,Dan
"Снижение стоимости лекарств, отпускаемых по рецепту, борьба с изменением климата и поиск решений, основанных на здравом смысле, являются целями некоторых политических кампаний.",amazon translate,Dan
"Люди надеются, что их близкие останутся в безопасности и здоровы.",amazon translate,Dan
Из-за COVID-19 огромное финансовое и личное бремя обрушилось на бесчисленное количество семей.,amazon translate,Dan
"Лица, оказывающие помощь на передовой, играют важную роль в борьбе с COVID-19.",amazon translate,Dan
Поддержка на низовом уровне может повлиять на политические гонки.,amazon translate,Dan
"Доступ к здравоохранению, экономические кризисы и решения, основанные на здравом смысле, — важные вопросы для избирателей.",amazon translate,Dan
Политические гонки могут быть непредсказуемыми и могут превратиться из одной партии в жеребьевку.,amazon translate,Dan
Семьям нужно лидерство.,amazon translate,Dan
Избиратели требуют привлечения к ответственности своих политических представителей.,amazon translate,Dan
Законы призваны обеспечить нашу безопасность.,amazon translate,Dan
Здравоохранение и экономика являются важными вопросами для семей.,amazon translate,Dan
Из-за COVID-19 многие семьи испытывают финансовые и личные трудности.,amazon translate,Dan
"Снижение стоимости лекарств, отпускаемых по рецепту, является целью некоторых политиков.",amazon translate,Dan
Решение проблемы изменения климата вызывает озабоченность у некоторых политиков.,amazon translate,Dan
Выборы должны быть прозрачными и справедливыми.,amazon translate,Dan
"Каждый, кто имеет законное право голоса, должен иметь возможность сделать это безопасно.",amazon translate,Dan
"Социальное дистанцирование может продолжаться в течение нескольких недель, предшествующих выборам.",amazon translate,Dan
"Голосование на выборах может выглядеть иначе, чем в прошлом.",amazon translate,Dan
Соблюдение социального дистанцирования может помочь предотвратить распространение болезни.,amazon translate,Dan
"Семьи из нескольких поколений, живущие под одной крышей, должны заботиться о здоровье пожилых людей во время кризиса в области здравоохранения.",amazon translate,Dan
Следование рекомендациям CDC может помочь обеспечить безопасность людей во время кризиса в области здравоохранения.,amazon translate,Dan
"Люди надеются, что их близкие останутся в безопасности и здоровы в трудные времена.",amazon translate,Dan
"Во время кризиса, такого как COVID-19, семьи могут испытывать финансовые и личные трудности.",amazon translate,Dan
В определенные периоды пожертвования могут замедлиться.,amazon translate,Dan
Цели сбора средств помогают организациям приобретать необходимые ресурсы.,amazon translate,Dan
Цифровые инструменты могут помочь организациям лучше обслуживать свое сообщество.,amazon translate,Dan
Добровольцы могут использовать цифровые инструменты для поддержки своей деятельности.,amazon translate,Dan
"Некоторых людей беспокоит снижение стоимости лекарств, отпускаемых по рецепту.",amazon translate,Dan
Решение проблемы изменения климата является приоритетом для некоторых людей.,amazon translate,Dan
Вместе мы преодолеем вспышку коронавируса.,amazon translate,Dan
"Здравый смысл, уважение и порядочность — основа настоящего лидерства.",amazon translate,Dan
"Настоящее лидерство требует сострадания, сочувствия и честности.",amazon translate,Dan
Работающие семьи и малый бизнес часто нуждаются в поддержке.,amazon translate,Dan
Руководство должно учитывать интересы людей.,amazon translate,Dan
Для проведения кампаний и достижения поставленных целей требуются средства.,amazon translate,Dan
"Пожертвования можно делать в любое время, а не только в определенные периоды сбора средств.",amazon translate,Dan
"Тяжелая работа, как правило, вознаграждается.",amazon translate,Dan
"Жители Вашингтона отмечают, что политические кампании набирают обороты.",amazon translate,Dan
"Районы боевых действий — ключевые гонки, способные изменить партийный контроль.",amazon translate,Dan
"Экономику можно перестроить так, чтобы она работала для всех.",amazon translate,Dan
Кампании часто запрашивают пожертвования для достижения целей по сбору средств.,amazon translate,Dan
Политические кампании могут принимать регулярные ежемесячные взносы.,amazon translate,Dan
Сегодня первый день досрочного голосования в Техасе.,amazon translate,Dan
Каждый голос засчитывается в исход выборов.,amazon translate,Dan
Доступное здравоохранение важно для сообщества.,amazon translate,Dan
Сильная экономика выгодна для граждан страны.,amazon translate,Dan
Голосование — это способ участия в демократическом процессе.,amazon translate,Dan
"Честного рабочего дня должно хватить на то, чтобы накрыть стол, крышу над головой и покрыть расходы на необходимые лекарства.",amazon translate,Dan
"Выборы — это время, когда кандидаты ищут пожертвования на свои предвыборные кампании.",amazon translate,Dan
"Люди часто просят друзей и коллег поддержать политических кандидатов, в которых они верят.",amazon translate,Dan
Кандидаты на политические должности часто имеют опыт государственной службы или участия в общественной жизни.,amazon translate,Dan
Политические кампании в Соединенных Штатах могут финансироваться за счет пожертвований частных лиц.,amazon translate,Dan
"Выборы могут быть конкурентными, а на результаты могут влиять изменения в численности населения и настроениях избирателей.",amazon translate,Dan
Обычно люди хотят достичь своих целей по сбору средств.,amazon translate,Dan
Крайние сроки часто устанавливаются для достижения конкретных целей.,amazon translate,Dan
Совместные пожертвования могут побудить людей делать пожертвования.,amazon translate,Dan
"Отказаться от подписки можно для людей, которые не хотят получать электронные письма.",amazon translate,Dan
"Если мы хотим, чтобы наши дети могли учиться, нам необходимо создать для них наилучшие условия для этого.",amazon translate,Dan
Совместная работа может многое сделать для людей.,amazon translate,Dan
Важно найти общий язык по важным вопросам.,amazon translate,Dan
"Кампании, проводимые людьми, опираются на сторонников на низовом уровне.",amazon translate,Dan
Ссоры между партиями стали обычным явлением в политике Вашингтона.,amazon translate,Dan
Доступное медицинское обслуживание важно для людей.,amazon translate,Dan
Лекарства должны быть доступными.,amazon translate,Dan
Защита малого бизнеса и экономики является приоритетом для многих.,amazon translate,Dan
"Соблюдение рекомендаций CDC, таких как мытье рук и социальное дистанцирование, важно для общественного здравоохранения.",amazon translate,Dan
"Важно, чтобы руководители уделяли приоритетное внимание здоровью, безопасности и благополучию семей.",amazon translate,Dan
Доступ к доступному медицинскому обслуживанию беспокоит людей.,amazon translate,Dan
"Соблюдение рекомендаций органов здравоохранения, таких как CDC, может помочь обеспечить безопасность и здоровье людей.",amazon translate,Dan
"Люди, которые работают в больницах, магазинах, доставляют почту, оказывают медицинскую помощь и реагируют на чрезвычайные ситуации, выполняют важную работу в трудные времена.",amazon translate,Dan
"Мы должны поддерживать тех, кто заботится о нас в беспрецедентные времена.",amazon translate,Dan
Важно работать вместе для достижения хороших результатов сегодня и в будущем.,amazon translate,Dan
Правильное планирование предотвращает низкую производительность.,amazon translate,Dan
Перемещение занятий в Интернете дает возможность общаться с большим количеством людей.,amazon translate,Dan
"Люди, потерявшие свои дома в результате стихийного бедствия, обычно хотят или нуждаются в уходе, еде и жилье.",amazon translate,Dan
"Люди обычно не хотят получать пищу, зараженную личинками.",amazon translate,Dan
"Как правило, никто не нанимает для строительства дома человека без опыта.",amazon translate,Dan
Тысячи малых предприятий закрылись из-за карантина.,amazon translate,Dan
Потеря рабочих мест может затронуть сотни тысяч семей.,amazon translate,Dan
Потеря работы может привести к финансовым проблемам семей.,amazon translate,Dan
Лидеры несут ответственность за свои решения и политику.,amazon translate,Dan
Каждый голос важен.,amazon translate,Dan
У людей есть бизнес и дома.,amazon translate,Dan
Хороших людей нужно защищать.,amazon translate,Dan
Необходим закон и порядок.,amazon translate,Dan
Люди имеют право мирно собираться и протестовать.,amazon translate,Dan
Стратегические подходы могут помочь преодолеть трудности.,amazon translate,Dan
Онлайн-мероприятия дают возможность общаться с большим количеством людей.,amazon translate,Dan
Для проведения кампаний требуются ресурсы.,amazon translate,Dan
Для всего есть подходящее время.,amazon translate,Dan
Время рождаться.,amazon translate,Dan
Время умирать.,amazon translate,Dan
Время сажать.,amazon translate,Dan
Время собирать урожай.,amazon translate,Dan
Время убивать.,amazon translate,Dan
Время исцеления.,amazon translate,Dan
Время разрушать.,amazon translate,Dan
Время перестраиваться.,amazon translate,Dan
Время плакать.,amazon translate,Dan
Время посмеяться.,amazon translate,Dan
Время танцевать.,amazon translate,Dan
Время разбрасывать камни.,amazon translate,Dan
Время собирать камни.,amazon translate,Dan
Время обниматься.,amazon translate,Dan
Время не обниматься.,amazon translate,Dan
Пришло время найти.,amazon translate,Dan
Время проигрыша.,amazon translate,Dan
Время хранения.,amazon translate,Dan
Время выбрасывать.,amazon translate,Dan
Пришло время починить.,amazon translate,Dan
Время тишины.,amazon translate,Dan
Пришло время высказаться.,amazon translate,Dan
Время любви.,amazon translate,Dan
Время для ненависти.,amazon translate,Dan
Время войны.,amazon translate,Dan
Время мира.,amazon translate,Dan
Хорошие лидеры слушают.,amazon translate,Dan
Великие лидеры учатся и действуют.,amazon translate,Dan
Принуждение региона к возобновлению работы без политики по обеспечению безопасности сообществ может подвергнуть людей опасности.,amazon translate,Dan
"Важно выслушать все стороны, включая тех, кто с вами не согласен.",amazon translate,Dan
"Вирус не исчезнет, если мы сделаем вид, что с ним покончено.",amazon translate,Dan
"Американцы не перестанут умирать, если мы прекратим тестирование.",amazon translate,Dan
Жители сельских районов заслуживают возможности получить более качественное медицинское обслуживание.,amazon translate,Dan
"Политики должны работать на жителей округа, которые они представляют, а не на интересы, связанные с деньгами.",amazon translate,Dan
Никто не хочет болеть.,amazon translate,Dan
"Мужчины не могут указывать женщинам, что делать со своим телом.",amazon translate,Dan
"Приоритетом номер один в это время является обеспечение того, чтобы все способствовали борьбе с распространением COVID-19 в Калифорнии и по всей стране.",amazon translate,Dan
"Наша кампания вносит свой вклад, отменяя все очные мероприятия, переходя на цифровые технологии и поддерживая местные усилия по оказанию помощи нуждающимся.",amazon translate,Dan
Трудолюбивые американцы вносят свой вклад в развитие общества.,amazon translate,Dan
Малые предприятия сталкиваются с проблемами и решениями.,amazon translate,Dan
"Изменение климата — тема, требующая внимания.",amazon translate,Dan
Со временем инфраструктура может ухудшиться.,amazon translate,Dan
"Social Security и Medicare — это программы, предназначенные для защиты людей.",amazon translate,Dan
Выборы носят конкурентный характер.,amazon translate,Dan
Поддержка на низовом уровне может повлиять на политические кампании.,amazon translate,Dan
"Электронная почта — это средство коммуникации, используемое для информирования и вовлечения людей.",amazon translate,Dan
Люди должны проголосовать за следующего президента.,amazon translate,Dan
Назначения судей могут иметь долгосрочные последствия.,amazon translate,Dan
Демократия предполагает участие населения в процессах принятия решений.,amazon translate,Dan
"Изменение климата — это проблема, которую некоторые люди стремятся решить.",amazon translate,Dan
"Social Security и Medicare — это программы, предназначенные для поддержки людей.",amazon translate,Dan
"Выборы имеют определенную дату окончания выборов, когда избирательные участки закрываются.",amazon translate,Dan
Действующие кандидаты могут потерпеть поражение на выборах.,amazon translate,Dan
"Электронная почта — это средство коммуникации, используемое для информирования сторонников и запроса пожертвований на политические кампании.",amazon translate,Dan
Пожертвования можно запросить по электронной почте.,amazon translate,Dan
Следование науке важно во время кризиса в области здравоохранения.,amazon translate,Dan
Здравоохранение беспокоит многих людей.,amazon translate,Dan
Политики могут иметь разные позиции по вопросам.,amazon translate,Dan
"Бездомность — это проблема, с которой могут столкнуться политики.",amazon translate,Dan
"Social Security и Medicare — это программы, направленные на защиту благополучия людей.",amazon translate,Dan
"Электронная почта — это средство коммуникации, используемое для информирования людей.",amazon translate,Dan
Поддержка на низовом уровне может иметь решающее значение для политической кампании.,amazon translate,Dan
"Бюллетени, отправленные по почте, позволяют людям голосовать, не посещая избирательные участки.",amazon translate,Dan
Выборы могут быть конкурентными.,amazon translate,Dan
Кампании часто запрашивают пожертвования для поддержки своей деятельности.,amazon translate,Dan
Голосование — это способ участия граждан в управлении страной.,amazon translate,Dan
Политические кампании используют электронную почту для общения со сторонниками.,amazon translate,Dan
Хэллоуин считается самым жутким днем в году.,amazon translate,Dan
Дома с привидениями и страшные собрания — обычное явление на Хэллоуин.,amazon translate,Dan
Выборы могут определить траекторию развития страны.,amazon translate,Dan
"Изменение климата — это серьезная проблема, которую необходимо решить.",amazon translate,Dan
"Люди обычно считают здравым смыслом поддерживать политических кандидатов, разделяющих их ценности.",amazon translate,Dan
"Здравый смысл заключается в том, что выборы — это важные события в демократическом обществе.",amazon translate,Dan
"Большинство людей согласятся с тем, что борьба с изменением климата, решение проблемы ухудшающейся инфраструктуры, борьба с бездомностью, защита социального обеспечения и медицинской помощи — это вопросы здравого смысла, на которых политикам следует сосредоточиться.",amazon translate,Dan
"Здравый смысл заключается в том, что политические кампании часто запрашивают пожертвования для поддержки своих усилий.",amazon translate,Dan
"Здравый смысл заключается в том, что поддержка на низовом уровне может иметь решающее значение для политической кампании.",amazon translate,Dan
Ответить на телефонные звонки и поздороваться — распространенный способ начать телефонный разговор.,amazon translate,Dan
Звонки роботов могут быть неприятными и часто считаются опасными.,amazon translate,Dan
Пожилые люди могут быть более подвержены мошенничеству.,amazon translate,Dan
"Законодательство — это способ решения социальных проблем, таких как незаконные звонки роботов.",amazon translate,Dan
Члены Конгресса работают в определенных округах США.,amazon translate,Dan
"Выборы определяют, кто занимает политическую должность.",amazon translate,Dan
Кампании часто запрашивают пожертвования для поддержки своих усилий.,amazon translate,Dan
Электронная почта — распространенный способ общения и проведения кампаний.,amazon translate,Dan
"Для того чтобы избирательные кампании набирали обороты, часто требуются пожертвования.",amazon translate,Dan
На политические гонки могут влиять корпоративные группы с особыми интересами.,amazon translate,Dan
Пожертвования могут помочь политическим кампаниям привлечь неопределившихся избирателей.,amazon translate,Dan
Новички в политических гонках могут победить действующие лица.,amazon translate,Dan
"Политики работают над такими вопросами, как изменение климата, инфраструктура, бездомность, защита социального обеспечения и медицинской помощи.",amazon translate,Dan
Электронная почта — распространенный способ общения политических кампаний со сторонниками.,amazon translate,Dan
Крайние сроки выборов могут повлиять на ход политической гонки.,amazon translate,Dan
"Доноры на низовом уровне — это частные лица, поддерживающие кампанию, а не корпоративные особые интересы.",amazon translate,Dan
"Выборы носят конкурентный характер, и победить на них бывает непросто.",amazon translate,Dan
Политические кампании часто полагаются на пожертвования для привлечения избирателей.,amazon translate,Dan
Июнь — предпоследний месяц второго квартала года.,amazon translate,Dan
Сбор средств важен для политических кампаний.,amazon translate,Dan
Озабоченность вызывает изменение климата.,amazon translate,Dan
Электронная почта — это способ общения.,amazon translate,Dan
Президент Соединенных Штатов Америки имеет право влиять на финансирование государственных услуг.,amazon translate,Dan
"Голосование — это метод, используемый гражданами для того, чтобы их голоса были услышаны в демократическом обществе.",amazon translate,Dan
Выборные должностные лица подотчетны избирателям.,amazon translate,Dan
"Почтовая служба США (USPS) — это организация, которая может участвовать в процессе голосования.",amazon translate,Dan
Кампании часто запрашивают пожертвования от сторонников.,amazon translate,Dan
Члены Конгресса представляют определенные округа в своем штате.,amazon translate,Dan
"Изменение климата, инфраструктура, бездомность, социальное обеспечение и медицинская помощь — это вопросы, которые могут быть решены членами Конгресса.",amazon translate,Dan
Люди обычно ожидают политических дебатов между оппонентами.,amazon translate,Dan
У политиков часто есть руководители избирательных кампаний.,amazon translate,Dan
Дебаты считаются справедливым способом решения политических вопросов.,amazon translate,Dan
Политические кампании часто преследуют цели сбора средств.,amazon translate,Dan
"Изменение климата, инфраструктура, бездомность, социальное обеспечение и медицинская помощь — общие проблемы, которыми занимаются политики.",amazon translate,Dan
Кампании по переизбранию могут оказаться непростой задачей для политиков.,amazon translate,Dan
Получателям предоставляется возможность отписаться от списков рассылки.,amazon translate,Dan
"Дебаты — это способ для избирателей получить представление о кандидате, за которого они голосуют.",amazon translate,Dan
"Социальные сети — это платформа, на которой люди могут атаковать политические кампании или поддерживать их.",amazon translate,Dan
"Члены Конгресса работают над такими вопросами, как изменение климата, инфраструктура, бездомность, защита социального обеспечения и медицинской помощи.",amazon translate,Dan
Выборы могут стать для политиков нелегкой борьбой за переизбрание.,amazon translate,Dan
Избранные и назначенные должностные лица должны хорошо знать свою работу.,amazon translate,Dan
Налогоплательщики оплачивают услуги выборных и назначенных должностных лиц.,amazon translate,Dan
Изменение климата может повлиять на пляжи.,amazon translate,Dan
Кампании с меньшим средним показателем пожертвований можно считать массовыми.,amazon translate,Dan
Политики подотчетны своим донорам.,amazon translate,Dan
Выборные должностные лица служат своим избирателям.,amazon translate,Dan
Кампании по переизбранию требуют финансовой поддержки.,amazon translate,Dan
Электронные письма от политических кампаний часто содержат возможность отказаться от подписки или получать меньше писем.,amazon translate,Dan
"Каждый американец должен иметь возможность голосовать, не опасаясь заразиться или распространить коронавирус.",amazon translate,Dan
"В штатах, где введена политика голосования по почте, явка избирателей значительно возросла.",amazon translate,Dan
"Чем больше людей, которые будут представлять нас, тем сильнее будет наша демократия.",amazon translate,Dan
Честные дебаты — обычная часть политических кампаний.,amazon translate,Dan
"Дебаты — это способ узнать, за каких кандидатов они голосуют.",amazon translate,Dan
Лидеры должны быть прозрачными.,amazon translate,Dan
День выборов — это определенный день окончания голосования.,amazon translate,Dan
Кампании часто имеют крайние сроки сбора средств.,amazon translate,Dan
Кампании по переизбранию зависят от поддержки отдельных лиц.,amazon translate,Dan
Электронная почта — это способ информировать сторонников о проблемах и кампаниях.,amazon translate,Dan
Обычно люди голосуют на выборах.,amazon translate,Dan
Выборные должностные лица занимают государственные должности.,amazon translate,Dan
Кампании часто запрашивают пожертвования для поддержки.,amazon translate,Dan
"Избиратели могут выбрать, поддерживать или не поддерживать кандидата.",amazon translate,Dan
Изменение климата — тема политических дискуссий.,amazon translate,Dan
Бездомность — это социальная проблема.,amazon translate,Dan
Социальное обеспечение и Medicare — это государственные программы.,amazon translate,Dan
Электронная почта — это инструмент коммуникации и проведения кампаний.,amazon translate,Dan
День выборов — важное событие для политических кампаний.,amazon translate,Dan
Новички на выборах могут одержать победу над действующими кандидатами.,amazon translate,Dan
"Члены Конгресса рассматривают такие вопросы, как изменение климата, инфраструктура, бездомность, социальное обеспечение и медицинская помощь.",amazon translate,Dan
Поддержка на низовом уровне считается ценной в политических кампаниях.,amazon translate,Dan
Электронная почта является распространенным средством коммуникации политических кампаний со сторонниками.,amazon translate,Dan
Избиратели получают бюллетени по почте перед выборами.,amazon translate,Dan
Кампании собирают средства для донесения своих идей до избирателей.,amazon translate,Dan
Можно делать пожертвования на политические кампании.,amazon translate,Dan
Выборы могут быть предметом ожесточенной борьбы.,amazon translate,Dan
Кампании по переизбранию могут быть сложными.,amazon translate,Dan
Электронная почта используется для информирования сторонников о проблемах и кампаниях.,amazon translate,Dan
В ходе дебатов неопределившиеся избиратели знакомятся с кандидатами.,amazon translate,Dan
"Дебаты позволяют американцам увидеть, кто разделяет их ценности.",amazon translate,Dan
