statement;Drop;hash;behavior;everyday;figure_of_speech;judgment;opinion;reasoning;statement_id;i_agree;i_agree_probability;others_agree;others_agree_probability;statement_r;awareness;consensus;commonsensicality;nlp_score
Bread always falls butter side down.;;8e9ee32403;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;437;no;0.9998911031792127;no;0.9465966420524139;Bread always falls butter side down.;0.9467055388732012;0.9995644601509212;0.9727760332603175;Bread always falls butter side down.
Water is wet.;x;a2d4bb8de9;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1083;yes;0.9996646501663718;yes;0.9999974387181999;Water is wet.;0.9996672114481719;0.9986590505035311;0.9991630038208701;Water is wet.
Birds fly south for the winter.;;678938f433;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1717;yes;0.9999921107451646;yes;0.9999910603125767;Birds fly south for the winter.;0.9999989495674121;0.9999684432296198;0.9999836962821844;Birds fly south for the winter.
Bananas are high in potassium.;;ae5720c55f;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1992;yes;0.9999974387187338;yes;0.9999993524053493;Bananas are high in potassium.;0.9999980863133845;0.9999897549011759;0.9999939205986036;Bananas are high in potassium.
Mountains are larger than hills.;;57f339dc78;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1923;yes;0.9999994956527968;yes;0.9999999397642596;Mountains are larger than hills.;0.9999995558885372;0.9999979826122046;0.9999987692500615;Mountains are larger than hills.
Plants grow towards light.;;ead395578c;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1507;yes;0.9999998144610254;yes;0.9999995549155417;Plants grow towards light.;0.9999997404545163;0.9999992578442392;0.9999994991493486;Plants grow towards light.
The heart pumps blood through the body.;;e8d72cc870;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1600;yes;0.9999998555019707;yes;0.9999999778405079;The heart pumps blood through the body.;0.9999998776614628;0.9999994220079662;0.9999996498346886;The heart pumps blood through the body.
Recycling conserves resources.;;38d1423026;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1953;yes;0.9999999226557766;yes;0.9999999956365372;Recycling conserves resources.;0.9999999270192395;0.9999996906231305;0.999999808821178;Recycling conserves resources.
Forests are dense with trees.;;bf042028aa;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1926;yes;0.9999999586006211;yes;0.9999998874648147;Forests are dense with trees.;0.9999999288641936;0.9999998344024912;0.9999998816333413;Forests are dense with trees.
Plastic pollution is a global concern.;;52c587c1ff;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1921;yes;0.999999974890005;yes;0.9999999865595893;Plastic pollution is a global concern.;0.9999999883304157;0.9999998995600227;0.9999999439452182;Plastic pollution is a global concern.
Hot things can burn you.;;af85de0f16;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1910;yes;0.9999999895325971;yes;0.9999999981810381;Tampering with fire can cause burns.;0.9999999913515589;0.9999999581303887;0.9999999747409737;Tampering with fire can cause burns.
Hot weather can cause dehydration.;;61499dd388;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1899;yes;0.9999999936511994;yes;0.9999999966017321;Hot weather can cause dehydration.;0.9999999970494673;0.9999999746047977;0.9999999858271325;Hot weather can cause dehydration.
Fire is hot.;X;104d8fc5e5;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1034;yes;0.9999999966017319;yes;0.9999999979388463;Fire is hot.;0.9999999986628856;0.9999999864069276;0.9999999925349066;Fire is hot.
Humans need water to survive.;;6477bc9ff1;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;1872;yes;1.0;yes;0.9999999961492576;Humans need water to survive.;0.9999999961492576;1.0;0.9999999980746288;Humans need water to survive.
Cats can see in the dark.;;c798cfa0dc;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1407;no;0.5621762546373933;yes;0.984093617298548;Cats can see in the dark.;0.5780826373388452;0.015463546562935915;0.0945473837803777;Cats can see in the dark.
Bite the bullet.;x;c407725bc3;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;635;no;0.8933097810474271;no;0.9859363668024574;Bite the bullet.;0.9073734142449696;0.6187703354703001;0.7493035112217155;Bite the bullet.
Apple pie is tasty.;;a60b4eb8d3;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1506;yes;0.9988304901074487;yes;0.9999980052722512;Apple pie is tasty.;0.9988324848351975;0.99532743144335;0.9970784179658068;Apple pie is tasty.
Bitter pills may have wholesome effects.;;74a09f68b8;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;358;yes;0.9999885212369435;yes;0.9998766054934034;Bitter pills may have wholesome effects.;0.9998880842564599;0.9999540854748219;0.9999210843210778;Bitter pills may have wholesome effects.
Cheese pairs well with wine.;;f5149f38c6;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1604;yes;0.9999974387208886;yes;0.999999352405966;Cheese pairs well with wine.;0.9999980863149226;0.9999897549097951;0.9999939206036823;Cheese pairs well with wine.
Most people brush their teeth daily.;;534f7f4402;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1166;yes;0.9999995549155666;yes;0.9999987901351091;Most people brush their teeth daily.;0.9999992352195425;0.9999982196630587;0.9999987274411717;Most people brush their teeth daily.
Driving requires a license.;;5a0b017b0a;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1941;yes;0.9999998144608542;yes;0.999999495653167;Driving requires a license.;0.9999996811923129;0.9999992578435544;0.9999994695179112;Driving requires a license.
Taking breaks boosts productivity.;;bdc63c8e6f;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1690;yes;0.9999998555021131;yes;0.9999997897568268;Taking breaks boosts productivity.;0.9999999342547137;0.999999422008536;0.999999678131592;Taking breaks boosts productivity.
Keeping a tidy workspace can improve productivity.;;3a358853e7;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1154;yes;0.9999999317439606;yes;0.9999999677581316;Keeping a tidy workspace can improve productivity.;0.999999963985829;0.9999997269758611;0.9999998454808381;Keeping a tidy workspace can improve productivity.
Napping can re-energize you.;;d90b3fc2b9;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1841;yes;0.9999999677581323;yes;0.9999999778405092;Napping can re-energize you.;0.9999999899176231;0.9999998710325332;0.9999999304750764;Napping can re-energize you.
Dogs bark.;X;270da31482;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1808;yes;0.9999999804443181;yes;0.9999999970010389;Dogs bark.;0.9999999834432792;0.9999999217772741;0.9999999526102762;Dogs bark.
Noise can be bothersome.;;4f715a5205;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1756;yes;0.9999999881388784;yes;0.9999999950555492;Noise can be bothersome.;0.9999999930833292;0.999999952555514;0.9999999728194214;Noise can be bothersome.
Reading regularly can improve literacy.;;b5b4ab8fe3;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1018;yes;0.9999999928058673;yes;0.9999999976644067;Reading regularly can improve literacy.;0.9999999951414605;0.9999999712234693;0.9999999831824649;Reading regularly can improve literacy.
Facial expressions convey a lot of information.;;a8ff5e24c2;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1797;yes;0.9999999970010391;yes;0.9999999928058663;Facial expressions convey a lot of information.;0.9999999958048271;0.9999999880041566;0.9999999919044918;Facial expressions convey a lot of information.
Brushing your teeth daily helps maintain good oral hygiene.;;b810f62d7b;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;1125;yes;0.9999999999999999;yes;1.0;Brushing your teeth daily helps maintain good oral hygiene.;0.9999999999999999;0.9999999999999996;0.9999999999999997;Brushing your teeth daily helps maintain good oral hygiene.
Fit as a fiddle.;X;24ffce7362;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;560;no;0.500000026517084;no;0.7549149311785327;Fit as a fiddle.;0.7450850953385513;2.7755575615628914e-15;4.5475560143605974e-08;Fit as a fiddle.
Straight from the horse's mouth.;X;9a69018912;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;1004;no;0.7773000641421254;no;0.9706877476634507;Straight from the horse's mouth.;0.8066123164786747;0.30758130229290737;0.498095238632141;Straight from the horse's mouth.
Winter sports are fun.;;63cdd2ae9e;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;1647;no;0.9579122844410413;yes;0.5621765557951325;Winter sports are fun.;0.6042642713540912;0.8387346409680523;0.7119110735787127;Winter sports are fun.
Turn the other cheek.;X;1f9a97a793;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;596;yes;0.9465961846243784;no;0.9975273771120828;Turn the other cheek.;0.9490688075122956;0.7977926084842076;0.8701494581830357;Turn the other cheek.
Diamonds are forever.;X;28b634f3bc;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;916;no;0.9982992789418432;yes;0.9875683643588082;Diamonds are forever.;0.989269085416965;0.9932086855758435;0.991236928291012;Diamonds are forever.
Raining cats and dogs.;X;b51de5c3c4;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;984;no;0.9975273783930673;no;0.9996200156061756;Raining cats and dogs.;0.9979073627868916;0.9901339690027133;0.994013067224579;Raining cats and dogs.
Hit the nail on the head.;x;b043983985;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;980;yes;0.9986749416337038;yes;0.9989677641726427;Hit the nail on the head.;0.9997071774610612;0.9947067896535118;0.9972038493136024;Hit the nail on the head.
It's not rocket science.;X;5ea8caad70;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;563;yes;0.999664590134662;yes;0.9999885212374718;It's not rocket science.;0.9996760688971902;0.9986588105377592;0.9991673102578621;It's not rocket science.
Climate change is real.;;2db6714dde;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;1438;yes;0.9999832986308236;yes;0.9998415638556845;I believe in climate change.;0.9998582652248609;0.9999331956390373;0.999895729730055;I believe in climate change.
Time flies when you are having fun.;;8e69c2fcbf;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;1501;yes;0.9999852610212372;yes;0.999999352405351;Time flies.;0.9999859086158862;0.9999410449538988;0.9999634765332898;Time flies.
Strike while the iron is hot.;;151d61fe16;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;179;yes;0.9999984465028656;yes;0.9999977396771602;Strike while the iron is hot.;0.9999992931742946;0.9999937860211159;0.9999965395939141;Strike while the iron is hot.
Golden mirror reflect your aid.;X;b2dfd335f2;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;406;no;0.9999996072140459;no;0.9999999677581306;Golden mirror reflect your aid.;0.9999996394559153;0.9999984288568008;0.9999990341561749;Golden mirror reflect your aid.
It's important to recycle.;;203c629da8;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;1192;yes;0.9999998555021036;yes;0.9999998362622858;It's important to recycle.;0.9999999807601823;0.9999994220084978;0.9999997013843009;It's important to recycle.
Some people prefer rainy days.;;710b883844;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;1029;yes;0.9999999748900065;yes;0.9999997897567762;Some people prefer rainy days.;0.9999998148667697;0.9999998995600284;0.9999998572133981;Some people prefer rainy days.
Reading can expand your imagination.;;7da0edbbcc;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;2065;yes;0.9999999804443161;yes;0.9999999992417439;Reading can expand your imagination.;0.9999999812025723;0.9999999217772662;0.9999999514899187;Reading can expand your imagination.
Old is gold.;X;0ee4ec3389;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;121;no;0.5000000897145951;no;0.6224592757756828;Old is gold.;0.8775408139389123;3.219646771412954e-14;1.680884126994337e-07;Old is gold.
Apple of one's eye.;X;41dec8af1e;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;1003;no;0.75491537630629;no;0.9626730990866439;Apple of one's eye.;0.7922422772196461;0.2599273963095098;0.45379011928866353;Apple of one's eye.
Love is blind.;;522a2af686;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;151;yes;0.9324533209646995;yes;0.9995121432577071;Love is blind.;0.9329411777069924;0.7480634992535895;0.8354036401604062;Love is blind.
Promise is a debt.;;e203bfd899;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;510;yes;0.9840936215866843;yes;0.9525741377470476;Promise is a debt.;0.9684805161603632;0.9373865378436478;0.9528066949872843;Promise is a debt.
Content is king.;;bc81e694a1;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;870;yes;0.9991959144996797;yes;0.9820137895242311;"Content is king;";0.9828178750245514;0.9967862442126861;0.9897774186102731;"Content is king;"
Less talk, more action.;;d5ef7d80aa;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;825;yes;0.999620015712208;yes;0.9999910603120884;Less talk, more action.;0.9996289554001196;0.9984806404010681;0.9990546329162195;Less talk, more action.
Foresight prevents mistakes.;;ca18e407d5;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;1675;yes;0.9999038976641453;yes;0.9999921107459088;Foresight prevents mistakes.;0.9999117869182366;0.9996156275992172;0.9997636962923427;Foresight prevents mistakes.
There is no honor among thieves.;;81f2806c39;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;310;yes;0.999968798109893;yes;0.9999991684719906;There is no honor among thieves.;0.9999696296379025;0.999875196333804;0.9999224118710606;There is no honor among thieves.
Respect for elders is a common value.;;5f9660a9c3;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;1058;yes;0.9999898700128248;yes;0.999988521225153;Respect for elders is a common value.;0.9999986512123282;0.9999594804617657;0.9999790656452495;Respect for elders is a common value.
Dreams are worth chasing.;;e31879bcdb;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;476;yes;0.9999967112526978;yes;0.9999910603127814;Dreams are worth chasing.;0.9999943490600836;0.9999868450540548;0.9999905970500303;Dreams are worth chasing.
What goes around comes around;;d42e5be4cf;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;666;yes;0.9999987901352424;yes;0.9999994956528014;What goes around comes around;0.999999294482441;0.9999951605468247;0.9999972275124966;What goes around comes around
Discrimination is unjust.;;6cb2655725;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;1019;yes;0.9999994956531983;yes;0.9999998724809407;Discrimination is unjust.;0.9999996231722577;0.9999979826138108;0.9999988028926978;Discrimination is unjust.
Kind words have the power to build bridges.;;898b3cdd4a;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;292;yes;0.9999998144610487;yes;0.9999999748900065;Kind words have the power to build bridges.;0.9999998395710422;0.9999992578443324;0.999999548707645;Kind words have the power to build bridges.
Trust is hard-earned.;;3044be34c2;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;1694;yes;0.9999999586006177;yes;0.999999872481054;Trust is hard-earned.;0.9999999138804363;0.9999998344024779;0.9999998741414563;Trust is hard-earned.
Art can be a form of self-expression.;;0aae6c5c44;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;2063;yes;0.9999999999999999;yes;1.0;Art can be a form of self-expression.;0.9999999999999999;0.9999999999999996;0.9999999999999997;Art can be a form of self-expression.
Faith in friends will often create untaped capabilities neither could foresee.;;923b90e65a;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;299;no;0.5621762957963558;no;0.9984988186978818;Faith in friends will often create untap capabilities either could foresee.;0.5636774770984739;0.015463567035823744;0.0933620075496251;Faith in friends will often create untap capabilities either could foresee.
Opportunity knocks but once.;;23791da9b6;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;443;no;0.9046504852001982;no;0.7772998128596844;Opportunity knocks but once.;0.8726493276594862;0.6549680606910233;0.7560141783065044;Opportunity knocks but once.
Ignorance is bliss.;;461753f4a1;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;1285;no;0.9669140470280102;no;0.9706877631667715;Ignorance is bliss;0.9962262838612387;0.8720349092482997;0.9320644275143786;Ignorance is bliss
The boy who cried wolf.;X;ad49e5bcd3;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;976;no;0.9959299744143577;no;0.9999038977232061;The boy who cried wolf.;0.9960260766911516;0.983786158090502;0.9898871993040135;The boy who cried wolf.
Judge not, lest ye be judged.;;d133089264;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;416;yes;0.9975273787747431;yes;0.9975273791998113;Judge not, lest ye be judged.;0.9999999995749318;0.9901339705218666;0.9950547573380031;Judge not, lest ye be judged.
Uneasy lies the head that wears the crown.;;d9b146b902;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;514;yes;0.9999869928709059;yes;0.9971990735978762;Uneasy lies the head that wears the crown.;0.9972120807269703;0.9999479721603651;0.9985790894750162;Uneasy lies the head that wears the crown.
Good fences make good neighbors.;;9a76b40bc6;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;154;yes;0.999933947902488;yes;0.9997040431491321;Good fences make good neighbors.;0.9997700952466441;0.9997358090614704;0.9997529520070781;Good fences make good neighbors.
Imitation is the sincerest form of flattery.;;61a47e8f8b;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;303;yes;0.9999785550619686;yes;0.9999785550615314;Imitation is the sincerest form of flattery.;0.9999999999995628;0.9999142220874161;0.9999571101237187;Imitation is the sincerest form of flattery.
Diligence often opportunity often determinesucceed.;X;a3f5d06c70;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;131;no;0.99999671125578;no;0.9999832986107224;Diligence often opportunity often determinesucceed.;0.9999865873549424;0.9999868450663836;0.9999867162106547;Diligence often opportunity often determinesucceed.
Remember sorrow won't reference smiles gone miss.;X;4068127b94;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;787;no;0.9999984465027316;no;0.999998629043572;Remember sorrow won't reference smiles gone miss.;0.9999998174591597;0.9999937860205799;0.9999968017353225;Remember sorrow won't reference smiles gone miss.
A fool and his money are soon parted.;;9747728ff5;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;207;yes;0.9999991684720986;yes;0.9999996072139843;A fool and his money are soon parted.;0.9999995612581143;0.9999966738911601;0.999998117573595;A fool and his money are soon parted.
Begging hands and empty pockets warn of a month of riches.;;1c16ee276a;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;888;no;0.9999996072140211;no;0.999999814460847;Begging hands and empty pockets warn of a month of riches.;0.9999997927531742;0.9999984288567018;0.9999991108047055;Begging hands and empty pockets warn of a month of riches.
Ignored warnings open doors to trouble.;;ca5ce60349;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;415;yes;0.999999887464823;yes;0.9999999468421421;Ignored warnings open doors to trouble.;0.9999999406226809;0.9999995498593428;0.9999997452409928;Ignored warnings open doors to trouble.
Respecting others' opinions fosters harmony.;;dfc7c289a2;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;1857;yes;0.9999999715466501;yes;0.9999998362623934;Respecting others' opinions fosters harmony.;0.9999998647157433;0.9999998861866036;0.9999998754511734;Respecting others' opinions fosters harmony.
Learning from mistakes leads to growth.;;a258346430;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;1075;yes;0.9999999918479786;yes;0.9999999961492578;Learning from mistakes leads to growth.;0.9999999956987208;0.9999999673919147;0.9999999815453176;Learning from mistakes leads to growth.
She has a sharp tongue.;X;ae0101e899;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1548;yes;0.6791642995610064;yes;0.679178716129445;She has a sharp tongue.;0.9999855834315614;0.12839938494874426;0.3583260161783173;She has a sharp tongue.
Santa Claus brings presents to children on Christmas.;;020cc6760b;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;570;no;0.9940889334335943;yes;0.9740426425910946;Santa Claus brings presents to children on Christmas.;0.9799537091575004;0.9764954965661871;0.9782230746796101;Santa Claus brings presents to children on Christmas.
Classical music helps with concentration.;;b8c9bf7b73;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1458;yes;0.9989677699526175;yes;0.9991959147238861;Classical music helps with concentration.;0.9997718552287314;0.9958753418059528;0.9978216965239253;Classical music helps with concentration.
Stand in line to buy tickets.;X;0dd622fdf0;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1468;yes;0.9999974387205772;yes;0.9999991684720672;Stand in line to buy tickets.;0.9999982702485101;0.9999897549085495;0.9999940125694659;Stand in line to buy tickets.
It's common to send holiday cards around December.;;7bc612bf4e;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1327;yes;0.9999996940979003;yes;0.9999994285002072;It's common to send holiday cards around December.;0.9999997344023068;0.9999987763919757;0.9999992553970265;It's common to send holiday cards around December.
Regular savings lead to financial stability.;;e9d5227e4a;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1060;yes;0.9999997300423825;yes;0.9999999397642535;Regular savings lead to financial stability.;0.999999790278129;0.9999989201698216;0.9999993552238807;Regular savings lead to financial stability.
Graduating college increases job prospects.;;6c06ff93f7;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1094;yes;0.9999999397643733;yes;0.9999994285002138;Graduating college increases job prospects.;0.9999994887358405;0.9999997590575077;0.999999623896665;Graduating college increases job prospects.
Crying helps to release emotions.;;5369464357;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1602;yes;0.9999998724810518;yes;0.9999997300424005;Crying helps to release emotions.;0.9999998575613487;0.9999994899242723;0.9999996737427936;Crying helps to release emotions.
Governments create laws.;;e1c50fde19;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1907;yes;0.9999998724810535;yes;0.9999999397642565;Governments create laws.;0.999999932716797;0.999999489924279;0.9999997113205135;Governments create laws.
Students study for exams.;;a8b0b3ad3e;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1500;yes;0.9999999006880436;yes;0.9999999317439627;Students study for exams.;0.9999999689440808;0.9999996027522137;0.9999997858481304;Students study for exams.
Tea is enjoyed by many people.;;a009d3ecc1;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1040;yes;0.9999999586006172;yes;0.9999998874648198;Tea is enjoyed by many people.;0.9999999288642026;0.9999998344024756;0.999999881633338;Tea is enjoyed by many people.
Cheating is frowned upon.;;95bba552d4;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1481;yes;0.9999999827421698;yes;0.9999998724810557;Cheating is frowned upon.;0.9999998897388859;0.9999999309686806;0.999999910353783;Cheating is frowned upon.
Wait for your turn when in a queue.;;ee5fe79630;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1585;yes;0.9999999865595891;yes;0.9999999715466503;Wait for your turn in a queue.;0.9999999849870612;0.9999999462383572;0.999999965612709;Wait for your turn in a queue.
Being organized helps efficiency.;;794dbf328c;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1674;yes;0.9999999981810382;yes;0.999999939764254;Being organized helps efficiency.;0.9999999415832158;0.999999992724153;0.9999999671536841;Being organized helps efficiency.
Religious beliefs vary among cultures.;;cc07e2debf;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1903;yes;0.9999999950555493;yes;0.9999999973534262;Religious beliefs vary among cultures.;0.9999999977021231;0.9999999802221972;0.99999998896216;Religious beliefs vary among cultures.
The more the merrier.;;20aef632f3;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;160;yes;0.5312093950101435;yes;0.9914225255425153;The more the merrier.;0.5397868694676282;0.0038961053475966567;0.04585920309703697;The more the merrier.
Relationships are about compatibility and intricate aims.;;3cf4961c94;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;786;no;0.9399133213859278;no;0.9968273181483407;Relationships are about compatibility and intricate aims.;0.9430860032375871;0.7740949213311943;0.8544226620851945;Relationships are about compatibility and intricate aims.
