id	statement	statementSource	origLanguage	published	statementMedian	createdAt	updatedAt	statementCategory	parentId
8957	Nikola Tesla contributed significantly to electricity and magnetism.	GPT	En	1	1	2024-10-03 00:12:20	2024-10-03 00:12:20	General reference	
8958	Michelangelo painted the Sistine Chapel ceiling.	GPT	En	1	1	2024-10-03 00:12:20	2024-10-03 00:12:20	General reference	
8959	Soft lighting creates a calming ambiance.	GPT	En	1	1	2024-10-03 00:12:21	2024-10-03 00:12:21	General reference	
8960	Technology drives modern communication.	GPT	En	1	1	2024-10-03 00:12:21	2024-10-03 00:12:21	General reference	
8961	Social dancing combines exercise and socialization.	GPT	En	1	1	2024-10-03 00:12:21	2024-10-03 00:12:21	General reference	
8962	Regular check-ups are important.	GPT	En	1	1	2024-10-03 00:12:21	2024-10-03 00:12:21	General reference	
8963	Electricity powers modern technology.	GPT	En	1	1	2024-10-03 00:12:22	2024-10-03 00:12:22	General reference	
8964	Dictionaries are useful for word meanings.	GPT	En	1	1	2024-10-03 00:12:22	2024-10-03 00:12:22	General reference	
8965	The mountains stood as silent guardians.	GPT	En	1	0	2024-10-03 00:12:22	2024-10-03 00:12:22	General reference	
8966	A watched pot never boils.	GPT	En	1	1	2024-10-03 00:12:22	2024-10-03 00:12:22	General reference	
8967	Fresh sheets promise restful sleep.	GPT	En	1	1	2024-10-03 00:12:23	2024-10-03 00:12:23	General reference	
8968	Journaling clears the mind.	GPT	En	1	1	2024-10-03 00:12:23	2024-10-03 00:12:23	General reference	
8969	Painting captures moments in time.	GPT	En	1	1	2024-10-03 00:12:23	2024-10-03 00:12:23	General reference	
8970	Clean space, clear mind.	GPT	En	1	1	2024-10-03 00:12:23	2024-10-03 00:12:23	General reference	
8971	Stop and smell the roses.	GPT	En	1	1	2024-10-03 00:12:24	2024-10-03 00:12:24	General reference	
8972	Scenic drives relax the mind.	GPT	En	1	1	2024-10-03 00:12:24	2024-10-03 00:12:24	General reference	
8973	Spending time outdoors lifts the spirits.	GPT	En	1	1	2024-10-03 00:12:24	2024-10-03 00:12:24	General reference	
8974	Tidy spaces enhance focus.	GPT	En	1	1	2024-10-03 00:12:24	2024-10-03 00:12:24	General reference	
8975	Digital innovations transform businesses.	GPT	En	1	1	2024-10-03 00:12:25	2024-10-03 00:12:25	General reference	
8976	Photographers capture visual stories.	GPT	En	1	1	2024-10-03 00:12:25	2024-10-03 00:12:25	General reference	
8977	Leonardo da Vinci painted the Mona Lisa.	GPT	En	1	1	2024-10-03 00:12:25	2024-10-03 00:12:25	General reference	
8978	Fair weather friends are unreliable.	GPT	En	1	1	2024-10-03 00:12:26	2024-10-03 00:12:26	General reference	
8979	Well-known landmarks foster tourism.	GPT	En	1	1	2024-10-03 00:12:26	2024-10-03 00:12:26	General reference	
8980	Curiosity killed the cat.	GPT	En	1	0	2024-10-03 00:12:26	2024-10-03 00:12:26	General reference	
8981	Understanding precedes ethical action.	GPT	En	1	1	2024-10-03 00:12:26	2024-10-03 00:12:26	General reference	
8982	Manners maketh man.	GPT	En	1	1	2024-10-03 00:12:27	2024-10-03 00:12:27	General reference	
8983	Finders keepers, losers weepers.	GPT	En	1	1	2024-10-03 00:12:27	2024-10-03 00:12:27	General reference	
8984	Fortune favors the bold.	GPT	En	1	1	2024-10-03 00:12:27	2024-10-03 00:12:27	General reference	
8985	No pain, no gain.	GPT	En	1	1	2024-10-03 00:12:27	2024-10-03 00:12:27	General reference	
8986	Absence makes the heart grow fonder.	GPT	En	1	1	2024-10-03 00:12:28	2024-10-03 00:12:28	General reference	
8987	Analysis of facts informs strategy.	GPT	En	1	1	2024-10-03 00:12:28	2024-10-03 00:12:28	General reference	
8988	Knowledge dispels ignorance.	GPT	En	1	1	2024-10-03 00:12:28	2024-10-03 00:12:28	General reference	
8989	Validation enhances self-worth.	GPT	En	1	1	2024-10-03 00:12:28	2024-10-03 00:12:28	General reference	
8990	Grasping at straws means making a desperate attempt.	GPT	En	1	1	2024-10-03 00:12:29	2024-10-03 00:12:29	General reference	
8991	Good manners open doors.	GPT	En	1	1	2024-10-03 00:12:29	2024-10-03 00:12:29	General reference	
8992	Uplifting others builds morale.	GPT	En	1	1	2024-10-03 00:12:29	2024-10-03 00:12:29	General reference	
8993	Educated guesses help make predictions.	GPT	En	1	1	2024-10-03 00:12:29	2024-10-03 00:12:29	General reference	
8994	Leading by example fosters trust.	GPT	En	1	1	2024-10-03 00:12:30	2024-10-03 00:12:30	General reference	
