statement,Drop,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,statement_id,i_agree,i_agree_probability,others_agree,others_agree_probability,statement_r,awareness,consensus,commonsensicality,nlp_score
Rome wasn’t built in a day,,0933bcd064,False,False,False,True,True,False,671,yes,0.9999996533675848,yes,0.9999999468421384,Rome wasn’t built in a day,0.9999997065254465,0.9999986134708202,0.999999159997984,Rome wasn’t built in a day
Travel broadens the mind.,,ab8c496d2a,False,False,False,True,True,False,1735,yes,0.9999998144608612,yes,0.9999996940979492,Travel broadens the mind.,0.999999879637088,0.9999992578435828,0.9999995687402872,Travel broadens the mind.
Look before you leap,,2f5e628157,False,False,False,True,True,False,694,yes,0.9999999317439614,yes,0.9999999748900066,Look before you leap,0.9999999568539548,0.9999997269758644,0.9999998419149028,Look before you leap
Learn to walk before you run.,,ceb378cb3d,False,False,False,True,True,False,630,yes,0.99999996775813,yes,0.9999999804443174,Learn to walk before you run.,0.9999999873138128,0.9999998710325244,0.9999999291731668,Learn to walk before you run.
Don't run with scissors.,,eac464863e,False,False,False,True,True,False,970,yes,0.9999999936511996,yes,0.9999999895325976,Don't run with scissors.,0.999999995881398,0.9999999746047986,0.9999999852430984,Don't run with scissors.
Fish rots from the head down.,,5a73d90137,False,True,False,False,False,False,763,yes,0.5000000539594854,no,0.995390431392088,Fish rots from the head down.,0.5046096225673975,1.1657341758564144e-14,7.669685016301656e-08,Fish rots from the head down.
Bread always falls butter side down.,,8e9ee32403,False,True,False,False,False,False,437,no,0.9998911031792128,no,0.946596642052414,Bread always falls butter side down.,0.9467055388732012,0.9995644601509212,0.9727760332603176,Bread always falls butter side down.
Strawberries are sweet.,,a2d4bb8de9,False,True,False,False,False,False,1083,yes,0.9996646501663718,yes,0.9999974387182,Water is wet.,0.999667211448172,0.9986590505035312,0.99916300382087,Water is wet.
Birds fly south for the winter.,,678938f433,False,True,False,False,False,False,1717,yes,0.9999921107451646,yes,0.9999910603125768,Birds fly south for the winter.,0.999998949567412,0.9999684432296198,0.9999836962821844,Birds fly south for the winter.
Bananas are high in potassium.,,ae5720c55f,False,True,False,False,False,False,1992,yes,0.9999974387187338,yes,0.9999993524053492,Bananas are high in potassium.,0.9999980863133844,0.999989754901176,0.9999939205986036,Bananas are high in potassium.
Mountains are larger than hills.,,57f339dc78,False,True,False,False,False,False,1923,yes,0.9999994956527968,yes,0.9999999397642596,Mountains are larger than hills.,0.9999995558885372,0.9999979826122046,0.9999987692500616,Mountains are larger than hills.
Plants grow towards light.,,ead395578c,False,True,False,False,False,False,1507,yes,0.9999998144610254,yes,0.9999995549155416,Plants grow towards light.,0.9999997404545165,0.9999992578442392,0.9999994991493486,Plants grow towards light.
The heart pumps blood through the body.,,e8d72cc870,False,True,False,False,False,False,1600,yes,0.9999998555019708,yes,0.999999977840508,The heart pumps blood through the body.,0.9999998776614628,0.9999994220079662,0.9999996498346886,The heart pumps blood through the body.
Recycling conserves resources.,,38d1423026,False,True,False,False,False,False,1953,yes,0.9999999226557766,yes,0.9999999956365372,Recycling conserves resources.,0.9999999270192396,0.9999996906231304,0.999999808821178,Recycling conserves resources.
Forests are dense with trees.,,bf042028aa,False,True,False,False,False,False,1926,yes,0.9999999586006212,yes,0.9999998874648148,Forests are dense with trees.,0.9999999288641936,0.9999998344024912,0.9999998816333412,Forests are dense with trees.
Plastic pollution is a global concern.,,52c587c1ff,False,True,False,False,False,False,1921,yes,0.999999974890005,yes,0.9999999865595892,Plastic pollution is a global concern.,0.9999999883304156,0.9999998995600228,0.9999999439452182,Plastic pollution is a global concern.
Hot things can burn you.,,af85de0f16,False,True,False,False,False,False,1910,yes,0.9999999895325972,yes,0.999999998181038,Tampering with fire can cause burns.,0.9999999913515588,0.9999999581303888,0.9999999747409736,Tampering with fire can cause burns.
Hot weather can cause dehydration.,,61499dd388,False,True,False,False,False,False,1899,yes,0.9999999936511994,yes,0.999999996601732,Hot weather can cause dehydration.,0.9999999970494672,0.9999999746047976,0.9999999858271325,Hot weather can cause dehydration.
Electricity can be dangerous.,,104d8fc5e5,False,True,False,False,False,False,1034,yes,0.999999996601732,yes,0.9999999979388464,Fire is hot.,0.9999999986628856,0.9999999864069276,0.9999999925349066,Fire is hot.
Humans need water to survive.,,6477bc9ff1,False,True,False,False,False,False,1872,yes,1.0,yes,0.9999999961492576,Humans need water to survive.,0.9999999961492576,1.0,0.9999999980746288,Humans need water to survive.
Cats can see in the dark.,,c798cfa0dc,False,True,False,True,False,False,1407,no,0.5621762546373933,yes,0.984093617298548,Cats can see in the dark.,0.5780826373388452,0.0154635465629359,0.0945473837803777,Cats can see in the dark.
Bite the bullet.,x,c407725bc3,False,True,False,True,False,False,635,no,0.8933097810474271,no,0.9859363668024574,Bite the bullet.,0.9073734142449696,0.6187703354703001,0.7493035112217155,Bite the bullet.
Apple pie is tasty.,,a60b4eb8d3,False,True,False,True,False,False,1506,yes,0.9988304901074488,yes,0.9999980052722512,Apple pie is tasty.,0.9988324848351976,0.99532743144335,0.9970784179658068,Apple pie is tasty.
Bitter pills may have wholesome effects.,,74a09f68b8,False,True,False,True,False,False,358,yes,0.9999885212369436,yes,0.9998766054934034,Bitter pills may have wholesome effects.,0.99988808425646,0.999954085474822,0.9999210843210778,Bitter pills may have wholesome effects.
Cheese pairs well with wine.,,f5149f38c6,False,True,False,True,False,False,1604,yes,0.9999974387208886,yes,0.999999352405966,Cheese pairs well with wine.,0.9999980863149226,0.9999897549097952,0.9999939206036824,Cheese pairs well with wine.
Most people brush their teeth daily.,,534f7f4402,False,True,False,True,False,False,1166,yes,0.9999995549155666,yes,0.9999987901351092,Most people brush their teeth daily.,0.9999992352195424,0.9999982196630588,0.9999987274411716,Most people brush their teeth daily.
Driving requires a license.,,5a0b017b0a,False,True,False,True,False,False,1941,yes,0.9999998144608542,yes,0.999999495653167,Driving requires a license.,0.9999996811923128,0.9999992578435544,0.9999994695179112,Driving requires a license.
Taking breaks boosts productivity.,,bdc63c8e6f,False,True,False,True,False,False,1690,yes,0.9999998555021132,yes,0.9999997897568268,Taking breaks boosts productivity.,0.9999999342547136,0.999999422008536,0.999999678131592,Taking breaks boosts productivity.
Keeping a tidy workspace can improve productivity.,,3a358853e7,False,True,False,True,False,False,1154,yes,0.9999999317439606,yes,0.9999999677581316,Keeping a tidy workspace can improve productivity.,0.999999963985829,0.9999997269758611,0.999999845480838,Keeping a tidy workspace can improve productivity.
Napping can re-energize you.,,d90b3fc2b9,False,True,False,True,False,False,1841,yes,0.9999999677581324,yes,0.9999999778405092,Napping can re-energize you.,0.9999999899176232,0.9999998710325332,0.9999999304750764,Napping can re-energize you.
Dogs bark.,X,270da31482,False,True,False,True,False,False,1808,yes,0.999999980444318,yes,0.9999999970010388,Dogs bark.,0.9999999834432792,0.999999921777274,0.9999999526102762,Dogs bark.
Noise can be bothersome.,,4f715a5205,False,True,False,True,False,False,1756,yes,0.9999999881388784,yes,0.9999999950555492,Noise can be bothersome.,0.9999999930833292,0.999999952555514,0.9999999728194214,Noise can be bothersome.
Reading regularly can improve literacy.,,b5b4ab8fe3,False,True,False,True,False,False,1018,yes,0.9999999928058672,yes,0.9999999976644068,Reading regularly can improve literacy.,0.9999999951414604,0.9999999712234692,0.9999999831824647,Reading regularly can improve literacy.
Facial expressions convey a lot of information.,,a8ff5e24c2,False,True,False,True,False,False,1797,yes,0.9999999970010393,yes,0.9999999928058664,Facial expressions convey a lot of information.,0.9999999958048272,0.9999999880041566,0.9999999919044918,Facial expressions convey a lot of information.
Brushing your teeth daily helps maintain good oral hygiene.,,b810f62d7b,False,True,False,True,False,False,1125,yes,1.0,yes,1.0,Brushing your teeth daily helps maintain good oral hygiene.,1.0,0.9999999999999996,0.9999999999999996,Brushing your teeth daily helps maintain good oral hygiene.
Fit as a fiddle.,X,24ffce7362,False,True,False,True,True,False,560,no,0.500000026517084,no,0.7549149311785327,Fit as a fiddle.,0.7450850953385513,2.7755575615628914e-15,4.5475560143605974e-08,Fit as a fiddle.
Straight from the horse's mouth.,X,9a69018912,False,True,False,True,True,False,1004,no,0.7773000641421254,no,0.9706877476634508,Straight from the horse's mouth.,0.8066123164786747,0.3075813022929073,0.498095238632141,Straight from the horse's mouth.
Winter sports are fun.,,63cdd2ae9e,False,True,False,True,True,False,1647,no,0.9579122844410412,yes,0.5621765557951325,Winter sports are fun.,0.6042642713540912,0.8387346409680523,0.7119110735787127,Winter sports are fun.
Turn the other cheek.,X,1f9a97a793,False,True,False,True,True,False,596,yes,0.9465961846243784,no,0.9975273771120828,Turn the other cheek.,0.9490688075122956,0.7977926084842076,0.8701494581830357,Turn the other cheek.
Diamonds are forever.,X,28b634f3bc,False,True,False,True,True,False,916,no,0.9982992789418432,yes,0.9875683643588082,Diamonds are forever.,0.989269085416965,0.9932086855758436,0.991236928291012,Diamonds are forever.
Raining cats and dogs.,X,b51de5c3c4,False,True,False,True,True,False,984,no,0.9975273783930672,no,0.9996200156061756,Raining cats and dogs.,0.9979073627868916,0.9901339690027132,0.994013067224579,Raining cats and dogs.
Hit the nail on the head.,x,b043983985,False,True,False,True,True,False,980,yes,0.9986749416337038,yes,0.9989677641726428,Hit the nail on the head.,0.9997071774610612,0.9947067896535118,0.9972038493136024,Hit the nail on the head.
It's not rocket science.,X,5ea8caad70,False,True,False,True,True,False,563,yes,0.999664590134662,yes,0.9999885212374718,It's not rocket science.,0.9996760688971902,0.9986588105377592,0.999167310257862,It's not rocket science.
Climate change is real.,,2db6714dde,False,True,False,True,True,False,1438,yes,0.9999832986308236,yes,0.9998415638556843,I believe in climate change.,0.9998582652248608,0.9999331956390372,0.999895729730055,I believe in climate change.
Time flies when you are having fun.,,8e69c2fcbf,False,True,False,True,True,False,1501,yes,0.9999852610212372,yes,0.999999352405351,Time flies.,0.9999859086158862,0.9999410449538988,0.9999634765332898,Time flies.
Strike while the iron is hot.,,151d61fe16,False,True,False,True,True,False,179,yes,0.9999984465028656,yes,0.9999977396771602,Strike while the iron is hot.,0.9999992931742946,0.999993786021116,0.999996539593914,Strike while the iron is hot.
Golden mirror reflect your aid.,X,b2dfd335f2,False,True,False,True,True,False,406,no,0.999999607214046,no,0.9999999677581306,Golden mirror reflect your aid.,0.9999996394559152,0.9999984288568008,0.9999990341561747,Golden mirror reflect your aid.
It's important to recycle.,,203c629da8,False,True,False,True,True,False,1192,yes,0.9999998555021036,yes,0.9999998362622858,It's important to recycle.,0.9999999807601824,0.9999994220084978,0.9999997013843008,It's important to recycle.
Some people prefer rainy days.,,710b883844,False,True,False,True,True,False,1029,yes,0.9999999748900064,yes,0.9999997897567762,Some people prefer rainy days.,0.9999998148667696,0.9999998995600284,0.999999857213398,Some people prefer rainy days.
Reading can expand your imagination.,,7da0edbbcc,False,True,False,True,True,False,2065,yes,0.999999980444316,yes,0.999999999241744,Reading can expand your imagination.,0.9999999812025724,0.9999999217772662,0.9999999514899188,Reading can expand your imagination.
The world is your oyster.,,0ee4ec3389,True,False,False,True,True,False,121,no,0.5000000897145951,no,0.6224592757756828,Old is gold.,0.8775408139389123,3.219646771412954e-14,1.680884126994337e-07,Old is gold.
Apple of one's eye.,X,41dec8af1e,True,False,False,True,True,False,1003,no,0.75491537630629,no,0.962673099086644,Apple of one's eye.,0.7922422772196461,0.2599273963095098,0.4537901192886635,Apple of one's eye.
Love is blind.,,522a2af686,True,False,False,True,True,False,151,yes,0.9324533209646996,yes,0.9995121432577072,Love is blind.,0.9329411777069924,0.7480634992535895,0.8354036401604062,Love is blind.
Promise is a debt.,,e203bfd899,True,False,False,True,True,False,510,yes,0.9840936215866845,yes,0.9525741377470476,Promise is a debt.,0.9684805161603632,0.9373865378436478,0.9528066949872844,Promise is a debt.
Content is king.,,bc81e694a1,True,False,False,True,True,False,870,yes,0.9991959144996796,yes,0.9820137895242312,Content is king;,0.9828178750245514,0.996786244212686,0.9897774186102732,Content is king;
"Less talk, more action.",,d5ef7d80aa,True,False,False,True,True,False,825,yes,0.999620015712208,yes,0.9999910603120884,"Less talk, more action.",0.9996289554001196,0.998480640401068,0.9990546329162197,"Less talk, more action."
Foresight prevents mistakes.,,ca18e407d5,True,False,False,True,True,False,1675,yes,0.9999038976641452,yes,0.9999921107459088,Foresight prevents mistakes.,0.9999117869182366,0.9996156275992172,0.9997636962923429,Foresight prevents mistakes.
There is no honor among thieves.,,81f2806c39,True,False,False,True,True,False,310,yes,0.999968798109893,yes,0.9999991684719906,There is no honor among thieves.,0.9999696296379024,0.999875196333804,0.9999224118710606,There is no honor among thieves.
Respect for elders is a common value.,,5f9660a9c3,True,False,False,True,True,False,1058,yes,0.9999898700128248,yes,0.999988521225153,Respect for elders is a common value.,0.9999986512123282,0.9999594804617656,0.9999790656452496,Respect for elders is a common value.
Dreams are worth chasing.,,e31879bcdb,True,False,False,True,True,False,476,yes,0.9999967112526978,yes,0.9999910603127814,Dreams are worth chasing.,0.9999943490600836,0.9999868450540548,0.9999905970500303,Dreams are worth chasing.
What goes around comes around,,d42e5be4cf,True,False,False,True,True,False,666,yes,0.9999987901352424,yes,0.9999994956528014,What goes around comes around,0.999999294482441,0.9999951605468248,0.9999972275124966,What goes around comes around
Discrimination is unjust.,,6cb2655725,True,False,False,True,True,False,1019,yes,0.9999994956531983,yes,0.9999998724809408,Discrimination is unjust.,0.9999996231722575,0.9999979826138108,0.9999988028926978,Discrimination is unjust.
Kind words have the power to build bridges.,,898b3cdd4a,True,False,False,True,True,False,292,yes,0.9999998144610488,yes,0.9999999748900064,Kind words have the power to build bridges.,0.9999998395710422,0.9999992578443324,0.999999548707645,Kind words have the power to build bridges.
Trust is hard-earned.,,3044be34c2,True,False,False,True,True,False,1694,yes,0.9999999586006176,yes,0.999999872481054,Trust is hard-earned.,0.9999999138804364,0.999999834402478,0.9999998741414564,Trust is hard-earned.
Art can be a form of self-expression.,,0aae6c5c44,True,False,False,True,True,False,2063,yes,1.0,yes,1.0,Art can be a form of self-expression.,1.0,0.9999999999999996,0.9999999999999996,Art can be a form of self-expression.
Faith in friends will often create untaped capabilities neither could foresee.,,923b90e65a,True,False,False,True,True,True,299,no,0.5621762957963558,no,0.9984988186978818,Faith in friends will often create untap capabilities either could foresee.,0.5636774770984739,0.0154635670358237,0.0933620075496251,Faith in friends will often create untap capabilities either could foresee.
Opportunity knocks but once.,,23791da9b6,True,False,False,True,True,True,443,no,0.9046504852001982,no,0.7772998128596844,Opportunity knocks but once.,0.8726493276594862,0.6549680606910233,0.7560141783065044,Opportunity knocks but once.
Ignorance is bliss.,,461753f4a1,True,False,False,True,True,True,1285,no,0.9669140470280102,no,0.9706877631667716,Ignorance is bliss,0.9962262838612388,0.8720349092482997,0.9320644275143786,Ignorance is bliss
The boy who cried wolf.,X,ad49e5bcd3,True,False,False,True,True,True,976,no,0.9959299744143576,no,0.999903897723206,The boy who cried wolf.,0.9960260766911516,0.983786158090502,0.9898871993040136,The boy who cried wolf.
"Judge not, lest ye be judged.",,d133089264,True,False,False,True,True,True,416,yes,0.9975273787747432,yes,0.9975273791998112,"Judge not, lest ye be judged.",0.9999999995749318,0.9901339705218666,0.9950547573380032,"Judge not, lest ye be judged."
Uneasy lies the head that wears the crown.,,d9b146b902,True,False,False,True,True,True,514,yes,0.999986992870906,yes,0.9971990735978762,Uneasy lies the head that wears the crown.,0.9972120807269704,0.9999479721603652,0.9985790894750162,Uneasy lies the head that wears the crown.
Good fences make good neighbors.,,9a76b40bc6,True,False,False,True,True,True,154,yes,0.999933947902488,yes,0.999704043149132,Good fences make good neighbors.,0.999770095246644,0.9997358090614704,0.999752952007078,Good fences make good neighbors.
Imitation is the sincerest form of flattery.,,61a47e8f8b,True,False,False,True,True,True,303,yes,0.9999785550619686,yes,0.9999785550615314,Imitation is the sincerest form of flattery.,0.9999999999995628,0.999914222087416,0.9999571101237188,Imitation is the sincerest form of flattery.
Diligence often opportunity often determinesucceed.,X,a3f5d06c70,True,False,False,True,True,True,131,no,0.99999671125578,no,0.9999832986107224,Diligence often opportunity often determinesucceed.,0.9999865873549424,0.9999868450663836,0.9999867162106548,Diligence often opportunity often determinesucceed.
Remember sorrow won't reference smiles gone miss.,X,4068127b94,True,False,False,True,True,True,787,no,0.9999984465027316,no,0.999998629043572,Remember sorrow won't reference smiles gone miss.,0.9999998174591596,0.99999378602058,0.9999968017353223,Remember sorrow won't reference smiles gone miss.
A fool and his money are soon parted.,,9747728ff5,True,False,False,True,True,True,207,yes,0.9999991684720986,yes,0.9999996072139844,A fool and his money are soon parted.,0.9999995612581144,0.99999667389116,0.999998117573595,A fool and his money are soon parted.
Begging hands and empty pockets warn of a month of riches.,,1c16ee276a,True,False,False,True,True,True,888,no,0.9999996072140211,no,0.999999814460847,Begging hands and empty pockets warn of a month of riches.,0.9999997927531742,0.9999984288567018,0.9999991108047056,Begging hands and empty pockets warn of a month of riches.
Ignored warnings open doors to trouble.,,ca5ce60349,True,False,False,True,True,True,415,yes,0.999999887464823,yes,0.999999946842142,Ignored warnings open doors to trouble.,0.9999999406226808,0.9999995498593428,0.9999997452409928,Ignored warnings open doors to trouble.
Respecting others' opinions fosters harmony.,,dfc7c289a2,True,False,False,True,True,True,1857,yes,0.99999997154665,yes,0.9999998362623934,Respecting others' opinions fosters harmony.,0.9999998647157432,0.9999998861866036,0.9999998754511734,Respecting others' opinions fosters harmony.
Learning from mistakes leads to growth.,,a258346430,True,False,False,True,True,True,1075,yes,0.9999999918479786,yes,0.9999999961492578,Learning from mistakes leads to growth.,0.9999999956987208,0.9999999673919148,0.9999999815453176,Learning from mistakes leads to growth.
Shaking hands is a common greeting.,,ae0101e899,True,True,False,True,False,False,1548,yes,0.6791642995610064,yes,0.679178716129445,She has a sharp tongue.,0.9999855834315614,0.1283993849487442,0.3583260161783173,She has a sharp tongue.
Santa Claus brings presents to children on Christmas.,,020cc6760b,True,True,False,True,False,False,570,no,0.9940889334335944,yes,0.9740426425910946,Santa Claus brings presents to children on Christmas.,0.9799537091575004,0.9764954965661872,0.97822307467961,Santa Claus brings presents to children on Christmas.
Classical music helps with concentration.,,b8c9bf7b73,True,True,False,True,False,False,1458,yes,0.9989677699526176,yes,0.999195914723886,Classical music helps with concentration.,0.9997718552287314,0.9958753418059528,0.9978216965239252,Classical music helps with concentration.
People celebrate birthdays.,,0dd622fdf0,True,True,False,True,False,False,1468,yes,0.9999974387205772,yes,0.9999991684720672,Stand in line to buy tickets.,0.99999827024851,0.9999897549085496,0.999994012569466,Stand in line to buy tickets.
It's common to send holiday cards around December.,,7bc612bf4e,True,True,False,True,False,False,1327,yes,0.9999996940979003,yes,0.9999994285002072,It's common to send holiday cards around December.,0.9999997344023068,0.9999987763919757,0.9999992553970264,It's common to send holiday cards around December.
Regular savings lead to financial stability.,,e9d5227e4a,True,True,False,True,False,False,1060,yes,0.9999997300423824,yes,0.9999999397642536,Regular savings lead to financial stability.,0.999999790278129,0.9999989201698216,0.9999993552238808,Regular savings lead to financial stability.
Graduating college increases job prospects.,,6c06ff93f7,True,True,False,True,False,False,1094,yes,0.9999999397643732,yes,0.9999994285002138,Graduating college increases job prospects.,0.9999994887358404,0.9999997590575076,0.999999623896665,Graduating college increases job prospects.
Crying helps to release emotions.,,5369464357,True,True,False,True,False,False,1602,yes,0.9999998724810518,yes,0.9999997300424004,Crying helps to release emotions.,0.9999998575613488,0.9999994899242723,0.9999996737427936,Crying helps to release emotions.
Governments create laws.,,e1c50fde19,True,True,False,True,False,False,1907,yes,0.9999998724810536,yes,0.9999999397642564,Governments create laws.,0.999999932716797,0.999999489924279,0.9999997113205136,Governments create laws.
Students study for exams.,,a8b0b3ad3e,True,True,False,True,False,False,1500,yes,0.9999999006880436,yes,0.9999999317439628,Students study for exams.,0.9999999689440808,0.9999996027522136,0.9999997858481304,Students study for exams.
Tea is enjoyed by many people.,,a009d3ecc1,True,True,False,True,False,False,1040,yes,0.9999999586006172,yes,0.9999998874648198,Tea is enjoyed by many people.,0.9999999288642026,0.9999998344024756,0.999999881633338,Tea is enjoyed by many people.
Cheating is frowned upon.,,95bba552d4,True,True,False,True,False,False,1481,yes,0.9999999827421698,yes,0.9999998724810556,Cheating is frowned upon.,0.999999889738886,0.9999999309686806,0.999999910353783,Cheating is frowned upon.
Wait for your turn when in a queue.,,ee5fe79630,True,True,False,True,False,False,1585,yes,0.9999999865595892,yes,0.9999999715466504,Wait for your turn in a queue.,0.9999999849870612,0.9999999462383572,0.999999965612709,Wait for your turn in a queue.
Being organized helps efficiency.,,794dbf328c,True,True,False,True,False,False,1674,yes,0.9999999981810382,yes,0.999999939764254,Being organized helps efficiency.,0.9999999415832158,0.999999992724153,0.999999967153684,Being organized helps efficiency.
Religious beliefs vary among cultures.,,cc07e2debf,True,True,False,True,False,False,1903,yes,0.9999999950555492,yes,0.9999999973534262,Religious beliefs vary among cultures.,0.9999999977021232,0.9999999802221972,0.99999998896216,Religious beliefs vary among cultures.
The more the merrier.,,20aef632f3,True,True,False,True,True,False,160,yes,0.5312093950101435,yes,0.9914225255425152,The more the merrier.,0.5397868694676282,0.0038961053475966,0.0458592030970369,The more the merrier.
Relationships are about compatibility and intricate aims.,,3cf4961c94,True,True,False,True,True,False,786,no,0.9399133213859278,no,0.9968273181483408,Relationships are about compatibility and intricate aims.,0.9430860032375872,0.7740949213311943,0.8544226620851945,Relationships are about compatibility and intricate aims.
Trust your instincts.,,366c7968ad,True,True,False,True,True,False,397,yes,0.9953904330140138,yes,0.9999832985823804,Trust your instincts.,0.9954071344316334,0.9816467244872482,0.9885029858559108,Trust your instincts.
Reading makes you smarter.,,a34bad73fb,True,True,False,True,True,False,1726,yes,0.9997388098500438,yes,0.9999990577553588,Reading makes you smarter.,0.999739752094685,0.998955512281353,0.9993475552588194,Reading makes you smarter.
Prioritizing family is essential.,,43e65261ce,True,True,False,True,True,False,1693,yes,0.9999687981029088,yes,0.9999997300424086,Prioritizing family is essential.,0.9999690680605002,0.9998751963058689,0.9999221310816104,Prioritizing family is essential.
Social media has a negative impact on mental health.,,6725e2f2cb,True,True,False,True,True,False,1447,yes,0.9999945777888026,yes,0.999998932298034,I think social media has a negative impact on mental health.,0.9999956454907686,0.999978311272812,0.9999869783442304,I think social media has a negative impact on mental health.
The truth hurts.,,2d7f397b78,True,True,False,True,True,False,819,yes,0.999998005272292,yes,0.9999996533675994,The truth hurts.,0.9999983519046928,0.999992021105084,0.9999951864998784,The truth hurts.
Voting is a civic duty.,,aed59d4d01,True,True,False,True,True,False,1954,yes,0.9999990577563456,yes,0.9999992661798854,Voting is a civic duty.,0.9999997915764602,0.999996231028934,0.9999980113011124,Voting is a civic duty.
Kindness matters deeply.,,e5b13b192d,True,True,False,True,True,False,99,yes,0.99999949565281,yes,0.999999946842143,Kindness matters deeply.,0.999999548810667,0.9999979826122576,0.9999987657111556,Kindness matters deeply.
People often nostalgic about their childhood.,,1c46c998c9,True,True,False,True,True,False,1348,yes,0.9999998362624368,yes,0.9999999123575096,People often nostalgic about their childhood.,0.999999923904927,0.999999345049854,0.9999996344773486,People often nostalgic about their childhood.
Music can improve mood.,,9a5955dd29,True,True,False,True,True,False,1811,yes,0.9999999226557788,yes,0.9999999865595888,I feel that music can improve mood.,0.99999993609619,0.9999996906231394,0.9999998133596572,I feel that music can improve mood.
Dogs are loyal pets.,,af1b9b95c1,True,True,False,True,True,False,1838,yes,0.9999999397642624,yes,0.9999999468421448,Dogs are loyal pets.,0.9999999929221176,0.999999759057064,0.999999875989584,Dogs are loyal pets.
Showing gratitude is good manners.,,32e16a3505,True,True,False,True,True,False,1032,yes,0.9999999677581308,yes,0.9999999530883554,Showing gratitude is good manners.,0.9999999853302244,0.999999871032528,0.9999999281813744,Showing gratitude is good manners.
Cheating is dishonest.,,2e936f468c,True,True,False,True,True,False,1633,yes,0.9999999907625498,yes,0.9999999804443176,Cheating is dishonest.,0.9999999896817676,0.9999999630501992,0.9999999763659834,Cheating is dishonest.
Children learn by example.,,bc21e26993,True,True,False,True,True,False,1742,yes,0.9999999973534264,yes,0.9999999956365376,Children learn by example.,0.9999999982831116,0.999999989413705,0.9999999938484082,Children learn by example.
Hunger is the best sauce.,,c86887aa7d,True,True,False,True,True,True,1089,yes,0.8175745461022089,no,0.6513546501399579,Hunger is the best sauce.,0.8337801040377489,0.403414369328096,0.5799645461825256,Hunger is the best sauce.
Kindness costs nothing.,,b4d4b21a6b,True,True,False,True,True,True,119,yes,0.9953904364559314,yes,0.9991959168845445,Friends should loyalty.,0.9961945195713868,0.9816467381279927,0.9888938773590596,Friends should loyalty.
Courtesy costs nothing but buys everything.,,5c49c1bff3,True,True,False,True,True,True,771,yes,0.9995121432632116,yes,0.9990889497854152,Courtesy costs nothing but buys everything.,0.9995768065222036,0.9980495250696292,0.9988128738758336,Courtesy costs nothing but buys everything.
A positive attitude attracts positive outcomes.,,90b585d92e,True,True,False,True,True,True,376,yes,0.9999832985942496,yes,0.9999970976909645,A positive attitude attracts positive outcomes.,0.9999862009032852,0.9999331954927464,0.9999596978468048,A positive attitude attracts positive outcomes.
A poor workman blames his tools.,,a8abb892ee,True,True,False,True,True,True,899,yes,0.9999945777836834,yes,0.9999977396773716,A poor workman blames his tools.,0.9999968381063118,0.9999783112523352,0.9999875746364174,A poor workman blames his tools.
