statement,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
A year is approximately 365.25 days due to Earth's orbit.,A year is approximately 365.25 days due to Earth's orbit.,3f8b41364b,0,1,0,0,0,0,0.999985499512501,0.9999331955043121,0.9999593471664291
Adequate rest is crucial for muscle recovery and growth.,Adequate rest is crucial for muscle recovery and growth.,743ce31ccc,0,1,0,0,0,0,0.9999999946032906,0.9999999309686779,0.9999999627859837
Adequate rest is the silent ally in fitness’s unyielding marathon.,Adequate rest is the silent ally in fitness’s unyielding marathon.,4d9d797eb3,0,1,0,1,1,0,0.9999999781983478,0.9999998123534292,0.9999998952758851
"Aerodynamics is the wind’s tutor, teaching machines the art of flight.","Aerodynamics is the wind’s tutor, teaching machines the art of flight.",a8e69d9c1a,0,0,0,1,1,0,0.9999977761922445,0.9999897549005982,0.9999937655383786
Air feels thick with unspoken truths hanging like storm clouds.,Air feels thick with unspoken truths hanging like storm clouds.,b42e005d91,0,0,0,1,1,0,0.9964211413354059,0.999941044948402,0.9981795416034157
Algebra involves solving equations and understanding functions.,Algebra involves solving equations and understanding functions.,7f1ff7afc5,0,1,0,0,0,0,0.9999985712043111,0.9999909587292036,0.9999947649595136
Algebra uses symbols to solve equations representing relationships.,Algebra uses symbols to solve equations representing relationships.,191336f233,0,1,0,0,0,0,0.9999797597736446,0.9997942419985819,0.9998869965835214
Algebra whispers secrets only the careful listener will decipher.,Algebra whispers secrets only the careful listener will decipher.,85e70d9b0b,0,0,0,1,1,0,0.9999998293543305,0.9999989201697972,0.9999993747619605
Altruism in religious doctrines parallels evolutionary biology's kin selection.,Altruism in religious doctrines parallels evolutionary biology's kin selection.,7481eca2d5,1,0,0,1,1,0,0.9999996947671935,0.9999998344024987,0.9999997645848436
Ambition is the fire fueling humanity’s relentless quest for progress.,Ambition is the fire fueling humanity’s relentless quest for progress.,39a40aa0b0,1,0,0,1,1,0,0.9999999974507742,0.9999999673919093,0.9999999824213417
An odd number is not divisible evenly by two.,An odd number is not divisible evenly by two.,f6813a0d61,0,1,0,0,0,0,0.9999999026947918,0.9999995498592962,0.9999997262770285
Ancient myths reflect archetypes resembling evolutionary psychological patterns.,Ancient myths reflect archetypes resembling evolutionary psychological patterns.,a12831d604,1,1,0,1,1,0,0.9999998385979988,0.9999993450497293,0.9999995918238336
"Antarctica is the coldest continent, located at the southernmost part of Earth.","Antarctica is the coldest continent, located at the southernmost part of Earth.",c09982b1de,0,1,0,0,0,0,0.8670547532860665,0.999924300839891,0.9311225042761421
Area calculations require understanding dimension relationships in geometric figures.,Area calculations require understanding dimension relationships in geometric figures.,850f362dba,0,1,0,0,0,0,0.9999995278122022,0.9999977140023194,0.9999986209068497
Arithmetic is the skeleton holding up the flesh of comprehension.,Arithmetic is the skeleton holding up the flesh of comprehension.,f3c585a900,0,0,0,1,0,0,0.999999942087539,0.9999998344027812,0.9999998882451586
Art can challenge norms and inspire social change.,Art can challenge norms and inspire social change.,36632a6b86,1,0,0,1,1,0,0.999999997049499,0.9999999113620379,0.9999999542057676
"Art challenges societal norms, sparking conversations and reflections.","Art challenges societal norms, sparking conversations and reflections.",d56c3dfda2,1,0,0,1,1,0,0.9999988122957775,0.9999951605510027,0.9999969864217232
Art conveys cultural stories through visual and emotional expressions.,Art conveys cultural stories through visual and emotional expressions.,1bc96383ce,1,0,0,1,1,0,0.9999999790840132,0.999999871032523,0.9999999250582666
Art movements often reflect shifts in cultural attitudes.,Art movements often reflect shifts in cultural attitudes.,6f26bf9995,1,0,0,1,1,0,0.9999988915875582,0.9999982196614204,0.9999985556244328
Art shapes and reflects societal values and norms.,Art shapes and reflects societal values and norms.,86f9bf16a0,1,0,0,1,1,0,0.9995531950701239,0.997496237800165,0.9985241867694458
"Artificial intelligence automates tasks, enhancing efficiency in various industries.","Artificial intelligence automates tasks, enhancing efficiency in various industries.",776b8d166f,0,1,0,1,0,0,0.9983692255853719,0.992307925035645,0.9953339613717921
"Artificial intelligence mimics human reasoning, expanding technological frontiers.","Artificial intelligence mimics human reasoning, expanding technological frontiers.",b41d7e522b,0,0,0,1,0,0,0.9999999919797082,0.9999997590570214,0.999999875518358
"Artistic expression weaves a tapestry of hopes and histories, inviting reflection.","Artistic expression weaves a tapestry of hopes and histories, inviting reflection.",19b1109a58,1,0,0,1,1,0,0.9999999022917817,0.9999991590265848,0.9999995306591142
"Artistic styles vary across cultures, reflecting diverse values.","Artistic styles vary across cultures, reflecting diverse values.",bc234466cf,1,0,0,1,1,0,0.9995522073538713,0.9980495266536521,0.9988005844086919
Atoms are the fundamental building blocks of matter.,Atoms are the fundamental building blocks of matter.,d26230973e,0,1,0,0,0,0,0.9999999473022225,0.9999992578442547,0.9999996025731792
Augmented reality overlays digital information onto physical perceptions.,Augmented reality overlays digital information onto physical perceptions.,86e3ba4e55,0,1,0,0,0,0,0.9999989495419572,0.9999951605465316,0.9999970550424498
Authenticity is the light breaking through conformity's shadow.,Authenticity is the light breaking through conformity's shadow.,f8fd33ac5f,1,0,0,1,1,0,0.9999987164602887,0.9999989201707626,0.9999988183155205
Axioms are self-evident truths forming the foundation of mathematical systems.,Axioms are self-evident truths forming the foundation of mathematical systems.,ffb0bfd6ef,0,0,0,0,0,0,0.6513793328495097,0.9999028014594614,0.8070415229274264
Axioms are the seeds from which mathematical forests grow.,Axioms are the seeds from which mathematical forests grow.,22ad3666ea,0,0,0,0,0,0,0.99995644774863,0.9999410449552651,0.9999487463222902
Bacteria reproduce rapidly under favorable conditions like warmth and moisture.,Bacteria reproduce rapidly under favorable conditions like warmth and moisture.,dabd301f9b,0,1,0,0,0,0,0.9999999328461947,0.9999994220079476,0.9999996774270385
Balance is the tightrope walker on the wire of health.,Balance is the tightrope walker on the wire of health.,5334358045,0,1,0,1,1,0,0.999469858305711,0.9992820178378164,0.9993759336585044
"Beauty is in the eye of the beholder, elusive to measurement.","Beauty is in the eye of the beholder, elusive to measurement.",200ddf9c29,1,0,1,1,1,0,0.9999998311561925,0.9999991590274365,0.999999495091758
"Beauty is the butterfly of perception, fluttering on fantasy’s colorful wings.","Beauty is the butterfly of perception, fluttering on fantasy’s colorful wings.",d4ea05e8da,1,0,0,1,1,0,0.9825016385703269,0.9980495266679671,0.9902450683167359
Belief systems anchor the soul amidst life's turbulent currents.,Belief systems anchor the soul amidst life's turbulent currents.,7752d643f1,1,0,0,1,1,0,0.9997735468625821,0.9986590500839934,0.9992161430886168
"Belief systems are societal blueprints, mapping spiritual landscapes.","Belief systems are societal blueprints, mapping spiritual landscapes.",e7b464cdaa,1,0,0,1,1,0,0.9999990283719561,0.9999951605466897,0.9999970944574529
Belief systems provide frameworks for understanding the world.,Belief systems provide frameworks for understanding the world.,1c5eafa535,1,0,0,1,1,0,0.9999693160221284,0.9989555122103709,0.9994622855723669
Belief systems sculpt individual perceptions like water shaping rock over time.,Belief systems sculpt individual perceptions like water shaping rock over time.,21575b48bd,0,0,0,1,1,0,0.5623164072031462,0.9994407899686998,0.7496678959562518
"Belief systems, like mathematics, strive to decode life’s grand equations.","Belief systems, like mathematics, strive to decode life’s grand equations.",3ad2ad8a49,1,0,0,1,1,0,0.9999999999991335,0.9999957292001267,0.9999978645973501
Beliefs about history often mix facts with collective narratives.,Beliefs about history often mix facts with collective narratives.,04f9fe3232,1,0,0,1,1,0,0.9999993129706037,0.9999966738936301,0.9999979934312464
Beliefs are the shadows cast by the mind's light.,Beliefs are the shadows cast by the mind's light.,17be5e59ab,1,0,0,1,1,0,0.9999998831740552,0.9999993450497466,0.9999996141118647
Beliefs can shape responses to life's uncertainties and trials.,Beliefs can shape responses to life's uncertainties and trials.,8ef11e1fa7,1,0,0,1,1,0,0.9999995832952914,0.9999996494301017,0.999999616362696
Beliefs often color perceptions of historical events.,Beliefs often color perceptions of historical events.,3b0710f5b9,1,0,0,1,1,0,0.9999787437828108,0.9996156272103817,0.999797169011547
"Beliefs shape the paintings of cultural reality, vivid yet unseen.","Beliefs shape the paintings of cultural reality, vivid yet unseen.",75f71ef21f,1,0,0,1,1,0,0.9999999952374213,0.9999999581303891,0.9999999766839051
Biological processes underpin life through cellular interactions.,Biological processes underpin life through cellular interactions.,c63438eb62,0,1,0,0,0,0,0.9999945896574782,0.9999970647184032,0.999995827187175
Biometrics unlock the unique map of personal identity.,Biometrics unlock the unique map of personal identity.,68ee6ded04,0,1,0,1,0,0,0.9999999609236899,0.9999997590574669,0.9999998599905733
Blood pressure measures force of blood against artery walls.,Blood pressure measures force of blood against artery walls.,0b82ab83fd,0,1,0,0,0,0,0.999999135100608,0.9999996906231097,0.9999994128618203
"Body heat dissipates, mirroring the entropy of energy's restless voyage.","Body heat dissipates, mirroring the entropy of energy's restless voyage.",f3403bdc53,0,1,0,0,0,0,0.9709489688830728,0.8861879410835367,0.9276008126514731
Body weight is gravity's silent partner in the health dance.,Body weight is gravity's silent partner in the health dance.,dd359efc6f,0,1,0,0,1,0,0.9862320856992931,0.9445356862246913,0.9651587433385196
Bones provide structure and support for the human body.,Bones provide structure and support for the human body.,370b914d59,0,1,0,0,0,0,0.9999999733609269,0.9999998710325256,0.999999922196725
"Brainwaves are the symphony of thought, conducted by neural maestros.","Brainwaves are the symphony of thought, conducted by neural maestros.",7410e57bde,0,0,0,1,1,0,0.9999999999999998,0.9999999309686868,0.9999999654843427
"Breath is the rhythm of life, sustaining humanity's unending melody.","Breath is the rhythm of life, sustaining humanity's unending melody.",c9973f9fe4,0,0,0,1,1,0,0.999998190810643,0.9999992578442582,0.9999987243273083
Calculus bridges the finite with the infinite beyond mere ocular gaze.,Calculus bridges the finite with the infinite beyond mere ocular gaze.,6d4cab4ff6,0,0,0,0,1,0,0.9999999856246663,0.9999999113620344,0.9999999484933496
Calculus reveals the hidden dance between finiteness and infinity.,Calculus reveals the hidden dance between finiteness and infinity.,59595a9ad5,0,0,0,0,0,0,0.9999987390922571,0.9999970647218138,0.999997901906685
Calculus studies rates of change and accumulation.,Calculus studies rates of change and accumulation.,6aeb891bb4,0,1,0,0,0,0,0.9999992677846761,0.9999996027522505,0.9999994352684493
"Caloric balance is life's ledger, always speaking the truth.","Caloric balance is life's ledger, always speaking the truth.",f6a024d0da,0,0,0,1,1,0,0.9999998937798883,0.9999993450498932,0.9999996194148532
Cardiovascular exercise enhances heart and lung function.,Cardiovascular exercise enhances heart and lung function.,d1a1ce2c61,0,1,0,0,0,0,0.9999967397088855,0.9999998861865983,0.9999983129465043
Cardiovascular exercise pumps vitality through a body’s circulatory highways.,Cardiovascular exercise pumps vitality through a body’s circulatory highways.,2bd096cf83,0,1,0,0,0,0,0.9998582652532295,0.9999331954389351,0.9998957296441925
"Cells are the microscopic artisans, crafting the tapestry of life seamlessly.","Cells are the microscopic artisans, crafting the tapestry of life seamlessly.",b9b87594b7,0,1,0,0,1,0,0.9998918370236749,0.9999970647186897,0.9999444494869969
"Chemical bonds are nature's glue, holding reality together.","Chemical bonds are nature's glue, holding reality together.",3a03513dc0,0,1,0,0,0,0,0.9999184777997072,0.9999868450548932,0.9999526608430124
Chemical reactions occur at specific rates influenced by temperature.,Chemical reactions occur at specific rates influenced by temperature.,38c03bf22c,0,1,0,0,0,0,0.9859364720507797,0.9999996027522421,0.9929431405623017
"Chemistry connects us, binding individual molecules into life's shared experience.","Chemistry connects us, binding individual molecules into life's shared experience.",84de8a706d,0,0,0,0,1,0,0.99999998880448,0.9999999309686881,0.9999999598865836
Climate change is a widely discussed and debated global issue.,Climate change is a widely discussed and debated global issue.,04fc727113,0,1,0,0,0,0,0.9999996224439813,0.9999999390800816,0.9999997807620189
"Climate models reflect anthropocentric views, not purely objective equations.","Climate models reflect anthropocentric views, not purely objective equations.",29371bb958,0,1,0,0,0,0,0.99999897567596,0.9999986134708335,0.9999987945733804
Coding languages are architects scripting the blueprint of digital realities.,Coding languages are architects scripting the blueprint of digital realities.,c1dec0035a,0,0,0,1,0,0,0.9999930529885442,0.9999962310285871,0.9999946420073031
Cognitive dissonance is the mind's storm clashing belief and evidence.,Cognitive dissonance is the mind's storm clashing belief and evidence.,4d2602289d,1,0,0,1,1,0,0.9999992944823713,0.9999951605466031,0.999997227512351
Common beliefs often echo the whispers of society's silent architects.,Common beliefs often echo the whispers of society's silent architects.,2f1ea1492c,1,0,0,1,1,0,0.8832858660003388,0.6885712233454813,0.7798751370031142
Communication is the dance of words between people.,Communication is the dance of words between people.,80ea2cb430,1,0,0,1,1,0,0.9992940566515278,0.9999850935148374,0.9996395153701655
"Communication is the lifeblood of society, flowing through conversations and connections.","Communication is the lifeblood of society, flowing through conversations and connections.",9d64ef0991,1,0,0,1,1,0,0.9999999138804284,0.9999998344024876,0.9999998741414572
Community values are the silent architects shaping society's edifice.,Community values are the silent architects shaping society's edifice.,aea3b17b90,1,0,0,1,1,0,0.9999999951354486,0.9999998344024819,0.999999914768962
"Computers are the wizards, transforming data spells into visible wonders.","Computers are the wizards, transforming data spells into visible wonders.",0d75f97507,0,0,0,1,1,0,0.9999999885751667,0.9999998995600231,0.9999999440675938
Computers perform calculations with incredible speed and accuracy.,Computers perform calculations with incredible speed and accuracy.,f99c7f82da,0,1,0,1,0,0,0.9999998918052573,0.9999992578442769,0.9999995748247168
Consciousness is the vibrant dance of neurons in cognitive harmony.,Consciousness is the vibrant dance of neurons in cognitive harmony.,56d9320238,0,0,0,1,1,0,0.9999999897017323,0.9999996906231368,0.9999998401624234
Consistency is the heartbeat of sustained health and vigor.,Consistency is the heartbeat of sustained health and vigor.,9b79376d43,0,0,0,1,1,0,0.999999902103508,0.9999996494300875,0.9999997757667898
Consistency is the steadfast lighthouse on health's often stormy seas.,Consistency is the steadfast lighthouse on health's often stormy seas.,ef8dd555a4,0,0,0,1,1,0,0.9999703516013317,0.9999937860204484,0.9999820687422424
Consistent exercise can help in weight management.,Consistent exercise can help in weight management.,7ec06f43d8,0,1,0,1,0,0,0.9999970171550423,0.9999987763922794,0.999997896773274
Consistent exercise can prevent chronic health conditions.,Consistent exercise can prevent chronic health conditions.,65df4144c9,0,1,0,0,0,0,0.9999990741304055,0.9999982196631217,0.9999986468966723
Consistent time management improves productivity and balance.,Consistent time management improves productivity and balance.,337f8e75d7,0,1,0,1,0,0,0.9999999078821835,0.9999996027522399,0.9999997553172001
Continental drift explains the gradual movement of Earth's continents.,Continental drift explains the gradual movement of Earth's continents.,a0d717a490,0,1,0,0,0,0,0.9999931784474411,0.9999957291962529,0.9999944538210337
Continents drift upon Earth's surface like leaves on a pond.,Continents drift upon Earth's surface like leaves on a pond.,1eb4efd4d6,0,1,0,0,0,0,0.9999992022555148,0.9999989201698567,0.9999990612126758
Continents form massive landmasses surrounded by Earth's oceans.,Continents form massive landmasses surrounded by Earth's oceans.,17e0defae3,0,1,0,0,0,0,0.9999988053650222,0.999999939080078,0.9999993722223894
Conventional wisdom paints the world with broad skepticism and inspiration.,Conventional wisdom paints the world with broad skepticism and inspiration.,758c2690b2,1,0,0,1,1,0,0.9995208364106015,0.9971633352932036,0.9983413899715107
Courage is the storm roaring in the silence of fear's hold.,Courage is the storm roaring in the silence of fear's hold.,853e28e92f,1,0,1,1,1,1,0.9726145266818692,0.9923079168088453,0.9824118763684134
"Critical thinking evaluates arguments, discerning truth from opinion.","Critical thinking evaluates arguments, discerning truth from opinion.",dbf34b9b71,1,0,0,1,1,0,0.9999999798344574,0.9999998995600289,0.9999999396972423
Cultural heritage deeply impacts artistic methods and themes.,Cultural heritage deeply impacts artistic methods and themes.,6e75a5f598,1,0,0,1,1,0,0.5926717811165385,0.9999783112527949,0.7698434430506649
Cultural myths convey deeper truths through allegories and parables.,Cultural myths convey deeper truths through allegories and parables.,247e0923e7,1,0,0,1,1,0,0.8527569742531601,0.9967862441995339,0.9219633515388592
Cultural narratives inform the significance attached to geographic landmarks.,Cultural narratives inform the significance attached to geographic landmarks.,89d0f1d904,0,0,0,1,1,0,0.9999997931522525,0.9999982196627598,0.9999990064071966
Cultural narratives shape the stories told through the arts.,Cultural narratives shape the stories told through the arts.,8550c07d69,1,0,0,1,1,0,0.9995320331083496,0.9996607849823309,0.9995964069723731
Cultural traditions guide behavior within societies.,Cultural traditions guide behavior within societies.,b44b79c1cc,1,1,0,1,0,0,0.9986346293241172,0.9932086885729009,0.9959179637673433
Cultural values create the symphony of societal harmony and discord.,Cultural values create the symphony of societal harmony and discord.,a41ae82b4e,1,0,0,1,1,0,0.999999986675897,0.9999997590570245,0.9999998728664543
Culture influences how people interpret and appreciate the arts.,Culture influences how people interpret and appreciate the arts.,99a4d13366,1,1,0,1,1,0,0.9999999179460629,0.9999996027529757,0.9999997603495069
Culture is the river shaping the landscapes of human identity.,Culture is the river shaping the landscapes of human identity.,69efa74cdc,1,0,0,1,1,0,0.9999997399730961,0.9999977140003037,0.9999987269861869
"Culture writes the script, but each generation improvises the performance.","Culture writes the script, but each generation improvises the performance.",5c738af290,1,0,0,1,1,1,0.9999997714417937,0.9999989201699442,0.9999993458057784
"Customs are the fingerprints of cultures, unique and defining.","Customs are the fingerprints of cultures, unique and defining.",d56bfa3a5f,1,0,0,1,1,0,0.9999990283719745,0.9999951605467807,0.9999970944575076
Cybersecurity protects digital information from potential threats and malicious actors.,Cybersecurity protects digital information from potential threats and malicious actors.,ec0c6d023e,0,1,0,1,0,0,0.999999872797269,0.9999998538606976,0.9999998633289832
DNA contains the genetic information essential for life.,DNA contains the genetic information essential for life.,329046f937,0,1,0,0,0,0,0.9999997868732518,0.9999998995600329,0.9999998432166407
DNA is the intricate script writing life's complex saga.,DNA is the intricate script writing life's complex saga.,20cf93a3fd,0,0,0,0,1,0,0.9999998389065677,0.9999986134708158,0.999999226188504
"DNA testing reveals ancestral connections, linking personal histories.","DNA testing reveals ancestral connections, linking personal histories.",2ed8f34def,0,1,0,0,0,0,0.9992473579683767,0.9997942417873232,0.9995207624746868
DNA writes the poetry of life with an invisible pen.,DNA writes the poetry of life with an invisible pen.,2d89c27ae4,0,0,0,0,1,0,0.9999992005438233,0.9999977140002451,0.999998457271758
"Data interpretation often mirrors researchers' inherent biases, not objectivity.","Data interpretation often mirrors researchers' inherent biases, not objectivity.",42b5c6f9aa,1,0,0,1,1,0,0.9999975375163309,0.9999929586407343,0.9999952480759119
"Data is the new gold, mined for insights rather than wealth.","Data is the new gold, mined for insights rather than wealth.",a764782adb,1,0,0,1,1,0,0.9955740566595527,0.9203243130673466,0.9572100134259328
Day and night are caused by Earth's rotation.,Day and night are caused by Earth's rotation.,2593dfcd31,0,1,0,0,0,0,0.5319191950135996,0.9971633357800922,0.7282927425597638
"Demographic shifts are the invisible tide, shaping economies without asking permission.","Demographic shifts are the invisible tide, shaping economies without asking permission.",130d14beb4,0,0,0,1,1,0,0.9999999682176054,0.9999998861866058,0.9999999272021048
"Desert sunsets are nature's fiery breath, painting silence across vast expanses.","Desert sunsets are nature's fiery breath, painting silence across vast expanses.",bcee937030,0,1,0,0,1,0,0.9998277849269418,0.9990781875160691,0.9994529159460266
"Deserts are nature's blank canvases, awaiting time's brushstrokes.","Deserts are nature's blank canvases, awaiting time's brushstrokes.",0708c36c58,0,0,0,0,1,0,0.9999999987958317,0.9999999845970319,0.9999999916964317
Deserts have low precipitation and high temperature variations daily.,Deserts have low precipitation and high temperature variations daily.,621f35191c,0,1,0,0,0,0,0.9487794116934727,0.9912882018799216,0.9698009264783739
Deserts typically have arid climates with very little precipitation.,Deserts typically have arid climates with very little precipitation.,af75eee14f,0,1,0,0,0,0,0.9999997344022176,0.9999977140020814,0.9999987242016393
Diet and exercise impact health and well-being.,Diet and exercise impact health and well-being.,6192f86647,0,1,0,0,0,0,0.7311673491436583,0.9995644602519964,0.8548970094114635
Diet is the ship steering through the fog of temptation.,Diet is the ship steering through the fog of temptation.,a01add04d2,0,0,0,1,1,0,0.9999989756759419,0.9999986134708313,0.9999987945733703
Dietary habits affect physical health and energy levels.,Dietary habits affect physical health and energy levels.,621b0e28b9,0,1,0,0,0,0,0.9999514601195478,0.9999883907968844,0.9999699252877267
Differentiation finds the rate of change of a quantity.,Differentiation finds the rate of change of a quantity.,728d24ebfd,0,1,0,0,0,0,0.9999994384310987,0.9999989201698918,0.9999991793004617
"Digestion is the alchemy, transforming food into life's sustaining fuel.","Digestion is the alchemy, transforming food into life's sustaining fuel.",dc2348bb04,0,1,0,0,0,0,0.9999614835654486,0.9997358091030499,0.9998486399671652
Digital communication alters traditional social interaction and cultural constructs.,Digital communication alters traditional social interaction and cultural constructs.,38aa1ddc39,0,1,0,1,0,0,0.9413118680231515,0.0916331900465609,0.29369271236387307
Digital interfaces bridge human experiences with technological advancements.,Digital interfaces bridge human experiences with technological advancements.,ff8f5a5af5,0,1,0,1,0,0,0.9999997053508899,0.9999974096233053,0.9999985574864388
Diplomacy is the art of weaving peace from threads of discord.,Diplomacy is the art of weaving peace from threads of discord.,701909e2fa,1,0,1,1,1,0,0.9999995278946615,0.999999871032523,0.9999996994635775
Direct statements convey clear and precise meanings.,Direct statements convey clear and precise meanings.,2d5da468f8,1,1,0,1,1,0,0.9999628386499932,0.9999883907962196,0.9999756146414904
Drinking water helps maintain proper hydration levels.,Drinking water helps maintain proper hydration levels.,e5b944b7fc,0,1,0,0,0,0,0.9999999999999568,0.9999982196613578,0.9999991098302611
"Drones are the eyes in the sky, surveying the world with ease.","Drones are the eyes in the sky, surveying the world with ease.",2b67800f58,0,0,0,0,0,0,0.9966462896684571,0.8988613125254767,0.9464918341195744
E=mc² describes how mass and energy are interchangeable.,E=mc² describes how mass and energy are interchangeable.,a5e6c4f86d,0,1,0,0,0,0,0.9992427076854501,0.9923076458575615,0.9957691393609688
Earth's poles experience extreme cold and long periods without sunlight.,Earth's poles experience extreme cold and long periods without sunlight.,49993920f8,0,1,0,0,0,0,0.9998615488905128,0.9994407899367982,0.9996511472761709
Earthquakes occur along fault lines due to tectonic plate movements.,Earthquakes occur along fault lines due to tectonic plate movements.,2ec2a0af4a,0,1,0,0,0,0,0.9999997186530617,0.999998219662762,0.999998969157631
"Economic laws work unbidden, like wind shaping the contours of supply and demand.","Economic laws work unbidden, like wind shaping the contours of supply and demand.",da6419e05c,0,0,0,1,1,0,0.9993486217015133,0.9997668486518679,0.9995577133027935
