statement,drop,length,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Gentle waves kissed the shore.,,30,Gentle waves kissed the shore.,67ba2e9b18,0,1,0,0,1,0,0.992131849258072,0.965983034818753,0.978970139834027
Romania's Carpathian Mountains are mystical.,,44,Romania's Carpathian Mountains are mystical.,7dc0a5b0d0,0,1,0,0,1,0,0.994197830544337,0.976495497813132,0.985306909273516
Chile's Atacama Desert is otherworldly.,,39,Chile's Atacama Desert is otherworldly.,fff6caab77,0,1,0,0,1,0,0.999780972138587,0.999078186035845,0.999429517313439
China's Yangtze River is mighty.,,32,China's Yangtze River is mighty.,fd9f694bb6,0,1,0,0,1,0,0.999956447741195,0.999766848640361,0.999861643696679
Galileo's telescope brought cosmic revelations.,,47,Galileo's telescope brought cosmic revelations.,64efb1e1e1,0,1,0,0,1,0,0.999978261,0.99998975491065,0.999984007964632
Japan's cherry blossoms are spectacular.,,40,Japan's cherry blossoms are spectacular.,3361df479e,0,1,0,0,1,0,0.999996157150165,0.999980859717476,0.999988508404569
Kenya's savannas teem with wildlife.,,36,Kenya's savannas teem with wildlife.,6e0caf328b,0,1,0,0,1,0,0.999997335924976,0.999988391,0.999992863345775
Norway’s Northern Lights are mesmerizing.,,41,Norway’s Northern Lights are mesmerizing.,7b208206d9,0,1,0,0,1,0,0.999997745,0.999989754901217,0.99999374975302
India's Himalayas are a trekker's dream.,,40,India's Himalayas are a trekker's dream.,72a9da31e7,0,1,0,0,1,0,0.999995226786448,0.999994516182041,0.999994871484182
Mount Everest attracts adventurers.,,35,Mount Everest attracts adventurers.,d49b78e3f7,0,1,0,0,1,0,0.999999786873241,0.999999047053216,0.99999941696316
Recycle to protect the planet.,,30,Recycle to protect the planet.,9ac9ed5d81,0,1,0,0,1,0,0.999999516143515,0.999999345049885,0.999999430596696
Arbor Day celebrates tree planting.,,35,Arbor Day celebrates tree planting.,7f1eb60f93,0,1,0,0,1,0,0.999999267784676,0.999999602752251,0.999999435268449
Russia's Siberian wilderness is immense.,,40,Russia's Siberian wilderness is immense.,1ae8370f0b,0,1,0,0,1,0,0.999999850995684,0.999999258,0.999999554419582
Alaska offers stunning natural beauty.,,38,Alaska offers stunning natural beauty.,1a438ad68f,0,1,0,0,1,0,0.999999991979708,0.999999759057021,0.999999876
Figurative art represents human forms.,,38,Figurative art represents human forms.,cf5d4c81b1,0,1,0,1,0,0,0.974726371277088,0.169389888580803,0.406335811155498
The light bulb was invented by Thomas Edison.,,45,The light bulb was invented by Thomas Edison.,ea6968acaa,0,1,0,1,0,0,0.962934175416542,0.856265165227818,0.908034685910488
Handwriting improves memory.,,28,Handwriting improves memory.,1dd22eff6e,0,1,0,1,0,0,0.995548868142971,0.999366355763666,0.99745578565703
3D printing revolutionizes manufacturing processes.,,51,3D printing revolutionizes manufacturing processes.,c94d87d2b2,0,1,0,1,0,0,0.999303338,0.999947972153919,0.999625603
Graphic novels tell extended stories.,,37,Graphic novels tell extended stories.,5ff2d30825,0,1,0,1,0,0,0.999994777359266,0.999933195492468,0.999963985951809
Predictive models anticipate trends.,,36,Predictive models anticipate trends.,3face4cf74,0,1,0,1,0,0,0.999998307557416,0.999988390803986,0.999993349168409
Cloud computing enables collaboration.,,38,Cloud computing enables collaboration.,abb4eeb75a,0,1,0,1,0,0,0.999998836800141,0.999996673890935,0.999997755344953
Exercise enhances mood.,,23,Exercise enhances mood.,dff1fca7cd,0,1,0,1,0,0,0.999999999999514,0.999997714002348,0.999998857
Practicing tai chi promotes balance.,,36,Practicing tai chi promotes balance.,7575d84521,0,1,0,1,0,0,0.999999221493874,0.999999345049849,0.999999283271859
Organizing files saves time.,,28,Organizing files saves time.,eb07ff912d,0,1,0,1,0,0,0.999999796950908,0.999999159027277,0.999999477989042
Technology drives modern communication.,,39,Technology drives modern communication.,505612080f,0,1,0,1,0,0,0.999999915737843,0.999999422008497,0.999999668873139
Social dancing combines exercise and socialization.,,51,Social dancing combines exercise and socialization.,5fff4b5ef5,0,1,0,1,0,0,0.999999975813628,0.999999690623098,0.999999833
Regular check-ups are important.,,32,Regular check-ups are important.,0f4f48a71f,0,1,0,1,0,0,0.999999971156398,0.999999871032522,0.999999921094458
Electricity powers modern technology.,,37,Electricity powers modern technology.,e53dfe61d7,0,1,0,1,0,0,0.9999999956743,0.999999921777274,0.999999959
Dictionaries are useful for word meanings.,,42,Dictionaries are useful for word meanings.,98d71c9751,0,1,0,1,0,0,0.999999990506218,0.99999999610552,0.999999993
The mountains stood as silent guardians.,,40,The mountains stood as silent guardians.,a84b174ea0,0,1,0,1,1,0,0.968790477216116,6.2172489379008806e-15,7.76093523070537e-08
A watched pot never boils.,,26,A watched pot never boils.,8ee0c858a7,0,1,0,1,1,0,0.935128877425282,0.956535061269476,0.945771409
Fresh sheets promise restful sleep.,,35,Fresh sheets promise restful sleep.,3ffb0e5456,0,1,0,1,1,0,0.999095911482176,0.996359116985719,0.997726575845518
Picasso's Blue Period conveys deep emotion.,,43,Picasso's Blue Period conveys deep emotion.,d22e6946bd,0,1,0,1,1,0,0.999926374815522,0.999660784943458,0.999793571060422
Impressionism captures light and movement.,,42,Impressionism captures light and movement.,cd75d44a36,0,1,0,1,1,0,0.999972943459217,0.999947972206575,0.999960457754948
Singing releases stress.,,24,Singing releases stress.,d41cfe2b67,0,1,0,1,1,0,0.99999121569667,0.999983108764951,0.999987162222595
Cleaning clutter clears the mind.,,33,Cleaning clutter clears the mind.,18e77ca79e,0,1,0,1,1,0,0.999999999998434,0.999993786021018,0.999996893004899
Ancient artifacts tell historical stories.,,42,Ancient artifacts tell historical stories.,cea9169377,0,1,0,1,1,0,0.999999312970604,0.99999667389363,0.999997993431246
Playing trivia games stimulates the mind.,,41,Playing trivia games stimulates the mind.,ec3fdc040c,0,1,0,1,1,0,0.999999770951912,0.999998428858008,0.999999099904735
A tidy space invites calm.,,26,A tidy space invites calm.,b9f7858d23,0,1,0,1,1,0,0.999999904341165,0.999998776392308,0.999999340366577
Digital innovations transform businesses.,,41,Digital innovations transform businesses.,dfaa32fe98,0,1,0,1,1,0,0.999999926996223,0.999999257844282,0.999999592420196
The California Gold Rush attracted global attention.,,52,The California Gold Rush attracted global attention.,fce76e1275,0,1,0,1,1,0,0.999999857561415,0.999999489923762,0.999999673742572
Leonardo da Vinci painted the Mona Lisa.,,40,Leonardo da Vinci painted the Mona Lisa.,5f6997107b,0,1,0,1,1,0,0.99999984291446,0.999999787368601,0.999999815
Fair weather friends are unreliable.,,36,Fair weather friends are unreliable.,0397b0a48c,0,1,0,1,1,0,0.999999894640553,0.999999911362036,0.999999903001295
Well-known landmarks foster tourism.,,36,Well-known landmarks foster tourism.,53b6b537bf,0,1,0,1,1,0,1.0,0.999999921777271,0.999999960888616
Faith guides our moral compass.,,31,Faith guides our moral compass.,f7a42dcde8,1,0,0,1,1,0,0.70641135778237,0.169389903890433,0.345917550872843
Collective wisdom drives crowdsourcing.,,39,Collective wisdom drives crowdsourcing.,00d640ebc8,1,0,0,1,1,0,0.904830092127703,0.999282017944438,0.950884030972349
Faith can move mountains.,,25,Faith can move mountains.,11b107fde3,1,0,0,1,1,0,0.99628106054234,0.979228515752718,0.987717988186617
walking on eggshells; being overly cautious.,,44,walking on eggshells; being overly cautious.,fdaa1be572,1,0,0,1,1,0,0.9998222481454,0.996786246,0.998303093112198
Faith in times of uncertainty.,,30,Faith in times of uncertainty.,9d32b946d5,1,0,0,1,1,0,0.999844760615633,0.99990280141523,0.999873780594287
Ethical dilemmas challenge moral clarity.,,41,Ethical dilemmas challenge moral clarity.,24163d233e,1,0,0,1,1,0,0.999915535752464,0.999998613470805,0.999957073748859
Collaborating harmonizes diverse ideas.,,39,Collaborating harmonizes diverse ideas.,76dd22f2cb,1,0,0,1,1,0,0.99999683226141,0.999972151194538,0.999984491651828
The Storming of the Bastille was revolutionary.,,47,The Storming of the Bastille was revolutionary.,d10cc576c7,1,0,0,1,1,0,0.999994105452824,0.999995729,0.999994917322379
Slow and steady wins the race.,,30,Slow and steady wins the race.,fb0be48404,1,0,0,1,1,0,0.999999656367681,0.999993786021053,0.999996721
Patience yields positive results.,,33,Patience yields positive results.,e1b03a8fc3,1,0,0,1,1,0,0.999999659390381,0.999997983,0.999998821000984
Prevention is better than cure.,,31,Prevention is better than cure.,b831f4e439,1,0,0,1,1,0,0.999999824873202,0.99999892,0.999999372521418
Love and kindness transcend boundaries.,,39,Love and kindness transcend boundaries.,53faf70d89,1,0,0,1,1,0,0.999999608188017,0.999999549859314,0.999999579023665
Facts help understand realities.,,32,Facts help understand realities.,26ce3d7670,1,0,0,1,1,0,0.999999882716947,0.999999726976358,0.999999804846649
Diverse backgrounds enrich discussions.,,39,Diverse backgrounds enrich discussions.,05c52664ca,1,0,0,1,1,0,0.999999973,0.999999921777272,0.999999947210657
Parables often teach moral lessons.,,35,Parables often teach moral lessons.,5b89d146f7,1,0,0,1,1,0,0.99999998776898,0.999999988004156,0.999999987886568
Curiosity killed the cat.,,25,Curiosity killed the cat.,c29057ce49,1,0,0,1,1,1,0.68235135702491,0.128419991,0.296019517629474
Understanding precedes ethical action.,,38,Understanding precedes ethical action.,e632ca596e,1,0,0,1,1,1,0.920121058266596,0.688571131,0.79597035
Manners maketh man.,,19,Manners maketh man.,b0e08e3fdf,1,0,0,1,1,1,0.817619904621776,0.999818417029931,0.904141271467632
"Finders keepers, losers weepers.",,32,"Finders keepers, losers weepers.",7617c41132,1,0,0,1,1,1,0.997757884202284,0.99907818599856,0.998417816855538
Fortune favors the bold.,,24,Fortune favors the bold.,6dfb7a73b0,1,0,0,1,1,1,0.999804849590186,0.999078186,0.999441451736787
"No pain, no gain.",,17,"No pain, no gain.",038ba609c5,1,0,0,1,1,1,0.999984699221762,0.999914222073145,0.999949460026544
Absence makes the heart grow fonder.,,36,Absence makes the heart grow fonder.,6e80137a14,1,0,0,1,1,1,0.999997776192245,0.999989754900598,0.999993765538379
Analysis of facts informs strategy.,,35,Analysis of facts informs strategy.,295bdf7ff5,1,0,0,1,1,1,0.999999028371956,0.99999516054669,0.999997094457453
Knowledge dispels ignorance.,,28,Knowledge dispels ignorance.,ecf5f455af,1,0,0,1,1,1,0.999999110914981,0.999996231032059,0.999997670972483
Validation enhances self-worth.,,31,Validation enhances self-worth.,07219d58b6,1,0,0,1,1,1,0.999998716460361,0.999998920169955,0.999998818315153
Grasping at straws means making a desperate attempt.,,52,Grasping at straws means making a desperate attempt.,31376a2dc8,1,0,0,1,1,1,0.999999541035417,0.99999955,0.999999545447365
Good manners open doors.,,24,Good manners open doors.,9431c28920,1,0,0,1,1,1,0.999999942211453,0.999999690623112,0.999999816417275
Uplifting others builds morale.,,31,Uplifting others builds morale.,25e59bd6d7,1,0,0,1,1,1,0.999999942087351,0.9999998344028,0.999999888245074
Educated guesses help make predictions.,,39,Educated guesses help make predictions.,f4ef925dc0,1,0,0,1,1,1,0.9999998763318,0.999999984597032,0.999999930464415
Leading by example fosters trust.,,33,Leading by example fosters trust.,8e1fa9a2a4,1,0,0,1,1,1,0.999999987976198,0.999999994333565,0.999999991154882
Inductive reasoning derives general principles.,,47,Inductive reasoning derives general principles.,bf515f7d31,1,1,0,1,0,0,0.592806240454103,0.999440790347923,0.769723805973694
Shintoism involves purification rituals.,,40,Shintoism involves purification rituals.,9cc06bf321,1,1,0,1,0,0,0.867036870940477,0.999995729196402,0.931146158235263
Methodologies standardize procedures.,,37,Methodologies standardize procedures.,c13c52e10c,1,1,0,1,0,0,0.982026803209467,0.99994797215584,0.990946875706256
The Magna Carta established legal principles.,,45,The Magna Carta established legal principles.,23cd4bf559,1,1,0,1,0,0,0.995403444030233,0.99994797220905,0.997673120509887
The French Revolution began in 1789.,,36,The French Revolution began in 1789.,d63f2340e8,1,1,0,1,0,0,0.999775637757204,0.999975423469408,0.999875525623394
Logical statements can be true or false.,,40,Logical statements can be true or false.,dc297e2315,1,1,0,1,0,0,0.999999073001323,0.999968443256738,0.999983758011756
Structured frameworks guide learning.,,37,Structured frameworks guide learning.,61db23d076,1,1,0,1,0,0,0.999999999997936,0.999992021112413,0.999996010547217
Judaism observes the Sabbath weekly.,,36,Judaism observes the Sabbath weekly.,92e164d588,1,1,0,1,0,0,0.999996361007129,0.999999649430087,0.999998005217256
Mindfulness eases anxiety.,,26,Mindfulness eases anxiety.,88086d2279,1,1,0,1,0,0,0.999999888438807,0.999997982612252,0.999998935525076
Structure in arguments aids comprehension.,,42,Structure in arguments aids comprehension.,d2f4824948,1,1,0,1,0,0,0.999999594965245,0.999999602752233,0.999999598858739
Polytheism worships multiple deities.,,37,Polytheism worships multiple deities.,a489e41c08,1,1,0,1,0,0,0.99999964255768,0.999999649430068,0.999999646
Monastic orders follow strict rules.,,36,Monastic orders follow strict rules.,c68489be8a,1,1,0,1,0,0,0.999999883174085,0.999999812353427,0.999999847763755
The Hajj is a pilgrimage to Mecca.,,34,The Hajj is a pilgrimage to Mecca.,91613eab18,1,1,0,1,0,0,0.999999821655174,0.999999971223465,0.999999896439317
Practicing instruments prepares for performances.,,49,Practicing instruments prepares for performances.,6495fa6645,1,1,0,1,0,0,0.999999928258559,0.999999978,0.999999952923686
Textbooks are used for education in schools.,,44,Textbooks are used for education in schools.,0c130305dd,1,1,0,1,0,0,0.999999998018341,0.999999994333565,0.999999996175953
Denmark's design is top-notch.,,30,Denmark's design is top-notch.,2693695b7a,1,1,0,1,1,0,0.595349612764787,3.6859404417555203e-14,1.48135857059431e-07
Happiness depends on ourselves.,,31,Happiness depends on ourselves.,3263e89251,1,1,0,1,1,0,0.993885131086237,0.985677261,0.989772687759971
AI ethics address bias concerns.,,32,AI ethics address bias concerns.,a820cf67f6,1,1,0,1,1,0,0.999563585998146,0.999794241809194,0.999678907251271
Thorough analysis generates solutions.,,38,Thorough analysis generates solutions.,c3e48a62e3,1,1,0,1,1,0,0.999935283760963,0.999959480461346,0.999947382037965
Socrates' method involves asking probing questions.,,51,Socrates' method involves asking probing questions.,4495c45e12,1,1,0,1,1,0,0.999978860963204,0.999998776392296,0.999988818628171
Cartoons often blend humor and insight.,,39,Cartoons often blend humor and insight.,cfc959bdbf,1,1,0,1,1,0,0.999994094066693,0.999999047053184,0.999996570556872
Patience pays off.,,18,Patience pays off.,73b4a0a933,1,1,0,1,1,0,0.999999334435202,0.999997065,0.999998199576358
Art stimulates the mind.,,24,Art stimulates the mind.,17b9fa2ee0,1,1,0,1,1,0,0.999998976,0.999998613470834,0.99999879457338
Gathering spaces fortify community.,,35,Gathering spaces fortify community.,e2fdc2b517,1,1,0,1,1,0,0.999999801554835,0.999998776392138,0.999999289
Cooking teaches patience.,,25,Cooking teaches patience.,9f832180c3,1,1,0,1,1,0,0.999999797865767,0.999999422008563,0.999999609937147
Sharing strengthens community ties.,,35,Sharing strengthens community ties.,d30bde1700,1,1,0,1,1,0,0.999999900905227,0.999999549859314,0.999999725382255
Dance expresses human emotion.,,30,Dance expresses human emotion.,91c976dac7,1,1,0,1,1,0,0.999999818210162,0.999999886186604,0.999999852198383
Team sports build camaraderie.,,30,Team sports build camaraderie.,87b31d37f5,1,1,0,1,1,0,0.999999920243925,0.999999921777269,0.999999921010597
Reading inspires imagination.,,29,Reading inspires imagination.,e91bd15f02,1,1,0,1,1,0,0.999999999999999,0.999999921777273,0.999999960888636
Novels can offer social commentary.,,35,Novels can offer social commentary.,4157971cc8,1,1,0,1,1,0,0.999999991137826,0.999999993579087,0.999999992358456
Planning sequences actions.,,27,Planning sequences actions.,b7e9eb32b9,1,1,0,1,1,1,0.979112853629789,0.355661577969649,0.590112551
Clear arguments gain agreement.,,31,Clear arguments gain agreement.,17e8a0c644,1,1,0,1,1,1,0.994292363350418,0.976495509378434,0.985353757703777
"Once bitten, twice shy.",,23,"Once bitten, twice shy.",f6267224da,1,1,0,1,1,1,0.999998380963261,0.99998975490093,0.999994067922794
Beggars can't be choosers.,,26,Beggars can't be choosers.,59ad9d58bb,1,1,0,1,1,1,0.999999028371975,0.999995160546781,0.999997094457508
Prompt responses show consideration.,,36,Prompt responses show consideration.,f600c1431c,1,1,0,1,1,1,0.999999856753133,0.999997982612388,0.99999892
A pat on the back boosts morale.,,32,A pat on the back boosts morale.,26daa60cab,1,1,0,1,1,1,0.999999658308088,0.999998776392268,0.999999217350081
Laughing lightens the load.,,27,Laughing lightens the load.,b07e56f6d2,1,1,0,1,1,1,0.999999476422357,0.999999159027434,0.999999317724883
Responding promptly is courteous.,,33,Responding promptly is courteous.,622508895,1,1,0,1,1,1,0.999999654125628,0.999999812353416,0.999999733239519
Encouragement fuels motivation.,,31,Encouragement fuels motivation.,44a7d8164b,1,1,0,1,1,1,0.999999915737732,0.9999997590575,0.999999837
Comforting words ease difficult emotions.,,41,Comforting words ease difficult emotions.,dcea0c474f,1,1,0,1,1,1,0.999999933,0.999999759057041,0.999999845886916
Responsible pet ownership enhances animal welfare.,,50,Responsible pet ownership enhances animal welfare.,fc6790150e,1,1,0,1,1,1,0.99999996092368,0.999999759057482,0.99999986
Offering praise boosts morale.,,30,Offering praise boosts morale.,c49132fc41,1,1,0,1,1,1,0.999999996656698,0.999999886186818,0.999999941421756
Honesty breeds trust.,,21,Honesty breeds trust.,fe8892fbb7,1,1,0,1,1,1,0.999999997396191,0.999999921777276,0.999999959586733
Volunteering builds community.,,30,Volunteering builds community.,12e0e427d8,1,1,0,1,1,1,0.999999959437156,0.999999974604796,0.999999967020976
Encouragement builds confidence.,,32,Encouragement builds confidence.,7b0124de05,1,1,0,1,1,1,0.999999998662885,0.999999991755385,0.999999995209135
