statement,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Abstract art challenges traditional perceptions.,Abstract art challenges traditional perceptions.,826569bf2a,1,0,0,1,1,0,0.9999985712043111,0.9999909587292036,0.9999947649595136
Abstract sculpture evokes unique interpretations.,Abstract sculpture evokes unique interpretations.,c2360dcc54,0,1,0,1,1,0,0.9999797597736446,0.9997942419985819,0.9998869965835214
Accurate measurements ensure reliability.,Accurate measurements ensure reliability.,41bcf670ab,0,1,0,1,0,0,0.9999998293543305,0.9999989201697972,0.9999993747619605
Act with kindness.,Act with kindness.,0d97cd0df5,1,1,0,1,1,0,0.9999996947671935,0.9999998344024987,0.9999997645848436
Actions have consequences.,Actions have consequences.,40584476a4,1,0,0,1,1,0,0.9999999974507742,0.9999999673919093,0.9999999824213417
Actions speak louder than words.,Actions speak louder than words.,36524cf758,1,0,0,1,1,1,0.9999999026947918,0.9999995498592962,0.9999997262770285
Active lifestyles reduce health risks.,Active lifestyles reduce health risks.,a3a22d9700,0,1,0,0,0,0,0.9999998385979988,0.9999993450497293,0.9999995918238336
Adaptive behaviors enhance social adaptability.,Adaptive behaviors enhance social adaptability.,88144d615f,1,1,0,1,0,1,0.8670547532860665,0.999924300839891,0.9311225042761421
Addition combines quantities.,Addition combines quantities.,e3894a2037,0,1,0,0,0,0,0.9999995278122022,0.9999977140023194,0.9999986209068497
Adequate rest aids recovery.,Adequate rest aids recovery.,2710a3cd29,0,1,0,1,0,0,0.999999942087539,0.9999998344027812,0.9999998882451586
Adhering to deadlines shows responsibility.,Adhering to deadlines shows responsibility.,f93508fb06,1,1,0,1,1,1,0.999999997049499,0.9999999113620379,0.9999999542057676
Admitting fault shows maturity.,Admitting fault shows maturity.,4ecdeb54d1,1,1,0,1,1,1,0.9999988122957775,0.9999951605510027,0.9999969864217232
Advances in medicine extend human life.,Advances in medicine extend human life.,ed16e74920,0,1,0,0,0,0,0.9999999790840132,0.999999871032523,0.9999999250582666
Advocacy supports social change.,Advocacy supports social change.,be7cf94a72,1,1,0,1,1,0,0.9999988915875582,0.9999982196614204,0.9999985556244328
Against the clock.,Against the clock.,56f6ca1f13,0,1,0,1,1,0,0.9995531950701239,0.997496237800165,0.9985241867694458
Agnosticism questions the existence of deities.,Agnosticism questions the existence of deities.,e74df510ea,1,1,0,1,1,0,0.9983692255853719,0.992307925035645,0.9953339613717921
Alaska offers stunning natural beauty.,Alaska offers stunning natural beauty.,1a438ad68f,0,1,0,0,1,0,0.9999999919797082,0.9999997590570214,0.999999875518358
Alaska's glaciers are awe-inspiring.,Alaska's glaciers are awe-inspiring.,fcb297d62e,0,1,0,0,1,0,0.9999999022917817,0.9999991590265848,0.9999995306591142
Albania's coast is untouched.,Albania's coast is untouched.,8a06ae4089,0,1,0,0,0,0,0.9995522073538713,0.9980495266536521,0.9988005844086919
Albert Einstein formulated E=mc^2.,Albert Einstein formulated E=mc^2.,72873b9960,0,1,0,0,0,0,0.9999999473022225,0.9999992578442547,0.9999996025731792
Alfred Nobel invented dynamite.,Alfred Nobel invented dynamite.,b932531a57,0,1,0,0,0,0,0.9999989495419572,0.9999951605465316,0.9999970550424498
Algebra is foundational for advanced math.,Algebra is foundational for advanced math.,9221144afe,0,1,0,1,0,0,0.9999987164602887,0.9999989201707626,0.9999988183155205
Algorithmic logic drives computations.,Algorithmic logic drives computations.,482e7c5f4a,0,1,0,1,0,0,0.6513793328495097,0.9999028014594614,0.8070415229274264
All roads lead to Rome.,All roads lead to Rome.,fdc55e027e,0,0,0,1,1,0,0.99995644774863,0.9999410449552651,0.9999487463222902
Almanacs are annual publications with various statistics.,Almanacs are annual publications with various statistics.,7dfbc7455b,0,1,0,0,0,0,0.9999999328461947,0.9999994220079476,0.9999996774270385
Almanacs provide seasonal weather forecasts.,Almanacs provide seasonal weather forecasts.,a3b94bc818,0,1,0,0,0,0,0.999469858305711,0.9992820178378164,0.9993759336585044
Always return borrowed items.,Always return borrowed items.,5959809f87,1,1,0,1,0,1,0.9999998311561925,0.9999991590274365,0.999999495091758
An arm and a leg.,An arm and a leg.,9ac43db081,0,0,0,1,0,0,0.9825016385703269,0.9980495266679671,0.9902450683167359
"An equivalence relation is reflexive, symmetric, and transitive.","An equivalence relation is reflexive, symmetric, and transitive.",a0a13610b2,0,1,0,0,0,0,0.9997735468625821,0.9986590500839934,0.9992161430886168
Analysis of facts informs strategy.,Analysis of facts informs strategy.,295bdf7ff5,1,0,0,1,1,1,0.9999990283719561,0.9999951605466897,0.9999970944574529
Analytical approaches identify root causes.,Analytical approaches identify root causes.,1f4543406e,0,1,0,0,0,0,0.9999693160221284,0.9989555122103709,0.9994622855723669
Analytical reviews enhance processes.,Analytical reviews enhance processes.,b21b39537b,0,1,0,1,0,0,0.5623164072031462,0.9994407899686998,0.7496678959562518
Ancient Greek tragedies influenced modern drama.,Ancient Greek tragedies influenced modern drama.,dfe82e6958,1,1,0,1,1,0,0.9999999999991335,0.9999957292001267,0.9999978645973501
Ancient artifacts tell historical stories.,Ancient artifacts tell historical stories.,cea9169377,0,1,0,1,1,0,0.9999993129706037,0.9999966738936301,0.9999979934312464
Ancient civilizations left lasting legacies.,Ancient civilizations left lasting legacies.,9b8393236a,1,0,0,1,1,0,0.9999998831740552,0.9999993450497466,0.9999996141118647
Animation combines art and technology.,Animation combines art and technology.,e09375328e,0,1,0,1,1,0,0.9999995832952914,0.9999996494301017,0.999999616362696
Antarctica is a frozen wonderland.,Antarctica is a frozen wonderland.,8436cc35f7,0,1,0,0,0,0,0.9999787437828108,0.9996156272103817,0.999797169011547
Antarctica is covered in ice.,Antarctica is covered in ice.,2c40fb65ac,0,1,0,0,0,0,0.9999999952374213,0.9999999581303891,0.9999999766839051
Antioxidants in fruits protect cells from damage.,Antioxidants in fruits protect cells from damage.,c60e197162,0,1,0,0,0,0,0.9999945896574782,0.9999970647184032,0.999995827187175
Apologizing can heal strained relations.,Apologizing can heal strained relations.,07a8142c6e,1,1,0,1,1,1,0.9999999609236899,0.9999997590574669,0.9999998599905733
Apologizing can restore harmony.,Apologizing can restore harmony.,01223360d1,1,0,0,1,1,1,0.999999135100608,0.9999996906231097,0.9999994128618203
Apologizing restorers harmony.,Apologizing restorers harmony.,e927806416,1,1,0,1,1,1,0.9709489688830728,0.8861879410835367,0.9276008126514731
Apologizing restores relationships.,Apologizing restores relationships.,2a17a506d2,1,1,0,1,1,1,0.9862320856992931,0.9445356862246913,0.9651587433385196
Apples are a healthy snack.,Apples are a healthy snack.,4f7002eb76,0,1,0,1,0,0,0.9999999733609269,0.9999998710325256,0.999999922196725
Apples grow on trees.,Apples grow on trees.,3a747a0c0e,0,1,0,0,0,0,0.9999999999999998,0.9999999309686868,0.9999999654843427
Applying cold packs reduces swelling.,Applying cold packs reduces swelling.,7294a2744e,0,1,0,0,0,0,0.999998190810643,0.9999992578442582,0.9999987243273083
Appreciate small joys.,Appreciate small joys.,8bfc506904,1,1,0,1,1,0,0.9999999856246663,0.9999999113620344,0.9999999484933496
Appreciating beauty enhances life.,Appreciating beauty enhances life.,a0c4437950,1,1,0,1,1,0,0.9999987390922571,0.9999970647218138,0.999997901906685
Arbor Day celebrates tree planting.,Arbor Day celebrates tree planting.,7f1eb60f93,0,1,0,0,1,0,0.9999992677846761,0.9999996027522505,0.9999994352684493
Architectural design impacts habitat and aesthetics.,Architectural design impacts habitat and aesthetics.,869f9ce82e,0,1,0,0,0,0,0.9999998937798883,0.9999993450498932,0.9999996194148532
Architecture shapes our built environment.,Architecture shapes our built environment.,1ae62a08b2,0,0,0,1,1,0,0.9999967397088855,0.9999998861865983,0.9999983129465043
Argentina's Pampas are vast grasslands.,Argentina's Pampas are vast grasslands.,dc7684d5ee,0,1,0,0,0,0,0.9998582652532295,0.9999331954389351,0.9998957296441925
Aristotle was a student of Plato.,Aristotle was a student of Plato.,08ee57b64a,1,1,0,1,1,0,0.9998918370236749,0.9999970647186897,0.9999444494869969
"Aristotle’s ""golden mean"" suggests virtue in moderation.","Aristotle’s ""golden mean"" suggests virtue in moderation.",e2aed28316,1,0,0,1,1,0,0.9999184777997072,0.9999868450548932,0.9999526608430124
Arithmetic sequences have a constant difference.,Arithmetic sequences have a constant difference.,9e3701687e,0,1,0,0,0,0,0.9859364720507797,0.9999996027522421,0.9929431405623017
Art fosters emotional expression.,Art fosters emotional expression.,3c21242b3c,1,1,0,1,1,0,0.99999998880448,0.9999999309686881,0.9999999598865836
Art reflects cultural values.,Art reflects cultural values.,d09c05a903,1,1,0,1,1,0,0.9999996224439813,0.9999999390800816,0.9999997807620189
Art stimulates the mind.,Art stimulates the mind.,17b9fa2ee0,1,1,0,1,1,0,0.99999897567596,0.9999986134708335,0.9999987945733804
Artificial intelligence personalizes user experiences.,Artificial intelligence personalizes user experiences.,f4777788f6,0,1,0,1,0,0,0.9999930529885442,0.9999962310285871,0.9999946420073031
Artificial intelligence transforms industries.,Artificial intelligence transforms industries.,a508e25ec7,0,0,0,1,1,0,0.9999992944823713,0.9999951605466031,0.999997227512351
As cool as a cucumber.,As cool as a cucumber.,3166c724b4,0,1,0,1,1,0,0.8832858660003388,0.6885712233454813,0.7798751370031142
Asceticism involves self-discipline and abstention.,Asceticism involves self-discipline and abstention.,24605e7c1a,1,1,0,1,1,0,0.9992940566515278,0.9999850935148374,0.9996395153701655
Assertive communication conveys confidence.,Assertive communication conveys confidence.,f8766b0314,1,1,0,1,1,1,0.9999999138804284,0.9999998344024876,0.9999998741414572
Astronomy studies celestial objects and phenomena.,Astronomy studies celestial objects and phenomena.,195ecb5ac9,0,1,0,0,0,0,0.9999999951354486,0.9999998344024819,0.999999914768962
Atheism rejects belief in deities.,Atheism rejects belief in deities.,a47e4ef4d0,1,1,0,1,1,0,0.9999999885751667,0.9999998995600231,0.9999999440675938
Athena is a deity in Greek mythology.,Athena is a deity in Greek mythology.,435993e746,0,1,0,1,0,0,0.9999998918052573,0.9999992578442769,0.9999995748247168
Atlas maps display geographical features.,Atlas maps display geographical features.,43043784b9,0,1,0,0,0,0,0.9999999897017323,0.9999996906231368,0.9999998401624234
Atlases contain maps of the world.,Atlases contain maps of the world.,dc8ad1b980,0,1,0,0,0,0,0.999999902103508,0.9999996494300875,0.9999997757667898
Atoms make up everything.,Atoms make up everything.,b05a26f9c4,0,1,0,0,0,0,0.9999703516013317,0.9999937860204484,0.9999820687422424
Attending film festivals broadens cinematic appreciation.,Attending film festivals broadens cinematic appreciation.,1de875a651,1,1,0,1,1,0,0.9999970171550423,0.9999987763922794,0.999997896773274
Automation requires ethical considerations.,Automation requires ethical considerations.,0fd6688082,1,0,0,1,0,0,0.9999990741304055,0.9999982196631217,0.9999986468966723
Automobiles revolutionized transportation.,Automobiles revolutionized transportation.,75c47f3af1,0,1,0,0,0,0,0.9999999078821835,0.9999996027522399,0.9999997553172001
Autonomous robots assist in manufacturing.,Autonomous robots assist in manufacturing.,334cf883e3,0,1,0,0,0,0,0.9999931784474411,0.9999957291962529,0.9999944538210337
Autonomous vehicles require robust sensors.,Autonomous vehicles require robust sensors.,debcdddd4c,0,1,0,0,0,0,0.9999992022555148,0.9999989201698567,0.9999990612126758
Bacteria can be killed by antibiotics.,Bacteria can be killed by antibiotics.,0421c60a62,0,1,0,0,0,0,0.9999988053650222,0.999999939080078,0.9999993722223894
Baking fills the house with warmth.,Baking fills the house with warmth.,6a61b1025e,0,1,0,1,0,0,0.9995208364106015,0.9971633352932036,0.9983413899715107
Baking is like therapy.,Baking is like therapy.,d467ed3737,0,1,0,1,1,0,0.9726145266818692,0.9923079168088453,0.9824118763684134
Ballet requires both skill and grace.,Ballet requires both skill and grace.,8c0bd16101,1,1,0,1,1,0,0.9999999798344574,0.9999998995600289,0.9999999396972423
Bayesian logic updates probabilities with new evidence.,Bayesian logic updates probabilities with new evidence.,5b92424f25,0,1,0,1,0,0,0.5926717811165385,0.9999783112527949,0.7698434430506649
Beachcombing finds hidden treasures.,Beachcombing finds hidden treasures.,bc35bc8495,0,1,0,1,1,0,0.8527569742531601,0.9967862441995339,0.9219633515388592
Beaches have waves.,Beaches have waves.,8a9ae94de6,0,1,0,0,0,0,0.9999997931522525,0.9999982196627598,0.9999990064071966
Beat around the bush.,Beat around the bush.,0478cd1f0c,1,0,0,1,1,0,0.9995320331083496,0.9996607849823309,0.9995964069723731
Beauty is skin deep.,Beauty is skin deep.,38a6db596d,0,1,0,1,1,0,0.9986346293241172,0.9932086885729009,0.9959179637673433
"Bees pollinate plants, supporting ecosystems.","Bees pollinate plants, supporting ecosystems.",4e45961558,0,1,0,0,0,0,0.999999986675897,0.9999997590570245,0.9999998728664543
Bees produce honey.,Bees produce honey.,0337e40834,0,1,0,0,0,0,0.9999999179460629,0.9999996027529757,0.9999997603495069
Beethoven composed the Ninth Symphony.,Beethoven composed the Ninth Symphony.,37f3164495,0,1,0,1,0,0,0.9999997399730961,0.9999977140003037,0.9999987269861869
Beethoven's compositions have enduring influence.,Beethoven's compositions have enduring influence.,1ed22e1c24,0,1,0,1,1,0,0.9999997714417937,0.9999989201699442,0.9999993458057784
Beggars can't be choosers.,Beggars can't be choosers.,59ad9d58bb,1,1,0,1,1,1,0.9999990283719745,0.9999951605467807,0.9999970944575076
Being efficient saves time.,Being efficient saves time.,928507acca,1,1,0,1,1,0,0.999999872797269,0.9999998538606976,0.9999998633289832
Belgium is known for its chocolates and waffles.,Belgium is known for its chocolates and waffles.,07165f65b2,0,1,0,1,0,0,0.9999997868732518,0.9999998995600329,0.9999998432166407
Berlin Wall falling symbolized new freedoms.,Berlin Wall falling symbolized new freedoms.,e2e099470a,0,0,0,1,1,0,0.9999998389065677,0.9999986134708158,0.999999226188504
Biometrics offers secure identification methods.,Biometrics offers secure identification methods.,cd02475b19,0,1,0,0,0,0,0.9992473579683767,0.9997942417873232,0.9995207624746868
Birds build nests in trees.,Birds build nests in trees.,3cbaaba4e3,0,1,0,0,0,0,0.9999992005438233,0.9999977140002451,0.999998457271758
Birds migrate in winter.,Birds migrate in winter.,422213e390,0,1,0,0,0,0,0.9999975375163309,0.9999929586407343,0.9999952480759119
Blockchain ensures secure transactions.,Blockchain ensures secure transactions.,0856d3a29e,0,1,0,1,0,0,0.9955740566595527,0.9203243130673466,0.9572100134259328
Blockchain provides decentralized data security.,Blockchain provides decentralized data security.,17d38d922a,0,1,0,0,0,0,0.5319191950135996,0.9971633357800922,0.7282927425597638
Blogging encourages self-expression.,Blogging encourages self-expression.,b7aefc2487,1,1,0,1,1,0,0.9999999682176054,0.9999998861866058,0.9999999272021048
Blood cells transport oxygen and nutrients.,Blood cells transport oxygen and nutrients.,1a40c4f31f,0,1,0,0,0,0,0.9998277849269418,0.9990781875160691,0.9994529159460266
Body language communicates feelings.,Body language communicates feelings.,df82b3f6a0,1,1,0,1,1,0,0.9999999987958317,0.9999999845970319,0.9999999916964317
Body markings like henna have religious significance.,Body markings like henna have religious significance.,696e860cfd,0,1,0,1,0,0,0.9487794116934727,0.9912882018799216,0.9698009264783739
Bone density decreases with age.,Bone density decreases with age.,e6e74b8e95,0,1,0,0,0,0,0.9999997344022176,0.9999977140020814,0.9999987242016393
Boolean algebra manipulates logical variables.,Boolean algebra manipulates logical variables.,636c598641,0,1,0,0,0,0,0.7311673491436583,0.9995644602519964,0.8548970094114635
Brainstorming sessions generate creative ideas.,Brainstorming sessions generate creative ideas.,18bac3d492,1,1,0,1,1,0,0.9999989756759419,0.9999986134708313,0.9999987945733703
Brazil's Pantanal is a massive wetland.,Brazil's Pantanal is a massive wetland.,58992c8a72,0,1,0,0,0,0,0.9999514601195478,0.9999883907968844,0.9999699252877267
Breaking the ice eases tensions.,Breaking the ice eases tensions.,f2d2d5d2e0,1,1,0,1,1,1,0.9999994384310987,0.9999989201698918,0.9999991793004617
Bridges connect communities and ideas.,Bridges connect communities and ideas.,ecd5e6955b,0,0,0,1,1,0,0.9999614835654486,0.9997358091030499,0.9998486399671652
Bright as a button.,Bright as a button.,0cebe0f506,0,1,0,1,1,0,0.9413118680231515,0.0916331900465609,0.29369271236387307
Bright smiles spread joy.,Bright smiles spread joy.,6bd0723966,1,1,0,1,1,0,0.9999997053508899,0.9999974096233053,0.9999985574864388
Buddhism teaches the Four Noble Truths.,Buddhism teaches the Four Noble Truths.,3a23080188,1,1,0,1,1,0,0.9999995278946615,0.999999871032523,0.9999996994635775
Buddhist sutras contain the teachings of Buddha.,Buddhist sutras contain the teachings of Buddha.,993e8070f5,1,1,0,1,0,0,0.9999628386499932,0.9999883907962196,0.9999756146414904
Building models encourages imaginative thinking.,Building models encourages imaginative thinking.,2d03881cd3,1,0,0,1,1,0,0.9999999999999568,0.9999982196613578,0.9999991098302611
Bulgaria's mountains offer great hiking.,Bulgaria's mountains offer great hiking.,1b83cd9bff,0,1,0,1,0,0,0.9966462896684571,0.8988613125254767,0.9464918341195744
Burning the midnight oil.,Burning the midnight oil.,a54c149e0a,0,0,0,1,1,0,0.9992427076854501,0.9923076458575615,0.9957691393609688
Busy as a bee.,Busy as a bee.,b893fea770,0,1,0,1,1,0,0.9998615488905128,0.9994407899367982,0.9996511472761709
Butterflies in the stomach mean nervousness.,Butterflies in the stomach mean nervousness.,b8fc1a0b29,0,1,0,1,0,0,0.9999997186530617,0.999998219662762,0.999998969157631
CRISPR technology allows precise gene editing.,CRISPR technology allows precise gene editing.,310e758326,0,1,0,0,0,0,0.9993486217015133,0.9997668486518679,0.9995577133027935
Calculations quantify abstract concepts.,Calculations quantify abstract concepts.,3d60ff2a58,0,1,0,0,0,0,0.9479216454152596,0.994706938666212,0.9710325627940863
Calculus studies change and motion.,Calculus studies change and motion.,de51401f3d,0,1,0,0,0,0,0.9999964825235239,0.9999783112747487,0.9999873968578614
California features diverse landscapes.,California features diverse landscapes.,26f1361ed8,0,1,0,0,0,0,0.9999999892061634,0.9999999894137046,0.999999989309934
Calligraphy turns writing into art.,Calligraphy turns writing into art.,e4fc40e51e,0,1,0,1,1,0,0.9999990218295669,0.9999945161817797,0.9999967690031357
Calm before the storm.,Calm before the storm.,45cb977ff4,0,1,0,1,1,0,0.9999311668717588,0.999564460253439,0.9997477967491407
Canada has vast wilderness.,Canada has vast wilderness.,7663f8e65a,0,1,0,0,0,0,0.9999999548976428,0.9999996906231146,0.99999982276037
Canada's provinces are culturally diverse.,Canada's provinces are culturally diverse.,e1613f4107,0,1,0,1,0,0,0.999827434683588,0.9999721512224091,0.9998997903348766
Careful evaluation refines hypotheses.,Careful evaluation refines hypotheses.,0aba3743ae,1,0,0,1,1,0,0.9580084020057533,0.9996156275848332,0.9785909104434418
Careful planning improves outcomes.,Careful planning improves outcomes.,fd8672d655,1,1,0,1,1,0,0.9999999193926892,0.9999994899242395,0.9999997046584412
Careful research uncovers hidden truths.,Careful research uncovers hidden truths.,34383602ec,1,0,0,1,1,0,0.9999968448716627,0.9999957291968502,0.9999962870341008
Carl Sagan popularized science through his works.,Carl Sagan popularized science through his works.,5aff6141c4,0,1,0,1,1,0,0.9999992946332064,0.9999998861865974,0.9999995904098581
Carpe diem (Seize the day).,Carpe diem (Seize the day).,96107db65e,1,0,0,1,1,0,0.9993256865158986,0.99985858003935,0.9995920977662013
Cartesian coordinates use x and y axes.,Cartesian coordinates use x and y axes.,aec375b8fa,0,1,0,0,0,0,0.9999994377402343,0.9999808597303604,0.9999901486921541
Cartoons often blend humor and insight.,Cartoons often blend humor and insight.,cfc959bdbf,1,1,0,1,1,0,0.9999940940666934,0.9999990470531844,0.9999965705568724
Cats purr when content.,Cats purr when content.,157d615ca3,1,1,0,1,0,0,0.9999988370467787,0.9999951605464077,0.9999969987949037
Cats typically dislike getting wet.,Cats typically dislike getting wet.,d53db7c79a,0,1,0,1,0,1,0.999999861074953,0.9999996027530437,0.9999997319139899
Celebrate small victories.,Celebrate small victories.,f001a88cf3,1,1,0,1,1,0,0.9999999045184559,0.9999997269758758,0.9999998157471619
Celebrating diversity brings unity.,Celebrating diversity brings unity.,332dfce54d,1,0,0,1,1,0,0.9998277749551556,0.9998751965707493,0.9998514854818096
Celebrating holidays unites communities.,Celebrating holidays unites communities.,80df078e4a,1,1,0,1,1,0,0.9999991179928434,0.9999962310319604,0.99999767451136
Celebrating milestones brings joy.,Celebrating milestones brings joy.,8977b19ba1,1,1,0,1,1,0,0.9999997651583568,0.9999982196614609,0.9999989924096102
Celebrating milestones builds morale.,Celebrating milestones builds morale.,dc0b9315d7,1,1,0,1,1,0,0.9999993538223498,0.9999996494300892,0.9999995016262085
Celebrating milestones nurtures growth.,Celebrating milestones nurtures growth.,77bd30801f,1,0,0,1,1,1,0.9999925558303667,0.9999982196613818,0.9999953877418644
Celebrating milestones strengthens bonds.,Celebrating milestones strengthens bonds.,c553a2c5e5,1,1,0,1,1,0,0.99999999290839,0.999999946238359,0.9999999695733742
Celebrating togetherness deepens relationships.,Celebrating togetherness deepens relationships.,c78dc2e4bf,1,0,0,1,1,0,0.9999999752954961,0.9999998861866018,0.999999930741048
Cellular respiration produces energy in living organisms.,Cellular respiration produces energy in living organisms.,6798302c3a,0,1,0,0,0,0,0.9999902816144646,0.9999479721590209,0.9999691266629746
Ceramics blend function and beauty.,Ceramics blend function and beauty.,5c255614bb,0,1,0,1,1,0,0.9999971445765526,0.9999754234696204,0.9999862839641099
Changing seasons affect daylight hours.,Changing seasons affect daylight hours.,87a57266c6,0,1,0,0,0,0,0.9999997752036615,0.9999999462383559,0.999999860721005
Charity begins at home.,Charity begins at home.,8c987fb4a7,1,0,0,1,1,0,0.9999632250886005,0.9998397518001025,0.9999014865384571
Chemical reactions often release energy.,Chemical reactions often release energy.,2a4234b2cd,0,1,0,0,0,0,0.9998002997358826,0.9999850935151572,0.9998926923564692
Chemistry explores the properties of substances.,Chemistry explores the properties of substances.,88bc3715a9,0,1,0,0,0,0,0.9999991705356444,0.999995729200025,0.9999974498663543
Cherish your loved ones.,Cherish your loved ones.,ce73515ce1,1,1,0,1,1,0,0.999999969068023,0.9999998344024903,0.9999999017352544
Chile's Atacama Desert is otherworldly.,Chile's Atacama Desert is otherworldly.,fff6caab77,0,1,0,0,1,0,0.9997809721385867,0.9990781860358449,0.9994295173134385
China's Yangtze River is mighty.,China's Yangtze River is mighty.,fd9f694bb6,0,1,0,0,1,0,0.9999564477411953,0.9997668486403611,0.9998616436966791
Choreography guides dance movements.,Choreography guides dance movements.,292644abc3,0,1,0,1,0,0,0.9999995630671883,0.9999999673919164,0.9999997652295319
