statement_number,statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
83,a person doesn't want a computer virus,0,1,0,0,0,1,Technology and applied sciences,Concept Net
84,a person doesn't want a fly in their soup,1,1,0,1,1,1,People and self,Concept Net
85,a person doesn't want a hangnail,1,1,0,1,1,0,People and self,Concept Net
86,a person doesn't want a heart attack,1,1,0,1,0,0,People and self,Concept Net
87,a person doesn't want a low paying job,1,0,0,1,1,0,Society and social sciences,Concept Net
88,a person doesn't want a slow internet connection,1,1,0,1,1,1,Technology and applied sciences,Concept Net
89,a person doesn't want abuse,1,1,0,1,1,0,Human activities,Concept Net
90,a person doesn't want an aching back,0,1,0,1,1,0,People and self,Concept Net
91,a person doesn't want an itch,1,1,0,0,1,0,Health and fitness,Concept Net
92,a person doesn't want an std,0,1,0,0,0,1,Health and fitness,Concept Net
93,a person doesn't want annoyance,1,1,0,1,1,0,Society and social sciences,Concept Net
94,a person doesn't want anxiety,1,1,1,1,0,0,Culture and the arts,Concept Net
95,a person doesn't want bad food,1,1,0,1,0,0,People and self,Concept Net
96,a person doesn't want boredom,1,1,0,1,0,0,People and self,Concept Net
97,a person doesn't want deception,1,0,0,1,1,0,Natural and physical sciences,Concept Net
98,a person doesn't want everything to be the same,1,1,0,1,1,1,People and self,Concept Net
99,a person doesn't want have to go to war,1,1,0,1,1,0,Human activities,Concept Net
100,a person doesn't want his computer to crash,1,1,0,1,1,1,People and self,Concept Net
101,a person doesn't want loose their job,1,1,0,1,0,1,People and self,Concept Net
102,a person doesn't want open sores,0,1,1,1,1,0,Culture and the arts,Concept Net
103,a person doesn't want schizophrenia,1,1,0,1,1,0,Health and fitness,Concept Net
104,a person doesn't want the truth,1,0,0,1,1,0,People and self,Concept Net
105,a person doesn't want to be alienated,1,1,0,1,1,0,People and self,Concept Net
106,a person doesn't want to be diseased,1,1,0,1,1,0,Health and fitness,Concept Net
107,a person doesn't want to be fearful,1,1,0,1,1,1,Human activities,Concept Net
108,a person doesn't want to be ill,1,1,0,1,1,1,People and self,Concept Net
109,a person doesn't want to be in a traffic jam,1,1,0,1,1,1,People and self,Concept Net
110,a person doesn't want to be in prison,1,1,0,1,1,0,People and self,Concept Net
111,a person doesn't want to be punished,1,1,0,1,1,0,People and self,Concept Net
112,a person doesn't want to be ridiculous,1,0,0,1,1,1,People and self,Concept Net
113,a person doesn't want to be shameful,1,1,1,1,1,1,General reference,Concept Net
114,a person doesn't want to break a leg,0,1,0,1,0,1,People and self,Concept Net
115,a person doesn't want to crash his car,1,1,0,1,0,0,Human activities,Concept Net
116,a person doesn't want to die alone,1,0,1,1,1,1,People and self,Concept Net
117,a person doesn't want to do something he isn't good at,1,0,0,1,1,1,General reference,Concept Net
118,a person doesn't want to do the job over,1,1,0,1,1,1,Human activities,Concept Net
119,a person doesn't want to do what doesn't interest him,1,1,0,1,1,0,People and self,Concept Net
120,a person doesn't want to fall out of love,1,0,0,1,1,0,People and self,Concept Net
121,a person doesn't want to have no home,1,1,0,1,1,0,People and self,Concept Net
122,a person doesn't want to hear bad news,1,0,0,0,0,0,People and self,Concept Net
123,a person doesn't want to lose their friends,1,1,0,1,0,1,People and self,Concept Net
124,a person doesn't want to make mistakes,1,1,0,1,1,0,People and self,Concept Net
125,a person doesn't want to pimples,1,1,0,1,1,0,People and self,Concept Net
126,a person doesn't want unpleasant things,1,1,0,1,1,1,People and self,Concept Net
127,a person in a desperate situation will try the most desperate measures,1,1,0,0,0,1,Health and fitness,aphorism
128,a person jogging in hot weather is more likely to sweat,1,1,0,0,0,1,Health and fitness,category response
129,a person on an empty train would hear a lot of people talking,0,0,0,0,0,1,General reference,category response
130,a person wearing a swimsuit is going to bed,0,1,1,1,0,1,People and self,category response
131,a person with a high fever is likely to be healthy,0,1,0,0,0,1,People and self,category response
132,a person's race is not relevant to their abilities,1,1,0,1,1,0,People and self,category response
133,a pessimist is one who has been intimately acquainted with an optimist,1,1,1,1,1,1,General reference,aphorism
134,a point of view has different perspectives,1,0,1,0,1,1,General reference,category response
135,a political man can have as his aim the realization of freedom but he has no means to realize it other than through violence,1,0,1,1,1,0,Philosophy and thinking,aphorism
136,a politician campaigning for the city council has to have experience working in the city,0,0,1,0,0,1,General reference,news media
137,a really busy person never knows how much he weighs,1,1,0,1,1,0,People and self,aphorism
138,a refusal of praise is a desire to be praised twice,0,1,0,1,0,0,General reference,aphorism
139,a sane person to an insane society must appear insane,1,1,1,1,1,0,General reference,aphorism
140,a ship in port is safe but that is not what ships are for,1,1,0,1,0,1,Philosophy and thinking,aphorism
141,a simple way of finding whether a gun is stolen is too look at its serial number,0,0,1,0,0,1,Health and fitness,news media
142,a smile is usually perceived as a positive emotion,0,1,0,1,0,1,General reference,category response
143,a society grows great when old men plant trees whose shade they know they shall never sit in,1,0,1,1,1,1,Philosophy and thinking,aphorism
144,a square has 4 sides,0,1,0,0,0,0,Mathematics and logic,category response
145,a strong wind would make you want to fly a kite,0,1,0,0,1,1,Human activities,Concept Net
146,a sword is sharp,0,1,0,0,0,1,General reference,Concept Net
147,a tack is sharp,0,1,0,0,0,0,General reference,Concept Net
148,a teacher who is not dogmatic is simply a teacher who is not teaching,1,1,0,1,1,1,Philosophy and thinking,aphorism
149,a theist is the opposite of an atheist,0,0,1,1,0,1,Religion and belief systems,category response
150,a theory is not a fact,1,0,0,1,0,1,Philosophy and thinking,category response
151,a war is not won if the defeated enemy has not been turned into a friend,1,0,1,1,1,1,Geography and places,aphorism
152,a wet sponge will soak up more water than a dry sponge,0,0,0,0,0,0,General reference,category response
153,a wise man in his house should find a wife gentle and courteous or no wife at all,0,0,0,1,0,0,General reference,aphorism
154,a wise man proportions his believes to the evidence,1,0,1,0,1,1,People and self,aphorism
155,a year from now you may wish you had started today,1,0,0,1,1,1,People and self,aphorism
156,abiding avoidant behavior in yourself is a road paved to only one thing getting better at avoidant behavior,1,0,0,0,1,1,Philosophy and thinking,aphorism
157,ability to think like the violin or piano requires daily practice,1,0,0,1,1,1,People and self,aphorism
158,abolish the police is an extreme stance taken by democrats,1,0,0,1,1,0,Society and social sciences,campaign email
159,abortion is a crime because life begins with conception,0,0,1,0,1,1,History and events,news media
160,access to healthcare and education should be a priority,1,1,0,1,1,0,General reference,campaign email
161,access to healthcare should be available for all without worry of debt,1,1,0,1,1,1,Society and social sciences,campaign email
162,acquaintance a person whom we know well enough to borrow from but not well enough to lend to,1,1,1,1,1,1,People and self,aphorism
163,act that we want to pass this session is prohibiting arrests for nonjailable,1,0,0,1,1,0,General reference,campaign email
164,add two numbers together will create a bigger number,0,0,0,0,0,0,General reference,category response
165,admiration and familiarity are strangers,1,0,0,1,1,0,People and self,aphorism
166,adults should supervise all fireworks activities,0,0,0,0,0,1,General reference,news media
167,advancements in technology can help save lives and improve the quality of life for everyone in the world,1,1,0,1,1,1,Technology and applied sciences,category response
168,advances in technology can have either very positive or awful consequences,0,0,0,1,1,0,Technology and applied sciences,category response
169,adversity is the trial of principle without it a man hardly knows whether he is honest or not,1,0,1,1,1,0,Philosophy and thinking,aphorism
170,advise and counsel him if he does not listen let adversity teach him,1,0,0,1,1,1,People and self,aphorism
171,aerobic workouts usually are good for you,1,0,0,1,1,0,Health and fitness,category response
172,africa is a continent,0,1,0,1,0,0,Geography and places,category response
173,after a certain point money is meaningless it ceases to be the goal the game is what counts,1,0,1,1,1,1,Philosophy and thinking,aphorism
174,after a trial one party is naked and the other without shirt,1,1,1,1,1,1,General reference,aphorism
175,airlines can ban emotional support animals because of their misbehavior and pet owners skirting airline rules and fees,1,1,0,1,0,0,Society and social sciences,news media
176,alcohol should be restricted for fans during sport games,1,1,0,1,1,0,People and self,news media
177,alcohol would make you want to sleep at night,0,1,0,1,0,0,Health and fitness,Concept Net
178,algebra uses variables,1,1,0,0,0,0,Mathematics and logic,category response
179,all art is autobiographical the pearl is the oyster`s autobiography,1,1,1,1,1,1,Culture and the arts,aphorism
180,all bad precedents begin as justifiable measures,1,0,0,1,1,1,People and self,aphorism
181,all fanatical creeds do harm they promote hatred and strife,1,1,0,1,1,0,Philosophy and thinking,aphorism
182,all great deeds and all great thoughts have a ridiculous beginning great works are often born on a street corner or in a restaurant`s revolving door,1,0,0,1,1,0,Philosophy and thinking,aphorism
183,all human beings are created equal,1,0,1,0,1,0,People and self,news media
184,all kinds of beauty do not inspire love there is a kind which only pleases the sight but does not captivate the affections,1,0,1,1,1,1,People and self,aphorism
185,all life is an experiment the more experiments you make the better,0,1,1,0,0,1,Human activities,aphorism
186,all memories people call to account are made up,0,0,0,0,0,0,Culture and the arts,category response
187,all our dreams can come true if we have the courage to pursue them,1,1,1,1,1,1,People and self,aphorism
188,all our evil comes from our inability to be alone,1,0,1,0,1,1,People and self,aphorism
189,all people are human,0,1,0,0,0,0,Natural and physical sciences,Concept Net
190,all religions have differences,0,1,0,1,0,0,Religion and belief systems,category response
191,all social movements are dismissed at some point as complaining over time they are recognized as speaking truth to power,0,1,0,0,0,0,Human activities,aphorism
192,all the continents used to be connected in one giant continent called pangea,0,1,0,0,0,0,Geography and places,category response
193,all the road's go to rome,0,0,0,0,1,1,General reference,category response
194,all truths are easy to understand once they are discovered the point is to discover them,0,0,0,0,1,1,Philosophy and thinking,aphorism
195,all which is not prose is verse and all which is not verse is prose,1,0,1,1,1,0,Culture and the arts,aphorism
196,all who have died are equal,1,0,1,0,1,0,History and events,aphorism
197,allowing eligible voters to vote online allows more voters to participate in elections and strengthens democracy,0,0,0,0,0,0,Society and social sciences,news media
198,allowing family visits to care homes during pandemic will enhance the quality of life and mental health of residents and their families,1,0,0,0,0,1,Health and fitness,news media
199,allowing guns is not about good guys with guns deterring violent crime because a study of 33 states indicates that permitting guns have increased violent crime from 13 to 15,1,0,0,0,0,1,Geography and places,news media
200,allowing people to have their own religious belief without disruption is kind,1,0,0,1,1,1,Religion and belief systems,category response
201,although a large and famous country britian is an island,0,0,0,1,1,1,General reference,category response
202,although some people who smoke live a very long life the more a person smokes the greater the risk to their health,0,0,0,0,1,1,Health and fitness,category response
203,although the world is not perfect it is yet the best that is possible,1,0,0,1,1,0,Philosophy and thinking,aphorism
204,although we can see others' reactions to their inner experience we cannot actually perceive or experience their actual inner experience their qualia,1,0,1,0,1,1,Culture and the arts,category response
205,altruism is commonsense for people,1,0,0,1,1,0,People and self,news media
206,altruism is the foundation of peaceful society,0,0,0,0,0,1,General reference,news media
207,always and never are two words you should always remember never to use,1,0,0,1,1,1,General reference,aphorism
208,always feel free to give a support,1,0,0,0,1,1,General reference,campaign email
209,always remember your focus determines your reality,1,0,0,1,0,1,Natural and physical sciences,aphorism
210,always triple check that your parts are compatible before buying computer parts,0,1,1,0,0,1,General reference,category response
211,always trust in god,1,0,0,0,0,1,Religion and belief systems,category response
212,ambition is not a vice of little people,1,0,0,1,1,0,People and self,aphorism
213,america did the right thing when it broke away from britain in 1776,1,1,0,1,1,0,History and events,news media
214,america is a place where courage and conviction can make a difference,1,1,0,1,1,1,General reference,campaign email
215,america should strive to uphold democracy and human rights across the world,1,0,0,0,1,0,General reference,news media
216,america's growing diversity should be welcomed and we protect them with laws against exploitation sexism and racism,1,0,0,1,1,0,Human activities,news media
217,american's need to enact pollicies that made american great again,1,0,0,1,1,1,History and events,campaign email
218,americans are done with hypocritical politicians,1,0,0,1,1,0,Society and social sciences,campaign email
219,americans are greedy as a society,1,1,0,1,1,1,Society and social sciences,news media
220,americans are hard working and have optimism,1,1,0,1,1,0,Culture and the arts,campaign email
221,americans have never been afraid of the future,1,1,0,1,1,1,Society and social sciences,campaign email
222,americans know what is right and wrong,1,1,0,1,1,1,Society and social sciences,campaign email
223,americans want progressive values,1,1,0,1,1,1,Society and social sciences,campaign email
224,americans want republican leaders,1,1,0,1,1,1,Society and social sciences,campaign email
225,americans with an intelligence are able to see who is worthy and who is not,1,0,0,1,1,1,People and self,campaign email
226,an accountant is good at mathematics and logic,0,0,0,0,0,0,Mathematics and logic,category response
227,an apple a day keeps the doctor away,1,0,0,1,1,0,Health and fitness,category response
228,an education isn`t how much you have committed to memory or even how much you know it`s being able to differentiate between what you know and what you don`t,0,0,1,1,1,1,General reference,aphorism
229,an eminent reputation is as dangerous as a bad one,0,0,0,1,0,1,Health and fitness,aphorism
230,an ideal wife is one who remains faithful to you but tries to be just as charming as if she weren`t,0,0,0,0,0,1,General reference,aphorism
231,an increase from 3 to 9 million cases of gout over a decade suggests that the change in human lifestyle influences the development of the disease,0,0,0,0,0,1,Health and fitness,news media
232,an intelligent hell would be better than a stupid paradise,1,0,1,1,1,0,Philosophy and thinking,aphorism
233,an invitation would make you want to go to a party,1,1,0,1,0,1,People and self,Concept Net
234,an open border leaves citizens unprotected and presents a conflict between the governed and the government,0,1,0,1,0,0,Society and social sciences,news media
235,an ounce of performance is worth pounds of promises,1,0,1,1,1,1,Philosophy and thinking,aphorism
236,anchors should not ask loaded questions to their interviewees,0,0,0,0,1,1,Human activities,news media
237,animal agriculture is responsible for many greenhouse gases therefore raising cattle causes global warming,0,0,0,0,0,1,History and events,news media
238,animals are instinctively afraid of the sight or even the track of man,0,0,0,0,0,1,Natural and physical sciences,aphorism
239,ann will help people who are in trouble,1,1,0,1,1,0,Human activities,campaign email
240,another democratic vote can help secure what's good for our future,1,0,0,1,1,1,Society and social sciences,campaign email
241,another victory like that one and we are lost,1,0,1,1,1,1,People and self,aphorism
242,antisemitism is evil and should be condemned,1,1,0,1,0,1,Religion and belief systems,news media
243,anxiety in children is originally nothing other than an expression of the fact they are feeling the loss of the person they love,0,1,1,1,1,1,General reference,aphorism
244,any number multiplied by one stays the same,0,1,1,0,1,1,Mathematics and logic,category response
245,any number multiplied by zero is always zero,0,1,0,0,0,0,Mathematics and logic,category response
246,anyone can talk to god but god only talks back to crazy people,1,0,1,1,1,0,Religion and belief systems,category response
247,anything that is too stupid to be spoken is sung,1,1,0,1,1,1,People and self,aphorism
248,apparently men can be cured of drugs drink gambling biting his nails and picking his nose but not of marrying,1,1,1,1,1,0,People and self,aphorism
249,apple can be red,0,1,0,1,0,0,Natural and physical sciences,Concept Net
250,apple has some of the best technology,1,1,1,0,1,0,General reference,category response
251,aristotle plato and socrates were greek philosophers,0,0,0,0,0,0,Culture and the arts,category response
252,arizonans have solid conservative values,0,0,0,0,1,1,General reference,campaign email
253,arresting criminals is for cops and courts not politicians,0,0,0,0,0,0,General reference,news media
254,art begins with resistance at the point where resistance is overcome no human masterpiece has ever been created without great labor,1,1,1,1,1,1,Culture and the arts,aphorism
255,art in museums can inspire people to write stories,1,1,0,1,1,1,Culture and the arts,category response
256,as a small businesswoman i know firsthand how the shutdown impacts our families,1,1,0,1,1,0,Society and social sciences,campaign email
257,as men advance in life all passions resolve themselves into money love ambition even poetry end in this,1,0,1,0,1,1,Geography and places,aphorism
258,as people go their own way destiny goes with them,1,0,1,1,1,0,Philosophy and thinking,aphorism
259,as society advances the standard of poverty rises,1,0,0,1,1,0,Society and social sciences,aphorism
260,asia is the largest continent in the whole world,0,1,0,0,0,0,Geography and places,category response
261,asking a writer what he thinks about criticism is like asking a lamppost what it feels about dogs,1,0,1,1,1,0,Culture and the arts,aphorism
262,assassination is the extreme form of censorship,1,0,1,1,0,0,People and self,aphorism
263,assist them in an invention help them scratch,0,0,0,0,1,1,Culture and the arts,situation response
264,at twenty everyone is republican,1,0,0,0,1,1,General reference,aphorism
265,australia is an island continent,1,1,1,0,0,0,Geography and places,category response
266,australia is the only island nation that is also a continent,0,1,0,0,0,0,General reference,category response
267,authority doesn`t work without prestige or prestige without distance,1,0,0,1,1,1,Society and social sciences,aphorism
268,avoid close contact with people who are ill,0,1,0,1,0,1,Health and fitness,campaign email
269,bad administration to be sure can destroy good policy but good administration can never save bad policy,1,0,1,1,1,1,Society and social sciences,aphorism
270,balls are round,0,1,0,0,0,0,General reference,Concept Net
271,basic actions to protect the spread of coronavirus are needed,1,0,0,1,1,0,Health and fitness,campaign email
272,basic math is used in everyday life,1,1,0,1,0,0,Mathematics and logic,category response
273,bats are the only flying mammal,0,1,0,0,0,0,General reference,category response
274,be approximately right rather than exactly wrong,1,1,1,1,1,0,General reference,aphorism
275,be clear be transparent be prepared be prepared to show your sources and be prepared to show your methodologies that backup your analysis,1,1,0,1,1,0,Human activities,aphorism
276,be gentle to your enemy same as to an old oven,1,0,1,1,1,0,Philosophy and thinking,aphorism
277,be too busy to have time for regrets,1,1,0,1,1,0,People and self,aphorism
278,be who you are and say what you feel because those who mind don't matter and those who matter don't mind,1,0,1,1,1,1,Philosophy and thinking,aphorism
279,be wiser than other people if you can but do not tell them so,1,1,1,1,1,0,General reference,aphorism
280,before a marriage a man will lie awake all night thinking about something you`ve said after marriage he`ll fall asleep before you finish saying it,1,1,1,1,1,1,People and self,aphorism
281,before receiving unemployment compensation a peron must show the proof of identity,0,1,0,1,0,0,Culture and the arts,news media
282,being bored would make you want to use a television,0,1,1,1,1,1,People and self,Concept Net
283,being bored would make you want to watch tv,1,1,0,1,1,1,Human activities,Concept Net
284,being cold would make you want to get warm,0,1,0,1,1,1,Health and fitness,Concept Net
285,being depressed would make you want to hit the bottle,1,1,1,1,1,1,People and self,Concept Net
286,being dirty would make you want to bathe,1,1,0,0,0,1,People and self,Concept Net
287,being dirty would make you want to take a bath,0,1,0,0,1,1,People and self,Concept Net
288,being healthy and exercising frequently can help improve your mental health,0,1,0,1,0,1,Health and fitness,category response
289,being hot would make you want to go for a swim,1,1,0,1,1,1,Human activities,Concept Net
290,being hungry would make you want to eat a hamburger,1,1,1,1,1,0,People and self,Concept Net
291,being hungry would make you want to eat dinner,0,1,0,1,0,1,Human activities,Concept Net
292,being hungry would make you want to go to a restaurant,1,1,0,1,1,0,People and self,Concept Net
293,being hungry would make you want to have lunch,0,1,0,1,1,1,Human activities,Concept Net
294,being hungry would make you want to make bread,1,1,0,1,1,1,People and self,Concept Net
295,being in a hurry would make you want to eat quickly,1,1,0,1,1,1,Human activities,Concept Net
296,being lonely would make you want to meet a friend,1,1,0,1,1,1,People and self,Concept Net
297,being obese is bad for your health,1,1,0,1,1,0,General reference,category response
298,being physically active could improve the quality of life in terms of how you feel each day,0,0,0,1,0,1,General reference,category response
299,being polite would make you want to wait your turn,1,1,0,1,1,1,People and self,Concept Net
300,being regularly sedentary is unhealthy,0,1,0,0,1,1,Health and fitness,category response
301,being religious means that you have faith in certain beliefs and practices dictated by the religion,0,0,0,1,0,0,Religion and belief systems,category response
302,being strong doesn't necessarily mean you're in shape,0,1,0,1,1,1,General reference,category response
303,being thirsty would make you want to drink,0,1,0,0,0,0,Human activities,Concept Net
304,being tired would make you want to have a rest,0,1,0,1,0,0,Health and fitness,Concept Net
305,being tired would make you want to sleep,0,1,0,0,0,0,Human activities,Concept Net
306,believers rely on their religion for spiritual support,1,1,1,1,0,1,General reference,category response
307,benchmark from where you were before not where you think you should be,1,1,1,1,1,1,Philosophy and thinking,aphorism
308,better a diamond with a flaw than a pebble without,1,1,1,1,1,0,Philosophy and thinking,aphorism
309,better give cherries to a pig than advice to a fool,0,0,0,0,1,1,General reference,aphorism
310,better to have loved and lost than not to have loved at all,0,1,0,1,0,1,General reference,aphorism
311,beware iced ponds are very cold hypothermia could happen if you enter water,0,1,0,0,0,1,Human activities,category response
312,beyond a certain point there is no return this point has to be reached,1,0,0,1,1,1,People and self,aphorism
313,bills will reduce the budge in the state,0,1,0,1,0,0,General reference,campaign email
314,biological boys should not be allowed to compete in sports with biological girls,1,1,0,1,1,1,General reference,news media
315,blessed is he who has found his work let him ask no other blessedness,0,0,1,0,1,1,General reference,aphorism
316,blood alone moves the wheels of history,1,0,1,0,1,1,People and self,aphorism
317,boredom would make you want to play games,1,1,0,1,1,1,People and self,Concept Net
318,both natural and physical sciences have specific roles that improve the quality of human lives,1,1,0,0,1,0,Natural and physical sciences,category response
319,both republicans and democrats should work together to find a compromise on the infrastructure bill,0,0,0,0,1,0,Health and fitness,news media
320,bottom is bottom even if it is turned upside down,1,0,1,0,0,1,Philosophy and thinking,aphorism
321,breathing is important but once you stop you never have to exercise again,0,1,0,1,0,0,Health and fitness,category response
322,buddhism originated in asia,1,1,0,0,0,0,Geography and places,category response
323,budgets should account for out of control costs to prevent calamities,0,0,1,0,1,1,Health and fitness,news media
324,buereaucratic inefficiences should be avoided,1,1,0,1,0,1,General reference,news media
325,burn the seed of false knowledge so it might not sprout again,0,0,1,1,0,1,Philosophy and thinking,aphorism
326,but these liberal proabortion extremists just don't get it,1,0,0,0,1,0,Culture and the arts,campaign email
327,butter is yellow,0,1,1,0,0,1,Natural and physical sciences,Concept Net
