statement,drop,length,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Unity is strength.,,18,Unity is strength.,4905fed739,1,0,0,1,1,0,0.99999974,0.99999822,0.99999898
WWI began in 1914.,,18,WWI began in 1914.,3c8a8d59a4,1,1,0,1,0,0,0.999987386,0.999998429,0.999992907
Beaches have waves.,,19,Beaches have waves.,8a9ae94de6,0,1,0,0,0,0,0.999999793,0.99999822,0.999999006
Bees produce honey.,,19,Bees produce honey.,0337e40834,0,1,0,0,0,0,0.999999918,0.999999603,0.99999976
Fish swim in water.,,19,Fish swim in water.,d2f96a7bbf,0,1,0,0,0,0,0.999999995,0.999999963,0.999999979
Hindsight is 20/20.,,19,Hindsight is 20/20.,1cba100048,1,0,0,1,1,0,0.999999839,0.999998613,0.999999226
Ice is solid water.,,19,Ice is solid water.,336e0894f6,0,1,0,0,0,0,0.999999993,0.999999759,0.999999876
Ignorance is bliss.,,19,Ignorance is bliss.,2ad5f6923a,1,0,0,1,1,1,0.942128024,0.719585081,0.823371891
Manners maketh man.,,19,Manners maketh man.,b0e08e3fdf,1,0,0,1,1,1,0.817619905,0.999818417,0.904141271
The ocean is salty.,,19,The ocean is salty.,97c53a1ae6,0,1,0,0,0,0,0.999999969,0.999999958,0.999999964
Whales are mammals.,,19,Whales are mammals.,9dba371c04,0,1,0,0,0,0,0.999991407,0.999998613,0.99999501
Words carry weight.,,19,Words carry weight.,c14058004b,1,0,0,1,1,0,0.999999905,0.999999345,0.999999625
You only live once.,,19,You only live once.,6b48b61807,1,1,0,1,1,0,0.999999278,0.999978311,0.999988795
Beauty is skin deep.,,20,Beauty is skin deep.,38a6db596d,0,1,0,1,1,0,0.998634629,0.993208689,0.995917964
Hobbies enrich life.,,20,Hobbies enrich life.,80b6dfec6f,1,1,0,1,1,0,0.999999983,0.999999922,0.999999952
Old habits die hard.,,20,Old habits die hard.,ac5e18253e,1,0,0,1,1,0,0.999999698,0.999998776,0.999999237
Sharing spreads joy.,,20,Sharing spreads joy.,fc89c1d637,1,1,0,1,1,1,0.999997785,0.999989755,0.99999377
Singing boosts mood.,,20,Singing boosts mood.,9e102ea541,0,1,0,1,1,0,1,0.999998429,0.999999214
"Waste not, want not.",,20,"Waste not, want not.",620db77a5b,1,0,0,1,1,1,0.999999771,0.999997065,0.999998418
Apples grow on trees.,,21,Apples grow on trees.,3a747a0c0e,0,1,0,0,0,0,1,0.999999931,0.999999965
Glaciers are melting.,,21,Glaciers are melting.,24a34ed60d,0,1,0,0,0,0,0.999999888,0.999999871,0.999999879
Honesty breeds trust.,,21,Honesty breeds trust.,fe8892fbb7,1,1,0,1,1,1,0.999999997,0.999999922,0.99999996
Hope springs eternal.,,21,Hope springs eternal.,b6d2547122,1,0,0,1,1,0,0.977933669,0.996359116,0.987103402
Hugs provide comfort.,,21,Hugs provide comfort.,b51d205430,1,1,0,1,1,0,0.999999896,0.99999955,0.999999723
No news is good news.,,21,No news is good news.,8dd774d879,1,0,0,1,1,0,0.99171848,0.965984386,0.97876686
Patience is a virtue.,,21,Patience is a virtue.,af13ef2682,1,0,0,1,1,0,0.999999968,0.99999892,0.999999444
Rivers carve valleys.,,21,Rivers carve valleys.,6b08cb9275,0,1,0,0,0,0,0.999998942,0.999985094,0.999992018
Sand dunes are windy.,,21,Sand dunes are windy.,9cdde1fad9,0,1,0,0,0,0,0.999999999,0.996786244,0.998391829
Save for a rainy day.,,21,Save for a rainy day.,81e1d7c7f7,0,1,0,1,1,0,0.999999884,0.999999886,0.999999885
Show gratitude often.,,21,Show gratitude often.,504ca10089,1,1,0,1,1,0,0.99999944,0.99999741,0.999998425
Snow falls in winter.,,21,Snow falls in winter.,52a8c8c05d,0,1,0,0,0,0,0.999997148,0.999994516,0.999995832
Trees produce oxygen.,,21,Trees produce oxygen.,b8cf2acfb4,0,1,0,0,0,0,0.999999928,0.999999649,0.999999789
A smile is contagious.,,22,A smile is contagious.,8437643835,1,1,0,1,1,0,0.999999497,0.999997714,0.999998605
Daylight follows dawn.,,22,Daylight follows dawn.,881e206650,0,1,0,0,0,0,0.999999682,0.99999822,0.999998951
Fire is hot and burns.,,22,Fire is hot and burns.,ad2af4189d,0,1,0,0,0,0,0.999999995,0.999999985,0.99999999
Fresh air boosts mood.,,22,Fresh air boosts mood.,57c73d6cf1,0,1,0,1,0,0,0.999999639,0.999997714,0.999998676
Grass grows in fields.,,22,Grass grows in fields.,62645c94de,0,1,0,0,0,0,0.99999969,0.999999854,0.999999772
Gratitude fosters joy.,,22,Gratitude fosters joy.,01b9fbfeb5,1,0,0,1,1,1,1,0.99999892,0.99999946
Humans breathe oxygen.,,22,Humans breathe oxygen.,47e919fe89,0,1,0,0,0,0,0.999999999,0.999999971,0.999999985
It takes two to tango.,,22,It takes two to tango.,27a03872d8,1,0,0,1,1,0,0.999998887,0.999992959,0.999995923
Time heals all wounds.,,22,Time heals all wounds.,aaa8b9b83f,0,0,0,1,1,0,0.798448039,0.998955512,0.89309242
Walking boosts energy.,,22,Walking boosts energy.,adfd9ce574,0,1,0,0,0,0,0.999998682,0.999990959,0.99999482
Wisdom comes with age.,,22,Wisdom comes with age.,4b3c116f77,1,0,0,1,1,0,0.979682411,0.920324304,0.949539643
A hug can mend a heart.,,23,A hug can mend a heart.,5ecf4f6e39,1,1,0,1,1,1,0.94792173,0.797794488,0.869624477
All roads lead to Rome.,,23,All roads lead to Rome.,fdc55e027e,0,0,0,1,1,0,0.999956448,0.999941045,0.999948746
Baking is like therapy.,,23,Baking is like therapy.,d467ed3737,0,1,0,1,1,0,0.972614527,0.992307917,0.982411876
Cats purr when content.,,23,Cats purr when content.,157d615ca3,1,1,0,1,0,0,0.999998837,0.999995161,0.999996999
Charity begins at home.,,23,Charity begins at home.,8c987fb4a7,1,0,0,1,1,0,0.999963225,0.999839752,0.999901487
Dogs are loyal animals.,,23,Dogs are loyal animals.,1f53870e29,1,1,0,1,1,0,0.999999968,0.999999812,0.99999989
Encourage others often.,,23,Encourage others often.,5ddd6c8e86,1,1,0,1,1,0,0.999998632,0.999999258,0.999998945
Exercise enhances mood.,,23,Exercise enhances mood.,dff1fca7cd,0,1,0,1,0,0,1,0.999997714,0.999998857
History repeats itself.,,23,History repeats itself.,a00d339321,1,1,0,1,1,0,0.999948828,0.999794242,0.999871532
Keep calm and carry on.,,23,Keep calm and carry on.,af3638ecd2,1,1,0,1,1,0,0.999996896,0.99998086,0.999988878
Let bygones be bygones.,,23,Let bygones be bygones.,db173ddf33,1,0,0,1,1,1,0.999996722,0.999999958,0.99999834
Mount Fuji is in Japan.,,23,Mount Fuji is in Japan.,3984300c42,0,1,0,0,0,0,0.999999568,0.99999822,0.999998894
Mountains are majestic.,,23,Mountains are majestic.,9e6cbad18a,0,1,0,0,1,0,0.999996586,0.99998086,0.999988723
Music can lift spirits.,,23,Music can lift spirits.,66d6e6927a,1,1,0,1,1,0,0.999999988,0.999999971,0.999999979
Norms evolve over time.,,23,Norms evolve over time.,8661d1cae7,0,1,0,1,0,0,0.999999956,0.99999955,0.999999753
"Once bitten, twice shy.",,23,"Once bitten, twice shy.",f6267224da,1,1,0,1,1,1,0.999998381,0.999989755,0.999994068
Pets can reduce stress.,,23,Pets can reduce stress.,ec11018a3e,1,1,0,1,0,0,0.999999978,0.999999812,0.999999895
Practice makes perfect.,,23,Practice makes perfect.,21f9c35a8c,1,1,0,1,1,0,0.999877977,0.999506483,0.999692213
Rivers flow to the sea.,,23,Rivers flow to the sea.,567a165139,0,1,0,0,0,0,0.999936509,0.999735809,0.999836154
Silence speaks volumes.,,23,Silence speaks volumes.,0cc7aa5335,1,1,0,1,1,0,0.999996014,0.999975423,0.999985719
Stories shape cultures.,,23,Stories shape cultures.,f459728975,1,0,0,1,1,0,0.999999966,0.999999922,0.999999944
Venice has many canals.,,23,Venice has many canals.,221052e2a1,0,1,0,0,0,0,0.999999883,0.999999345,0.999999614
Art stimulates the mind.,,24,Art stimulates the mind.,17b9fa2ee0,1,1,0,1,1,0,0.999998976,0.999998613,0.999998795
Birds migrate in winter.,,24,Birds migrate in winter.,422213e390,0,1,0,0,0,0,0.999997538,0.999992959,0.999995248
Cherish your loved ones.,,24,Cherish your loved ones.,ce73515ce1,1,1,0,1,1,0,0.999999969,0.999999834,0.999999902
"Clean space, clear mind.",,24,"Clean space, clear mind.",43bfd74bd7,0,1,0,1,1,0,0.999997216,0.999986845,0.99999203
Clouds precipitate rain.,,24,Clouds precipitate rain.,276c49b0e2,0,1,0,0,0,0,0.999471522,0.999902802,0.999687139
Cycling keeps you young.,,24,Cycling keeps you young.,757e0ecf17,0,1,0,1,1,0,0.867859117,0.495482903,0.655750985
Desert sand is very hot.,,24,Desert sand is very hot.,20bc4f8242,0,1,0,0,0,0,0.999984366,0.999933195,0.999958781
Face challenges head-on.,,24,Face challenges head-on.,bd7544b4f7,1,1,0,1,1,0,0.999998839,0.999998429,0.999998634
Facts validate opinions.,,24,Facts validate opinions.,c259d4baae,1,0,0,1,1,0,0.985856547,0.748062692,0.858768014
Flowers beautify spaces.,,24,Flowers beautify spaces.,ea9017f084,0,1,0,0,1,0,0.999999929,0.99999955,0.999999739
Flowers bloom in spring.,,24,Flowers bloom in spring.,1f4ec342e7,0,1,0,0,0,0,0.999997308,0.999988391,0.999992849
Flowers brighten a room.,,24,Flowers brighten a room.,e314cf0020,0,1,0,1,0,0,0.999999621,0.999998429,0.999999025
Fortune favors the bold.,,24,Fortune favors the bold.,6dfb7a73b0,1,0,0,1,1,1,0.99980485,0.999078186,0.999441452
Good manners open doors.,,24,Good manners open doors.,9431c28920,1,0,0,1,1,1,0.999999942,0.999999691,0.999999816
Great minds think alike.,,24,Great minds think alike.,90bb745ab7,1,0,0,1,1,0,0.81763296,0.403414681,0.57432146
Humility precedes honor.,,24,Humility precedes honor.,7a42aeb6bc,1,0,0,1,1,1,0.986002423,0.999735809,0.992845371
"I think, therefore I am.",,24,"I think, therefore I am.",e36c53d07f,1,0,0,1,1,0,0.989565832,0.99779011,0.993669462
Knowledge builds wisdom.,,24,Knowledge builds wisdom.,1ec6bfb07d,1,0,0,1,1,0,0.999992321,0.999968443,0.999980382
Knowledge enriches life.,,24,Knowledge enriches life.,988d06f4bd,1,0,0,1,1,0,0.999999894,0.999999345,0.999999619
Singing releases stress.,,24,Singing releases stress.,d41cfe2b67,0,1,0,1,1,0,0.999991216,0.999983109,0.999987162
Water lubricates joints.,,24,Water lubricates joints.,4af575a63f,0,1,0,0,0,0,0.996561556,0.976495519,0.986477518
"When it rains, it pours.",,24,"When it rains, it pours.",d600bf77c3,0,0,0,0,0,0,0.994632177,0.9734078,0.983962763
A blanket keeps you warm.,,25,A blanket keeps you warm.,72262deecd,0,1,0,0,0,0,0.999999215,0.999996674,0.999997945
Atoms make up everything.,,25,Atoms make up everything.,b05a26f9c4,0,1,0,0,0,0,0.999970352,0.999993786,0.999982069
Bright smiles spread joy.,,25,Bright smiles spread joy.,6bd0723966,1,1,0,1,1,0,0.999999705,0.99999741,0.999998557
Clean homes are inviting.,,25,Clean homes are inviting.,e97764ec2c,0,1,0,1,1,0,0.999999752,0.999999422,0.999999587
Cooking teaches patience.,,25,Cooking teaches patience.,9f832180c3,1,1,0,1,1,0,0.999999798,0.999999422,0.99999961
Curiosity killed the cat.,,25,Curiosity killed the cat.,c29057ce49,1,0,0,1,1,1,0.682351357,0.128419991,0.296019518
Earth’s crust is diverse.,,25,Earth’s crust is diverse.,754248ef2a,0,1,0,0,0,0,0.999987521,0.999990959,0.99998924
Every rose has its thorn.,,25,Every rose has its thorn.,a1626d679c,0,0,0,1,1,0,0.99995628,0.99944079,0.999698502
Facts prove the argument.,,25,Facts prove the argument.,d5f544a162,1,1,0,1,1,0,0.997575913,0.985677269,0.991608744
Faith can move mountains.,,25,Faith can move mountains.,11b107fde3,1,0,0,1,1,0,0.996281061,0.979228516,0.987717988
Forests have dense trees.,,25,Forests have dense trees.,8c99c1461c,0,1,0,0,0,0,0.999999556,0.999997714,0.999998635
He who hesitates is lost.,,25,He who hesitates is lost.,83f2ec9cc1,1,0,0,1,1,1,0.861605627,0.259926657,0.47323807
"If A=B and B=C, then A=C.",,25,"If A=B and B=C, then A=C.",00bd676f08,0,1,0,1,0,1,0.999998948,0.999996231,0.999997589
Indoor plants purify air.,,25,Indoor plants purify air.,f4b39ee07c,0,1,0,0,0,0,0.991853091,0.96598443,0.978833307
Milk builds strong bones.,,25,Milk builds strong bones.,fff8cf01e9,0,1,0,0,0,0,0.999966404,0.99985858,0.999912491
Nature walks are calming.,,25,Nature walks are calming.,4ae1a725c1,0,1,0,1,1,0,0.999999884,0.999999422,0.999999653
Practice gratitude daily.,,25,Practice gratitude daily.,40d1be32a8,1,1,0,1,1,0,0.999915634,0.99999822,0.999956926
Reading expands the mind.,,25,Reading expands the mind.,a8fa1ddac7,0,1,0,1,1,0,0.999999924,0.999999691,0.999999807
Reliability builds trust.,,25,Reliability builds trust.,5e56e4c944,1,1,0,1,1,0,0.999999998,0.999999983,0.99999999
Stars fill the night sky.,,25,Stars fill the night sky.,3e5aab6605,0,1,0,1,0,0,1,0.99956446,0.999782206
Stop and smell the roses.,,25,Stop and smell the roses.,049aad1aa9,0,1,0,1,1,0,0.999994763,0.999999258,0.999997011
The Colosseum is in Rome.,,25,The Colosseum is in Rome.,42da4d27d9,0,1,0,0,0,0,0.999999994,0.999999911,0.999999953
Trees sway with the wind.,,25,Trees sway with the wind.,295827026b,0,1,0,0,0,0,0.999999882,0.99999949,0.999999686
Two plus two equals four.,,25,Two plus two equals four.,18eb2ed3ac,0,1,0,0,0,0,0.999999999,0.999999995,0.999999997
A tidy space invites calm.,,26,A tidy space invites calm.,b9f7858d23,0,1,0,1,1,0,0.999999904,0.999998776,0.99999934
A watched pot never boils.,,26,A watched pot never boils.,8ee0c858a7,0,1,0,1,1,0,0.935128877,0.956535061,0.945771409
AI can optimize logistics.,,26,AI can optimize logistics.,ec693a4f23,0,1,0,0,0,0,0.999978643,0.999999649,0.999989146
Actions have consequences.,,26,Actions have consequences.,40584476a4,1,0,0,1,1,0,0.999999997,0.999999967,0.999999982
Celebrate small victories.,,26,Celebrate small victories.,f001a88cf3,1,1,0,1,1,0,0.999999905,0.999999727,0.999999816
Clean water supports life.,,26,Clean water supports life.,dc12d451cc,0,1,0,0,0,0,0.99999999,0.999999971,0.999999981
Clear goals guide actions.,,26,Clear goals guide actions.,34653e8cc2,1,0,0,1,1,1,0.999999843,0.999999886,0.999999865
Coffee has a strong aroma.,,26,Coffee has a strong aroma.,df96dfff02,0,1,0,0,0,0,0.999999965,0.99999955,0.999999757
Cozy nooks invite reading.,,26,Cozy nooks invite reading.,a880bca21b,0,1,0,1,1,1,0.99999815,0.999992021,0.999995085
Curiosity drives learning.,,26,Curiosity drives learning.,4113d2ea8e,1,0,0,1,1,1,0.999999973,0.999999963,0.999999968
Cycling tones leg muscles.,,26,Cycling tones leg muscles.,3d26c32dad,0,1,0,0,0,0,0.99999984,0.999999258,0.999999549
Earth has varied climates.,,26,Earth has varied climates.,e423a8f082,0,1,0,0,0,0,0.999999984,0.999999963,0.999999974
Empathy strengthens bonds.,,26,Empathy strengthens bonds.,164e0fb435,1,1,0,1,1,1,0.999999998,0.999999967,0.999999983
Fresh produce tastes best.,,26,Fresh produce tastes best.,ef64114253,0,1,0,0,0,0,0.999989892,0.999954085,0.999971989
Gravity keeps us grounded.,,26,Gravity keeps us grounded.,080559349b,0,0,0,0,0,0,0.999999905,0.999999727,0.999999816
Helping others brings joy.,,26,Helping others brings joy.,3ea05db079,1,1,0,1,1,0,0.999999947,0.999999258,0.999999603
His energy was contagious.,,26,His energy was contagious.,64bb968913,1,1,0,1,1,0,0.999969866,0.999875196,0.99992253
Mindfulness eases anxiety.,,26,Mindfulness eases anxiety.,88086d2279,1,1,0,1,0,0,0.999999888,0.999997983,0.999998936
Punctuality shows respect.,,26,Punctuality shows respect.,abebd3ba1b,1,1,0,1,1,0,0.999999787,0.9999999,0.999999843
Stars are born in nebulae.,,26,Stars are born in nebulae.,00c40d2d3a,0,1,0,0,0,0,0.622499038,0.999839752,0.788922863
Sunlight boosts Vitamin D.,,26,Sunlight boosts Vitamin D.,ed47b708c4,0,1,0,0,0,0,0.999999955,0.999999603,0.999999779
The Himalayas are in Asia.,,26,The Himalayas are in Asia.,fec3852e76,0,1,0,0,0,0,0.999999845,0.999999345,0.999999595
The Taj Mahal is in India.,,26,The Taj Mahal is in India.,7ff0a08d0b,0,1,0,0,0,0,0.99999991,0.99999955,0.99999973
The pH of pure water is 7.,,26,The pH of pure water is 7.,539d6a7f22,0,1,0,0,0,0,0.996830609,0.999986845,0.99840748
Tidy spaces enhance focus.,,26,Tidy spaces enhance focus.,84ac6e84e7,0,1,0,1,1,0,0.999999766,0.99999892,0.999999343
Trees lose leaves in fall.,,26,Trees lose leaves in fall.,72f561bb69,0,1,0,0,0,0,0.999919412,0.999983109,0.99995126
Volcanoes erupt with lava.,,26,Volcanoes erupt with lava.,4d9549bb41,0,1,0,0,0,0,0.99999801,0.999989755,0.999993883
World War I began in 1914.,,26,World War I began in 1914.,f63fefb234,0,1,0,1,0,0,0.99999594,0.999972151,0.999984046
Yoga enhances inner peace.,,26,Yoga enhances inner peace.,69bbf824b6,0,1,0,1,0,0,1,0.999985094,0.999992547
feeling blue; feeling sad.,,26,feeling blue; feeling sad.,aac5645ba5,1,1,0,1,1,0,0.999988721,0.999978311,0.999983516
A barking dog seldom bites.,,27,A barking dog seldom bites.,f27f21183b,0,0,0,1,0,1,0.999865596,0.999615627,0.999740604
A clear goal sets the path.,,27,A clear goal sets the path.,ca4b1d3005,1,0,0,1,1,1,0.999999183,0.999995161,0.999997172
A hot bath relaxes muscles.,,27,A hot bath relaxes muscles.,0a2424b2f6,0,1,0,0,0,0,0.999999817,0.999999345,0.999999581
A river's flow is soothing.,,27,A river's flow is soothing.,399a82edeb,0,1,0,0,1,0,0.999963225,0.999839752,0.999901487
A stich in time saves nine.,,27,A stich in time saves nine.,f0efefdc69,0,0,0,1,1,1,0.999293619,0.999986845,0.999640172
Apples are a healthy snack.,,27,Apples are a healthy snack.,4f7002eb76,0,1,0,1,0,0,0.999999973,0.999999871,0.999999922
Being efficient saves time.,,27,Being efficient saves time.,928507acca,1,1,0,1,1,0,0.999999873,0.999999854,0.999999863
Birds build nests in trees.,,27,Birds build nests in trees.,3cbaaba4e3,0,1,0,0,0,0,0.999999201,0.999997714,0.999998457
Compliments uplift spirits.,,27,Compliments uplift spirits.,e5cb20ff49,1,1,0,1,1,1,0.999999987,0.999999939,0.999999963
Drink water for clear skin.,,27,Drink water for clear skin.,d8a7a2b731,0,1,0,0,0,0,0.999584182,0.998278515,0.998931136
Early birds catch the worm.,,27,Early birds catch the worm.,3d0286409a,0,1,0,1,0,1,0.999999199,0.999989755,0.999994477
Empathy fosters connection.,,27,Empathy fosters connection.,cebee87ebf,1,1,0,1,1,1,0.999999992,0.999999931,0.999999962
Evaluations assess impacts.,,27,Evaluations assess impacts.,126ecfdef7,0,1,0,0,0,0,0.531639754,0.998278517,0.728508439
Exercising promotes health.,,27,Exercising promotes health.,47d3950e90,0,1,0,0,0,0,0.999999998,0.99999998,0.999999989
Gardens can be therapeutic.,,27,Gardens can be therapeutic.,be03393857,0,1,0,1,1,0,0.999999905,0.99999949,0.999999697
Good deeds spread goodwill.,,27,Good deeds spread goodwill.,f8358908a4,1,0,0,1,1,1,0.999999892,0.99999949,0.999999691
Good reasoning avoids bias.,,27,Good reasoning avoids bias.,6147ce9fe5,1,1,0,1,1,0,0.999939489,0.999660785,0.999800128
Grass feels soft underfoot.,,27,Grass feels soft underfoot.,e67c0d7e89,0,1,0,0,0,0,0.999999171,0.999999047,0.999999109
Honesty is the best policy.,,27,Honesty is the best policy.,9420c84b80,1,0,0,1,1,0,0.999999766,0.999997983,0.999998874
Journaling clears the mind.,,27,Journaling clears the mind.,63da3860d6,0,1,0,1,1,0,0.999862625,0.999735809,0.999799215
Laughing lightens the load.,,27,Laughing lightens the load.,b07e56f6d2,1,1,0,1,1,1,0.999999476,0.999999159,0.999999318
Lightning precedes thunder.,,27,Lightning precedes thunder.,009be1d577,0,1,0,0,0,0,0.999999503,0.999996231,0.999997867
Mindfulness improves focus.,,27,Mindfulness improves focus.,d2dccfa2a0,1,1,0,1,0,0,0.999999332,0.999999345,0.999999339
Ocean waves sound relaxing.,,27,Ocean waves sound relaxing.,b1cac28ad3,0,1,0,0,0,0,0.999998268,0.999985094,0.999991681
Organization reduces chaos.,,27,Organization reduces chaos.,a742aae33a,1,0,0,1,0,0,0.999999889,0.999999345,0.999999617
Planning sequences actions.,,27,Planning sequences actions.,b7e9eb32b9,1,1,0,1,1,1,0.979112854,0.355661578,0.590112551
Poems convey deep emotions.,,27,Poems convey deep emotions.,4922e23511,1,1,0,1,1,0,0.999999933,0.999999691,0.999999812
Pure laughter embodies joy.,,27,Pure laughter embodies joy.,7dfabf8439,1,1,0,1,1,0,0.999839397,0.999282017,0.999560668
Radios amplify sound waves.,,27,Radios amplify sound waves.,4d2a4935ac,0,1,0,0,0,0,0.983923533,0.797794088,0.885984412
Rainbows appear after rain.,,27,Rainbows appear after rain.,8802d7d5ac,0,1,0,0,0,0,0.98912197,0.956535144,0.972692102
Shared goals promote unity.,,27,Shared goals promote unity.,2d95d917be,1,1,0,1,1,0,0.999999934,0.999999727,0.99999983
Society values punctuality.,,27,Society values punctuality.,f3e7f5a086,1,1,0,1,1,0,0.999997929,0.999996674,0.999997302
Sunscreen prevents sunburn.,,27,Sunscreen prevents sunburn.,4d05a68e10,0,1,0,0,0,0,0.999999978,0.999999691,0.999999834
The Eiffel Tower is iconic.,,27,The Eiffel Tower is iconic.,acd191a045,0,1,0,0,0,0,0.999999972,0.999999603,0.999999787
The square root of 16 is 4.,,27,The square root of 16 is 4.,fd14679f38,0,1,0,0,0,0,0.999999826,0.999999854,0.99999984
Unified prayers hold power.,,27,Unified prayers hold power.,39be9675ff,1,0,0,1,1,0,0.975212216,0.898865949,0.936261211
Using please shows respect.,,27,Using please shows respect.,45e8469c90,1,1,0,1,1,1,0.999999608,0.99999822,0.999998914
A dime a dozen means common.,,28,A dime a dozen means common.,5684e7dd22,0,0,0,1,0,0,0.999998472,0.999992959,0.999995715
Adequate rest aids recovery.,,28,Adequate rest aids recovery.,2710a3cd29,0,1,0,1,0,0,0.999999942,0.999999834,0.999999888
Clean hands prevent illness.,,28,Clean hands prevent illness.,54201c70c4,0,1,0,0,0,0,0.999999897,0.99999955,0.999999723
Cooking at home saves money.,,28,Cooking at home saves money.,dbbb87a240,0,1,0,1,0,0,0.999999875,0.999999258,0.999999566
Creativity fuels innovation.,,28,Creativity fuels innovation.,74584530f1,1,0,0,1,1,0,0.999999671,0.999999931,0.999999801
Cyprus blends many cultures.,,28,Cyprus blends many cultures.,a8a4498b20,0,1,0,1,0,0,0.997265123,0.999735809,0.998499702
Dancing releases endorphins.,,28,Dancing releases endorphins.,329643aa02,0,1,0,0,0,0,0.999987935,0.999996231,0.999992083
Don't cry over spilled milk.,,28,Don't cry over spilled milk.,1b0431be20,0,1,0,1,1,0,0.999999949,0.999999345,0.999999647
Drinking tea can be calming.,,28,Drinking tea can be calming.,20c1865629,0,1,0,1,0,0,0.999999916,0.999999422,0.999999669
"Early to bed, early to rise.",,28,"Early to bed, early to rise.",19b04335fa,0,1,0,1,0,0,0.962852651,0.999282017,0.980898231
Education broadens horizons.,,28,Education broadens horizons.,fadd77452f,1,0,0,1,1,0,0.999999983,0.999999939,0.999999961
Empathy bridges differences.,,28,Empathy bridges differences.,cc908212c7,1,1,0,1,1,1,0.999999991,0.999999691,0.999999841
Familiarity breeds contempt.,,28,Familiarity breeds contempt.,335a528fcb,1,0,0,1,1,1,0.98627174,0.99865905,0.992446069
"Feed a cold, starve a fever.",,28,"Feed a cold, starve a fever.",b83ae7e77f,0,1,0,1,1,1,0.540917764,0.96154309,0.721190501
Festivals unite communities.,,28,Festivals unite communities.,b163708eaa,1,1,0,1,1,0,0.999999942,0.999999258,0.9999996
Fresh fruits boost immunity.,,28,Fresh fruits boost immunity.,aa5fc65255,0,1,0,0,0,0,0.999977071,0.999902802,0.999939935
Fresh linens feel wonderful.,,28,Fresh linens feel wonderful.,96e3f7597a,0,1,0,1,0,0,0.999998367,0.999992959,0.999995663
Gratitude boosts well-being.,,28,Gratitude boosts well-being.,0c99ff0efb,1,1,0,1,1,1,0.999999983,0.999999922,0.999999952
Handwriting improves memory.,,28,Handwriting improves memory.,1dd22eff6e,0,1,0,1,0,0,0.995548868,0.999366356,0.997455786
Humility cultivates respect.,,28,Humility cultivates respect.,8777ada344,1,0,0,1,1,1,0.999997677,0.999989755,0.999993716
Hydration prevents dry skin.,,28,Hydration prevents dry skin.,93940b4eac,0,1,0,0,0,0,0.995758975,0.856265322,0.923381762
Hypotheses must be testable.,,28,Hypotheses must be testable.,14d3c81613,1,0,0,1,1,0,0.999937675,0.999985094,0.999961384
Imams lead prayers in Islam.,,28,Imams lead prayers in Islam.,90a6a82fb4,1,1,0,1,0,0,0.999999754,0.999999759,0.999999757
Knowledge dispels ignorance.,,28,Knowledge dispels ignorance.,ecf5f455af,1,0,0,1,1,1,0.999999111,0.999996231,0.999997671
