Pair ID,File 1,Statement 1,File 2,Statement 2,Cosine Similarity
28,embeddings/email_statements_embedding.csv,Political campaigns often use email to communicate with supporters.,embeddings/email_statements_embedding.csv,Political campaigns frequently use email to communicate with supporters.,0.9922884148361679
52,embeddings/email_statements_embedding.csv,Volunteers are important for political campaigns.,embeddings/email_statements_embedding.csv,Volunteers are important to political campaigns.,0.9922846023443053
177,embeddings/email_statements_embedding.csv,Fundraising is a common activity in political campaigns.,embeddings/email_statements_embedding.csv,Fundraising is a common activity for political campaigns.,0.9922551687295462
33,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific health needs.",0.9918855071124909
205,embeddings/email_statements_embedding.csv,"Members of Congress can work on issues like climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress can work on issues such as climate change, infrastructure, homelessness, and protecting social security and Medicare.",0.9917448325885352
158,embeddings/email_statements_embedding.csv,Political campaigns often communicate with supporters through email.,embeddings/email_statements_embedding.csv,Political campaigns frequently communicate with supporters through email.,0.99173423668091
103,embeddings/observable_gpt4o_embedding.csv,"The world is your oyster, offering endless opportunities for exploration.",embeddings/observable_gpt4o_embedding.csv,"The world is your oyster, offering limitless opportunities for exploration.",0.9916318179965762
318,embeddings/email_statements_embedding.csv,Emails can be used to communicate with supporters and inform them about campaign issues.,embeddings/email_statements_embedding.csv,Emails can be used to communicate with supporters and inform them about campaign issues and events.,0.9912593064758068
223,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs designed to support individuals, typically in retirement or with specific health care needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs designed to support individuals, typically in retirement or with specific needs.",0.9912243909141311
353,embeddings/observable_gpt4o_embedding.csv,"Patterns make mathematics beautiful, as they reveal underlying structures and relationships.",embeddings/observable_gpt4o_embedding.csv,"Patterns make mathematics beautiful, revealing underlying structures and relationships.",0.9910387192367363
384,embeddings/email_statements_embedding.csv,Emails are a common method for politicians to communicate with supporters.,embeddings/email_statements_embedding.csv,Emails are a common way for politicians to communicate with supporters.,0.9910334056763649
326,embeddings/email_statements_embedding.csv,Every eligible voter should be able to make their voice heard in our elections without facing health risks.,embeddings/email_statements_embedding.csv,Every eligible voter should be able to make their voice heard in elections without facing health risks.,0.9909760298793474
314,embeddings/email_statements_embedding.csv,"Climate change, deteriorating infrastructure, homelessness, and protecting Social Security and Medicare are common issues tackled by politicians.",embeddings/email_statements_embedding.csv,"Climate change, deteriorating infrastructure, homelessness, and protecting Social Security and Medicare are common issues addressed by politicians.",0.9908703590242848
198,embeddings/email_statements_embedding.csv,Email is a common method for politicians to communicate with supporters.,embeddings/email_statements_embedding.csv,Email is a common way for politicians to communicate with supporters.,0.9908169083151017
337,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, typically in retirement or with specific needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs designed to support individuals, typically in retirement or with specific needs.",0.990789568623464
72,embeddings/email_statements_embedding.csv,Everyone has the right to cast their ballot in an election.,embeddings/email_statements_embedding.csv,Everyone has the right to cast their ballots in an election.,0.9907192697947731
83,embeddings/email_statements_embedding.csv,Politicians often ask for donations to support their campaigns.,embeddings/email_statements_embedding.csv,Politicians frequently ask for donations to support their campaigns.,0.9906512365262717
322,embeddings/email_statements_embedding.csv,Campaigns can be funded by individual contributions instead of corporate PAC money.,embeddings/email_statements_embedding.csv,Campaigns can be funded by individual contributions instead of corporate PACs.,0.9906121337492059
328,embeddings/email_statements_embedding.csv,Grassroots support can be crucial for a political campaign.,embeddings/email_statements_embedding.csv,Grassroots support can be crucial for a political campaign's success.,0.9905149995951964
366,embeddings/observable_gpt4o_embedding.csv,"What goes around comes around, indicating that actions in history often have long-term consequences.",embeddings/observable_gpt4o_embedding.csv,"What goes around comes around, indicating that actions in history often have long-term repercussions.",0.9903377204141368
289,embeddings/email_statements_embedding.csv,Elections can have high stakes for various issues such as healthcare and the environment.,embeddings/email_statements_embedding.csv,Elections can have high stakes that affect various issues such as healthcare and the environment.,0.9900125363167886
369,embeddings/email_statements_embedding.csv,Emails can be used to communicate with supporters and request donations.,embeddings/email_statements_embedding.csv,Emails can be used to communicate with supporters and ask for donations.,0.9898417934623787
119,embeddings/email_statements_embedding.csv,Political campaigns often communicate with supporters via email.,embeddings/email_statements_embedding.csv,Political campaigns frequently communicate with supporters through email.,0.9898224872510077
130,embeddings/email_statements_embedding.csv,Political campaigns often request donations to support their efforts.,embeddings/email_statements_embedding.csv,Political campaigns frequently request donations to support their efforts.,0.9898083347884288
240,embeddings/email_statements_embedding.csv,"Political campaigns use TV ads, digital ads, and mail to reach voters.",embeddings/email_statements_embedding.csv,"Political campaigns use television ads, digital ads, and mail to reach voters.",0.9895218986367604
131,embeddings/email_statements_embedding.csv,Political campaigns often request donations.,embeddings/email_statements_embedding.csv,Political campaigns frequently request donations.,0.9895139722338857
53,embeddings/email_statements_embedding.csv,Email is a common way for political campaigns to communicate with supporters.,embeddings/email_statements_embedding.csv,Email is a common method for political campaigns to communicate with supporters.,0.9894153016790886
179,embeddings/email_statements_embedding.csv,Vandalism is a deliberate act of damaging or destroying property.,embeddings/email_statements_embedding.csv,Vandalism is a deliberate act of damaging property.,0.9893517027475875
58,embeddings/email_statements_embedding.csv,Enormous financial and personal stress has been put on countless families due to COVID-19.,embeddings/email_statements_embedding.csv,Enormous financial and personal stress has been put on countless families during COVID-19.,0.9892743153724339
274,embeddings/email_statements_embedding.csv,Political campaigns sometimes set fundraising goals with specific deadlines.,embeddings/email_statements_embedding.csv,Political campaigns sometimes set fundraising goals with deadlines.,0.9892741143361934
120,embeddings/email_statements_embedding.csv,Political campaigns often communicate with supporters through emails.,embeddings/email_statements_embedding.csv,Political campaigns often communicate with supporters through email.,0.9891719162505709
239,embeddings/email_statements_embedding.csv,Donations can be made through various set amounts or another amount chosen by the donor.,embeddings/email_statements_embedding.csv,Donations can be made through various set amounts or other amounts chosen by the donor.,0.9891433080058951
386,embeddings/email_statements_embedding.csv,ActBlue Express allows for immediate processing of donations.,embeddings/email_statements_embedding.csv,ActBlue Express allows for immediate donation processing.,0.9890338095723012
238,embeddings/email_statements_embedding.csv,Election Day is a specific day when votes are cast in an election.,embeddings/email_statements_embedding.csv,Election Day is a specific date when votes are cast in an election.,0.9889319458817095
8,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, typically in retirement or with specific healthcare needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with healthcare needs.",0.9889178772053018
190,embeddings/email_statements_embedding.csv,"Emails from political campaigns may include options to donate, unsubscribe, or receive fewer emails.",embeddings/email_statements_embedding.csv,"Emails from political campaigns often include options to donate, unsubscribe, or receive fewer emails.",0.9889089172512536
109,embeddings/email_statements_embedding.csv,Elections can have long-term impacts on the direction of a country.,embeddings/email_statements_embedding.csv,Elections can have long-term impacts on a country's direction.,0.9886092055908609
51,embeddings/email_statements_embedding.csv,Emails are a common method for political campaigns to communicate with supporters.,embeddings/email_statements_embedding.csv,Emails are a common way for political campaigns to communicate with supporters.,0.9885806359610854
173,embeddings/email_statements_embedding.csv,Email is a common way for campaigns to communicate with supporters.,embeddings/email_statements_embedding.csv,Email is a common method for campaigns to communicate with supporters.,0.9884177987955739
106,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, typically in retirement or with specific needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, typically in retirement or with specific healthcare needs.",0.9883765721985154
211,embeddings/email_statements_embedding.csv,Protecting Social Security and Medicare is important for many people.,embeddings/email_statements_embedding.csv,Protecting Social Security and Medicare is important to many people.,0.9882149378052123
404,embeddings/email_statements_embedding.csv,Political campaigns often ask for donations.,embeddings/email_statements_embedding.csv,Political campaigns frequently ask for donations.,0.9880723785024557
16,embeddings/email_statements_embedding.csv,Political campaigns often depend on donations from individuals.,embeddings/email_statements_embedding.csv,Political campaigns often rely on donations from individuals.,0.988048703080151
321,embeddings/email_statements_embedding.csv,"Climate change, deteriorating infrastructure, homelessness, and protecting Social Security and Medicare are common issues tackled by politicians.",embeddings/email_statements_embedding.csv,"Climate change, deteriorating infrastructure, homelessness, and protecting Social Security and Medicare are common issues tackled by politicians",0.9879797622049282
368,embeddings/observable_gpt4o_embedding.csv,"Practice makes perfect, indicating that consistent effort improves skills and performance.",embeddings/observable_gpt4o_embedding.csv,"Practice makes perfect, indicating that consistent effort improves skills.",0.987953503556537
3,embeddings/email_statements_embedding.csv,Political campaigns often ask for donations through email.,embeddings/email_statements_embedding.csv,Political campaigns often ask for donations through emails.,0.9879280257945348
285,embeddings/email_statements_embedding.csv,Email is a common method for political campaigns to communicate with supporters.,embeddings/email_statements_embedding.csv,Email is a commonly used method for political campaigns to communicate with supporters.,0.9876907422215995
220,embeddings/observable_gpt4o_embedding.csv,"No man is an island, emphasizing the interconnectedness of individuals within a society.",embeddings/observable_gpt4o_embedding.csv,"No man is an island, emphasizing the interconnectedness of people within society.",0.9876242158865409
261,embeddings/email_statements_embedding.csv,Politicians often rely on donations for their campaigns.,embeddings/email_statements_embedding.csv,Politicians often rely on donations to fund their campaigns.,0.9874339328106546
80,embeddings/email_statements_embedding.csv,Early voting allows people to vote before the official election day.,embeddings/email_statements_embedding.csv,Early voting allows people to vote before the official Election Day.,0.9874169909308959
364,embeddings/email_statements_embedding.csv,Emails can be used to communicate with supporters and inform them about campaign issues.,embeddings/email_statements_embedding.csv,Emails can be used to communicate with supporters and inform them about campaign events and issues.,0.9874091892764334
377,embeddings/email_statements_embedding.csv,Volunteering is a way to support political campaigns.,embeddings/email_statements_embedding.csv,Volunteering is a way to support a political campaign.,0.9873803301566232
333,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, typically in retirement or with specific needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific health needs.",0.9873757915549614
10,embeddings/email_statements_embedding.csv,People can unsubscribe from email lists if they no longer wish to receive communications.,embeddings/email_statements_embedding.csv,People can unsubscribe from email lists if they no longer wish to receive emails.,0.9873614230441045
132,embeddings/email_statements_embedding.csv,Email is a way for politicians to keep supporters informed about critical issues and to build a campaign.,embeddings/email_statements_embedding.csv,Email is a way for politicians to keep supporters informed about issues and to build a campaign.,0.9873478553377092
139,embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, Social Security, and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and the protection of social security and Medicare.",0.9873398576284677
233,embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, Social Security, and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",0.9873347949913334
304,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs designed to support individuals, typically in retirement or with specific needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific needs.",0.9871448697361754
134,embeddings/email_statements_embedding.csv,Small businesses are essential to local economies.,embeddings/email_statements_embedding.csv,Small businesses are essential to the local economy.,0.9871387276834459
113,embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, Social Security, and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",0.9870705629829147
127,embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and protecting social security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, Social Security, and Medicare.",0.9869802896169102
294,embeddings/email_statements_embedding.csv,Infrastructure can deteriorate over time and may require maintenance or upgrades.,embeddings/email_statements_embedding.csv,Infrastructure can deteriorate over time and requires maintenance or upgrades.,0.9868656173316659
24,embeddings/email_statements_embedding.csv,Election Day is a specific day when voters can cast their votes in an election.,embeddings/email_statements_embedding.csv,Election Day is a specific day when voters can cast their votes.,0.9867760570399211
218,embeddings/email_statements_embedding.csv,Unsubscribing from an email list is a way to stop receiving emails from that sender.,embeddings/email_statements_embedding.csv,Unsubscribing from an email list is a way to stop receiving emails.,0.9867425358847897
157,embeddings/email_statements_embedding.csv,Political campaigns often communicate with supporters through emails.,embeddings/email_statements_embedding.csv,Political campaigns often communicate with supporters via email.,0.986670885964602
401,embeddings/email_statements_embedding.csv,Saving payment information can facilitate quicker transactions.,embeddings/email_statements_embedding.csv,Saving payment information can facilitate faster transactions.,0.9866493244355499
246,embeddings/email_statements_embedding.csv,Protecting Social Security and Medicare is a concern for some politicians.,embeddings/email_statements_embedding.csv,Protecting Social Security and Medicare is a concern for some politicians,0.9866153358077749
65,embeddings/email_statements_embedding.csv,Enormous financial and personal stress has been put on countless families during the COVID-19 pandemic.,embeddings/email_statements_embedding.csv,Enormous financial and personal stress has been put on countless families due to COVID-19.,0.9865336582747664
108,embeddings/email_statements_embedding.csv,Political campaigns use email to communicate with and solicit support from potential donors.,embeddings/email_statements_embedding.csv,Political campaigns use email to communicate with and solicit donations from potential supporters.,0.9865052516985795
193,embeddings/email_statements_embedding.csv,Political campaigns can pledge to reject corporate PAC money.,embeddings/email_statements_embedding.csv,Political campaigns may pledge to reject corporate PAC money.,0.9863869842427527
22,embeddings/email_statements_embedding.csv,Email is a common method of communication for campaigns to reach supporters.,embeddings/email_statements_embedding.csv,Email is a commonly used method of communication for campaigns to reach supporters.,0.9863346936635734
237,embeddings/email_statements_embedding.csv,Social Security and Medicare are programs intended to protect individuals' well-being.,embeddings/email_statements_embedding.csv,Social Security and Medicare are programs designed to protect individuals' well-being.,0.9862947716320243
37,embeddings/email_statements_embedding.csv,Campaigns can communicate with supporters through email.,embeddings/email_statements_embedding.csv,Campaigns may communicate with supporters through email.,0.9861868812711836
232,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, typically in retirement or with specific healthcare needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific health needs.",0.9861716663624339
383,embeddings/observable_gpt4o_embedding.csv,"Don't count your chickens before they hatch, advising to wait for actual outcomes before making plans.",embeddings/observable_gpt4o_embedding.csv,"Don't count your chickens before they hatch, advising to wait for outcomes before making plans.",0.9861418010821912
301,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, typically in retirement or with specific needs.",embeddings/email_statements_embedding.csv,Social Security and Medicare are programs intended to support individuals in retirement or with specific needs.,0.986107065975922
141,embeddings/observable_gpt4o_embedding.csv,"Don't count your chickens before they hatch, advising to wait for certain outcomes before making plans.",embeddings/observable_gpt4o_embedding.csv,"Don't count your chickens before they hatch, advising to wait for outcomes before making plans.",0.9860217740631313
125,embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, Social Security, and Medicare.",0.9859684149645304
380,embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, Social Security, and Medicare.",0.9859408946924757
352,embeddings/email_statements_embedding.csv,Loans meant for small business owners impacted by the pandemic are to save jobs.,embeddings/email_statements_embedding.csv,Loans meant for small business owners impacted by the pandemic are intended to save jobs.,0.9859026190870264
355,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs designed to support individuals, typically in retirement or with specific health care needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific health needs.",0.9858816104360202
407,embeddings/email_statements_embedding.csv,Social Security and Medicare are important programs that need to be protected.,embeddings/email_statements_embedding.csv,Social Security and Medicare are important programs that need protection.,0.9858609847147852
252,embeddings/email_statements_embedding.csv,Opportunity should be available for both young and old.,embeddings/email_statements_embedding.csv,Opportunity should be available for young and old.,0.985853020050745
89,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with healthcare needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific health needs.",0.9857201336686312
182,embeddings/email_statements_embedding.csv,Political campaigns often rely on grassroots support.,embeddings/email_statements_embedding.csv,Political campaigns often depend on grassroots support.,0.9856920929570947
209,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with healthcare needs.",0.9855416240894163
325,embeddings/email_statements_embedding.csv,Political campaigns use email to communicate with supporters.,embeddings/email_statements_embedding.csv,Political campaigns use emails to communicate with supporters.,0.9855245125709585
365,embeddings/email_statements_embedding.csv,Email is a method used by political campaigns to communicate with supporters.,embeddings/email_statements_embedding.csv,Email is a method of communication used by political campaigns to reach supporters.,0.9854709875907482
85,embeddings/email_statements_embedding.csv,Email is a common communication tool for political campaigns to engage with supporters.,embeddings/email_statements_embedding.csv,Email is a common communication tool for political campaigns to inform and engage with supporters.,0.9854448523566856
